Id,Fungroup,Type,Icon,Name,Desc,Reward,Target,Point,ClientCheck,Moduleid,Info,IsHide,Module,CanAdd,ClientGroup,GroupTitle,MaxShowTimes
1001001,1001,1,1001,旗开得胜1,在赛事中获得{0}/{1}次胜利,1:06:40,[1],10,0,1400,,0,2400,0,0,,0
1001002,1001,1,1001,旗开得胜2,在赛事中获得{0}/{1}次胜利,1:06:40,[10],10,0,1400,,0,2400,0,0,,0
1001003,1001,1,1001,旗开得胜3,在赛事中获得{0}/{1}次胜利,1:06:40,[50],10,0,1400,,0,2400,0,0,,0
1001004,1001,1,1001,旗开得胜4,在赛事中获得{0}/{1}次胜利,1:06:40,[100],10,0,1400,,0,2400,0,0,,0
1001005,1001,1,1001,旗开得胜5,在赛事中获得{0}/{1}次胜利,1:06:40,[300],10,0,1400,,0,2400,0,0,,0
1001006,1001,1,1001,旗开得胜6,在赛事中获得{0}/{1}次胜利,1:06:40,[500],10,0,1400,,0,2400,0,0,,0
1001007,1001,1,1001,旗开得胜7,在赛事中获得{0}/{1}次胜利,1:06:50,[1000],10,0,1400,,0,2400,0,0,,0
1001008,1001,1,1001,旗开得胜8,在赛事中获得{0}/{1}次胜利,1:06:50,[1250],10,0,1400,,0,2400,0,0,,0
1001009,1001,1,1001,旗开得胜9,在赛事中获得{0}/{1}次胜利,1:06:50,[1500],10,0,1400,,0,2400,0,0,,0
1001010,1001,1,1001,旗开得胜10,在赛事中获得{0}/{1}次胜利,1:06:50,[2000],10,0,1400,,0,2400,0,0,,0
1001011,1001,1,1001,旗开得胜11,在赛事中获得{0}/{1}次胜利,1:06:50,[3000],10,0,1400,,0,2400,0,0,,0
1001012,1001,1,1001,旗开得胜12,在赛事中获得{0}/{1}次胜利,1:06:50,[4000],10,0,1400,,0,2400,0,0,,0
1001013,1001,1,1001,旗开得胜13,在赛事中获得{0}/{1}次胜利,1:06:50,[5000],10,0,1400,,0,2400,0,0,,0
1001014,1001,1,1001,旗开得胜14,在赛事中获得{0}/{1}次胜利,1:06:50,[6000],10,0,1400,,0,2400,0,0,,0
1001015,1001,1,1001,旗开得胜15,在赛事中获得{0}/{1}次胜利,1:06:50,[7000],10,0,1400,,0,2400,0,0,,0
1001016,1001,1,1001,旗开得胜16,在赛事中获得{0}/{1}次胜利,1:06:50,[8000],10,0,1400,,0,2400,0,0,,0
1001017,1001,1,1001,旗开得胜17,在赛事中获得{0}/{1}次胜利,1:06:50,[9000],10,0,1400,,0,2400,0,0,,0
1001018,1001,1,1001,旗开得胜18,在赛事中获得{0}/{1}次胜利,1:06:50,[10000],10,0,1400,,0,2400,0,0,,0
1002001,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},1:01:50,[80],10,0,-1,,0,2400,0,0,,0
1002002,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.043518519,[85],10,0,-1,,0,2400,0,0,,0
1002003,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.044097222,[100],10,0,-1,,0,2400,0,0,,0
1002004,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.044675926,[105],10,0,-1,,0,2400,0,0,,0
1002005,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.04525463,[110],10,0,-1,,0,2400,0,0,,0
1002006,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.045833333,[115],10,0,-1,,0,2400,0,0,,0
1002007,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.045833333,[120],10,0,-1,,0,2400,0,0,,0
1002008,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.045833333,[125],10,0,-1,,0,2400,0,0,,0
1002009,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.045833333,[130],10,0,-1,,0,2400,0,0,,0
1002010,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.045833333,[135],10,0,-1,,0,2400,0,0,,0
1002011,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.045833333,[140],10,0,-1,,0,2400,0,0,,0
1002012,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.045833333,[145],10,0,-1,,0,2400,0,0,,0
1002013,1002,1,1002,火力全开,我队在一场比赛中得分超过{0}/{1},0.045833333,[150],10,0,-1,,0,2400,0,0,,0
1003001,1003,1,1003,全场最佳,全场MVP由我队球员获得,0.05462963,[1],10,0,-1,,0,2400,0,0,,0
1004001,1004,1,1004,神奇换人,比赛中我队替补登场球员得分最高,0.05462963,[1],10,0,-1,,0,2400,0,0,,0
1005001,1005,1,1005,反败为胜,我队在前三节落后的情况下逆转取得胜利,0.043518519,[1],10,0,-1,,0,2400,0,0,,0
1006001,1006,1,1006,永不放弃,我队在加时赛中获胜,0.05462963,[1],10,0,-1,,0,2400,0,0,,0
1008001,1008,1,1008,赛季连胜1,我队单赛季联赛获得{0}/{1}连胜,0.043518519,[2],10,0,1400,,0,2400,0,0,,0
1008002,1008,1,1008,赛季连胜2,我队单赛季联赛获得{0}/{1}连胜,0.043518519,[3],10,0,1400,,0,2400,0,0,,0
