Id,Name,Type,ClientType,Point,ServerDays,StartTime,LastTime,ServerFilter,RewardTime,LoopTime,DailyGift,DailyGiftDesc,Param1,Param2,Param3,Pic,JumpGroup,HomeTitle,HomeSubTitle,ToggleIcon,ShowInActivity
1001,首次充值,1,1,1,0,0,0,0,0,-1,,,0,,,image_1001,2801,,,1001,0
2001,每日充值,2,2,1,0,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
2002,每日充值,2,2,1,7,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
2003,每日充值,2,2,1,14,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
2004,每日充值,2,2,1,21,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
2005,每日充值,2,2,1,28,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
2006,每日充值,2,2,1,35,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
2007,每日充值,2,2,1,42,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
2008,每日充值,2,2,1,49,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
2009,每日充值,2,2,1,56,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
2010,每日充值,2,2,1,63,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
2011,每日充值,2,2,1,70,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
2012,每日充值,2,2,1,77,0,604800,0,0,-1,0.046527778,每日福利,30,,,image_2001,2801,,,2001,0
3001,环球赛排行,3,3,0,1,0,172800,0,0,-1,,,1,球队|城市,,image_3001,2801,,,3001,0
3002,控卫排行,3,3,0,2,0,172800,0,0,-1,,,2,球队|球员,,image_3002,2801,,,3001,0
3003,分卫排行,3,3,0,3,0,172800,0,0,-1,,,3,球队|球员,,image_3003,2801,,,3001,0
3004,小前排行,3,3,0,4,0,172800,0,0,-1,,,4,球队|球员,,image_3004,2801,,,3001,0
3005,大前排行,3,3,0,5,0,172800,0,0,-1,,,5,球队|球员,,image_3005,2801,,,3001,0
3006,中锋排行,3,3,0,6,0,172800,0,0,-1,,,6,球队|球员,,image_3006,2801,,,3001,0
3007,战力排行,3,3,0,7,0,172800,0,0,-1,,,7,球队|总战力,,image_3007,2801,,,3001,0
3008,环球赛排行,3,3,0,8,0,172800,0,0,518400,,,1,球队|城市,,image_3001,2801,,,3001,0
3009,控卫排行,3,3,0,9,0,172800,0,0,518400,,,2,球队|球员,,image_3002,2801,,,3001,0
3010,分卫排行,3,3,0,10,0,172800,0,0,518400,,,3,球队|球员,,image_3003,2801,,,3001,0
3011,小前排行,3,3,0,11,0,172800,0,0,518400,,,4,球队|球员,,image_3004,2801,,,3001,0
3012,大前排行,3,3,0,12,0,172800,0,0,518400,,,5,球队|球员,,image_3005,2801,,,3001,0
3013,中锋排行,3,3,0,13,0,172800,0,0,518400,,,6,球队|球员,,image_3006,2801,,,3001,0
3014,战力排行,3,3,0,14,0,172800,0,0,518400,,,7,球队|总战力,,image_3007,2801,,,3001,0
1002,累计充值,1,4,1,0,0,604800,0,0,604800,0.046527778,每日福利,1,,,image_1002,2801,,,1002,0
4001,战斗令牌,4,5,1,0,0,2592000,0,0,0,,,1001,,,image_4001,2801,,,4001,0
5001,推图礼包,5,6,0,-1,0,0,0,0,-1,,,0,,,image_5001,2802,,,4001,0
