Id,ActivityId,Option,Exp,Rewards1,Rewards2,RewardsStep
400101,4001,40,0,0.05462963,0.077777778,2:400201:10
400102,4001,80,500,1:06:20,0.046527778,
400103,4001,120,1000,0.043518519,2:400208:10,0.045833333
400104,4001,160,1500,2:400154:10,2:400154:30,2:400205:1
400105,4001,200,2000,2:100105:20,2:100105:60,
400106,4001,240,2500,2:400202:3,2:400208:10,
400107,4001,280,3000,2:400206:1,2:400207:3,
400108,4001,400,3500,2:400204:1,2:400209:3,
400109,4001,550,4000,,2:400208:10,
400110,4001,750,4500,,2:400206:3,2:400205:1
400111,4001,1000,5000,0.05462963,0.077777778,
400112,4001,1250,5500,1:06:20,0.046527778,
400113,4001,1500,6000,0.043518519,2:400208:10,0.045833333
400114,4001,1750,6500,2:400154:10,2:400154:30,
400115,4001,2000,7000,2:100105:20,2:100105:60,2:400201:10
400116,4001,2250,7500,2:400202:3,2:400208:10,
400117,4001,2500,8000,2:400206:1,2:400207:3,
400118,4001,2750,8500,2:400204:1,2:400209:3,
400119,4001,3000,9000,,2:400208:10,
400120,4001,3250,9500,,2:400206:3,2:400201:10
400121,4001,3500,10000,0.05462963,0.077777778,
400122,4001,3750,10500,1:06:20,0.046527778,
400123,4001,4000,11000,0.043518519,2:400208:10,0.045833333
400124,4001,4250,11500,2:400154:10,2:400154:30,
400125,4001,4500,12000,2:100105:20,2:100105:60,2:400201:10
400126,4001,4750,12500,2:400202:3,2:400208:10,
400127,4001,5000,13000,2:400206:1,2:400207:3,
400128,4001,5250,13500,2:400204:1,2:400209:3,
400129,4001,5500,14000,,2:400208:10,
400130,4001,5750,14500,,2:400206:3,2:400201:10
400131,4001,6000,15000,0.05462963,0.077777778,
400132,4001,6250,15500,1:06:20,0.046527778,
400133,4001,6500,16000,0.043518519,2:400208:10,0.045833333
400134,4001,6750,16500,2:400154:10,2:400154:30,
400135,4001,7000,17000,2:100105:20,2:100105:60,2:400201:10
400136,4001,7250,17500,2:400202:3,2:400208:10,
400137,4001,7500,18000,2:400206:1,2:400207:3,
400138,4001,7750,18500,2:400204:1,2:400209:3,
400139,4001,8000,19000,,2:400208:10,
400140,4001,8250,19500,,2:400206:3,2:400201:10
400141,4001,8500,18500,,1:01:10,
400142,4001,8750,18500,,1:01:10,
400143,4001,9000,18500,,1:01:10,
400144,4001,9250,18500,,1:01:10,
400145,4001,9500,18500,,1:01:10,
400146,4001,9750,18500,,1:01:10,
400147,4001,10000,18500,,1:01:10,
400148,4001,10300,18500,,1:01:10,
400149,4001,10600,18500,,1:01:10,
400150,4001,10900,18500,,1:01:10,
