Id,ActivityId,Type,Option,Rewards
200101,2001,0,1,2:400201:3
200102,2001,0,2,2:400201:3
200103,2001,0,3,1:6:300
200104,2001,0,4,2:400502:1000
200105,2001,0,5,1:1:600
200106,2001,1,5,2:400401:50
200201,2002,0,1,2:400201:3
200202,2002,0,2,2:400201:3
200203,2002,0,3,1:6:300
200204,2002,0,4,2:400502:1000
200205,2002,0,5,1:1:600
200206,2002,1,5,2:400401:50
200301,2003,0,1,2:400201:5
200302,2003,0,2,2:400201:5
200303,2003,0,3,1:6:300
200304,2003,0,4,2:400502:2000
200305,2003,0,5,1:1:1000
200306,2003,1,5,2:400401:100
200401,2004,0,1,2:400201:5
200402,2004,0,2,2:400201:5
200403,2004,0,3,1:6:300
200404,2004,0,4,2:400502:2000
200405,2004,0,5,1:1:1000
200406,2004,1,5,2:400401:100
200501,2005,0,1,2:400201:5
200502,2005,0,2,2:400201:5
200503,2005,0,3,1:6:300
200504,2005,0,4,2:400502:2000
200505,2005,0,5,1:1:1000
200506,2005,1,5,2:400401:100
200601,2006,0,1,2:400201:5
200602,2006,0,2,2:400201:5
200603,2006,0,3,1:6:300
200604,2006,0,4,2:400502:2000
200605,2006,0,5,1:1:1000
200606,2006,1,5,2:400401:100
200701,2007,0,1,2:400201:5
200702,2007,0,2,2:400201:5
200703,2007,0,3,1:6:300
200704,2007,0,4,2:400502:2000
200705,2007,0,5,1:1:1000
200706,2007,1,5,2:400401:100
200801,2008,0,1,2:400201:5
200802,2008,0,2,2:400201:5
200803,2008,0,3,1:6:300
200804,2008,0,4,2:400502:2000
200805,2008,0,5,1:1:1000
200806,2008,1,5,2:400401:100
200901,2009,0,1,2:400201:5
200902,2009,0,2,2:400201:5
200903,2009,0,3,1:6:300
200904,2009,0,4,2:400502:2000
200905,2009,0,5,1:1:1000
200906,2009,1,5,2:400401:100
201001,2010,0,1,2:400201:5
201002,2010,0,2,2:400201:5
201003,2010,0,3,1:6:300
201004,2010,0,4,2:400502:2000
201005,2010,0,5,1:1:1000
201006,2010,1,5,2:400401:100
201101,2011,0,1,2:400201:5
201102,2011,0,2,2:400201:5
201103,2011,0,3,1:6:300
201104,2011,0,4,2:400502:2000
201105,2011,0,5,1:1:1000
201106,2011,1,5,2:400401:100
201201,2012,0,1,2:400201:5
201202,2012,0,2,2:400201:5
201203,2012,0,3,1:6:300
201204,2012,0,4,2:400502:2000
201205,2012,0,5,1:1:1000
201206,2012,1,5,2:400401:100
