Id,ActivityId,Option,Rewards,Desc,Rebate
100101,1001,6,3:104007:1,胡金秋|104031400|-总冠军是我们的目标和梦想。|,1888
100102,1001,98,2:400102:30|2:304007:30|1:2:30000,胡金秋|104031402|-我们会为了梦想战斗，这会永远保存在我们的记忆中！,1000
100103,1001,198,2:400102:400|2:304007:50|1:2:150000,胡金秋|104031404|-我会保持一颗争冠的心，去努力去冲击。,1000
100104,1001,648,2:400102:600|2:304007:50|1:2:700000,胡金秋|104031406|-赛场比拼就是意志力和执行力<br>把防守做好<br>是我们年轻队员的任务,850
100202,1002,50,2:100105:100|1:2:3000|1:1:100,充值达到{0}/{1}元,0
100203,1002,100,2:100105:100|2:200216:50|1:2:3000,充值达到{0}/{1}元,0
100204,1002,300,2:100105:100|2:200217:50|1:2:3000|2:200212:1,充值达到{0}/{1}元,0
100205,1002,500,2:100105:100|2:200217:100|1:2:3000|2:400104:200,充值达到{0}/{1}元,0
100206,1002,1000,2:100105:100|2:200217:100|1:2:3000|2:400103:300,充值达到{0}/{1}元,0
100207,1002,1500,2:100105:100|2:200217:100|1:2:3000|2:400102:300,充值达到{0}/{1}元,0
100208,1002,2000,2:100105:100|2:200217:100|1:2:3000|2:400102:400,充值达到{0}/{1}元,0
100209,1002,3000,2:100105:100|2:200217:100|2:400102:150|3:104003:1,充值达到{0}/{1}元,0
100302,1003,50,2:400154:200|1:2:3000|1:1:100,充值达到{0}/{1}元,0
100303,1003,100,2:400153:100|2:200216:50|1:2:3000,充值达到{0}/{1}元,0
100304,1003,300,2:400152:60|2:200217:50|1:2:3000|2:200212:1,充值达到{0}/{1}元,0
100305,1003,500,2:400152:60|2:200217:100|1:2:3000|2:400104:200,充值达到{0}/{1}元,0
100306,1003,1000,2:400152:60|2:200217:100|1:2:3000|2:400103:300,充值达到{0}/{1}元,0
100307,1003,1500,2:400152:60|2:200217:100|1:2:3000|2:400102:300,充值达到{0}/{1}元,0
100308,1003,2000,2:400151:50|2:200217:100|1:2:3000|2:400102:400,充值达到{0}/{1}元,0
100309,1003,3000,2:400151:50|2:200217:100|2:400102:150|3:104004:1,充值达到{0}/{1}元,0
100402,1004,50,2:100105:100|1:2:3000|1:1:100,充值达到{0}/{1}元,0
100403,1004,100,2:100105:100|2:200216:50|1:2:3000,充值达到{0}/{1}元,0
100404,1004,300,2:100105:100|2:200217:50|1:2:3000|2:200212:1,充值达到{0}/{1}元,0
100405,1004,500,2:100105:100|2:200217:100|1:2:3000|2:400104:200,充值达到{0}/{1}元,0
100406,1004,1000,2:100105:100|2:200217:100|1:2:3000|2:400103:300,充值达到{0}/{1}元,0
100407,1004,1500,2:100105:100|2:200217:100|1:2:3000|2:400102:300,充值达到{0}/{1}元,0
100408,1004,2000,2:100105:100|2:200217:100|1:2:3000|2:400102:400,充值达到{0}/{1}元,0
100409,1004,3000,2:100105:100|2:200217:100|2:400102:150|3:104014:1,充值达到{0}/{1}元,0
100502,1005,50,2:100105:100|1:2:3000|1:1:100,充值达到{0}/{1}元,0
100503,1005,100,2:100105:100|2:200216:50|1:2:3000,充值达到{0}/{1}元,0
100504,1005,300,2:100105:100|2:200217:50|1:2:3000|2:200212:1,充值达到{0}/{1}元,0
100505,1005,500,2:100105:100|2:200217:100|1:2:3000|2:400104:200,充值达到{0}/{1}元,0
100506,1005,1000,2:100105:100|2:200217:100|1:2:3000|2:400103:300,充值达到{0}/{1}元,0
100507,1005,1500,2:100105:100|2:200217:100|1:2:3000|2:400102:300,充值达到{0}/{1}元,0
100508,1005,2000,2:100105:100|2:200217:100|1:2:3000|2:400102:400,充值达到{0}/{1}元,0
100509,1005,3000,2:100105:100|2:200217:100|2:400102:150|3:104007:1,充值达到{0}/{1}元,0
