Id,ActivityId,Min,Max,Rewards
300101,3001,1,1,2:200218:200|2:200217:200|2:200216:200|1:2:10000
300102,3001,2,2,2:200218:150|2:200217:150|2:200216:150|1:2:5000
300103,3001,3,3,2:200218:100|2:200217:100|2:200216:100|1:2:2000
300104,3001,4,4,2:200218:50|2:200217:50|2:200216:50|1:2:1000
300105,3001,5,5,2:200218:45|2:200217:45|2:200216:45|1:2:1000
300106,3001,6,6,2:200218:40|2:200217:40|2:200216:40|1:2:1000
300107,3001,7,7,2:200218:35|2:200217:35|2:200216:35|1:2:1000
300108,3001,8,8,2:200218:30|2:200217:30|2:200216:30|1:2:1000
300109,3001,9,9,2:200218:25|2:200217:25|2:200216:25|1:2:1000
300110,3001,10,10,2:200218:20|2:200217:20|2:200216:20|1:2:1000
300111,3001,11,50,2:200218:15|2:200217:15|2:200216:15|1:2:1000
300112,3001,51,9999,2:200218:10|2:200217:10|2:200216:10|1:2:1000
300201,3002,1,1,2:400102:50|2:400103:50|2:400104:50
300202,3002,2,2,2:400102:30|2:400103:50|2:400104:50
300203,3002,3,3,2:400102:10|2:400103:50|2:400104:50
300204,3002,4,4,2:400103:50|2:400104:50
300205,3002,5,5,2:400103:40|2:400104:50
300206,3002,6,6,2:400103:30|2:400104:50
300207,3002,7,7,2:400103:20|2:400104:50
300208,3002,8,8,2:400103:10|2:400104:50
300209,3002,9,9,2:400103:10|2:400104:40
300210,3002,10,10,2:400103:10|2:400104:30
300211,3002,11,50,2:400103:10|2:400104:20
300212,3002,51,9999,2:400103:10|2:400104:10
300301,3003,1,1,2:400102:50|2:400103:50|2:400104:50
300302,3003,2,2,2:400102:30|2:400103:50|2:400104:50
300303,3003,3,3,2:400102:10|2:400103:50|2:400104:50
300304,3003,4,4,2:400103:50|2:400104:50
300305,3003,5,5,2:400103:40|2:400104:50
300306,3003,6,6,2:400103:30|2:400104:50
300307,3003,7,7,2:400103:20|2:400104:50
300308,3003,8,8,2:400103:10|2:400104:50
300309,3003,9,9,2:400103:10|2:400104:40
300310,3003,10,10,2:400103:10|2:400104:30
300311,3003,11,50,2:400103:10|2:400104:20
300312,3003,51,9999,2:400103:10|2:400104:10
300401,3004,1,1,2:400102:50|2:400103:50|2:400104:50
300402,3004,2,2,2:400102:30|2:400103:50|2:400104:50
300403,3004,3,3,2:400102:10|2:400103:50|2:400104:50
300404,3004,4,4,2:400103:50|2:400104:50
300405,3004,5,5,2:400103:40|2:400104:50
300406,3004,6,6,2:400103:30|2:400104:50
300407,3004,7,7,2:400103:20|2:400104:50
300408,3004,8,8,2:400103:10|2:400104:50
300409,3004,9,9,2:400103:10|2:400104:40
300410,3004,10,10,2:400103:10|2:400104:30
300411,3004,11,50,2:400103:10|2:400104:20
300412,3004,51,9999,2:400103:10|2:400104:10
300501,3005,1,1,2:400102:50|2:400103:50|2:400104:50
300502,3005,2,2,2:400102:30|2:400103:50|2:400104:50
300503,3005,3,3,2:400102:10|2:400103:50|2:400104:50
300504,3005,4,4,2:400103:50|2:400104:50
300505,3005,5,5,2:400103:40|2:400104:50
300506,3005,6,6,2:400103:30|2:400104:50
300507,3005,7,7,2:400103:20|2:400104:50
300508,3005,8,8,2:400103:10|2:400104:50
300509,3005,9,9,2:400103:10|2:400104:40
300510,3005,10,10,2:400103:10|2:400104:30
300511,3005,11,50,2:400103:10|2:400104:20
300512,3005,51,9999,2:400103:10|2:400104:10
300601,3006,1,1,2:400102:50|2:400103:50|2:400104:50
300602,3006,2,2,2:400102:30|2:400103:50|2:400104:50
300603,3006,3,3,2:400102:10|2:400103:50|2:400104:50
300604,3006,4,4,2:400103:50|2:400104:50
300605,3006,5,5,2:400103:40|2:400104:50
300606,3006,6,6,2:400103:30|2:400104:50
300607,3006,7,7,2:400103:20|2:400104:50
300608,3006,8,8,2:400103:10|2:400104:50
300609,3006,9,9,2:400103:10|2:400104:40
300610,3006,10,10,2:400103:10|2:400104:30
