Id,Type,Addition,Area,AdaptPosition
104001,4,1.0,2,"[4,5]"
104002,4,1.0,1,"[1,2]"
104003,2,3.0,1,"[3,4]"
104004,2,3.0,1,[1]
104005,4,1.0,1,[5]
104006,2,3.0,1,"[1,2]"
104007,2,3.0,2,"[4,5]"
104008,3,2.0,2,[5]
104009,3,2.0,2,[5]
104010,2,3.0,1,"[3,4]"
104011,4,1.0,1,[5]
104012,2,3.0,2,"[1,2]"
104013,4,1.0,2,"[3,4]"
104014,2,3.0,2,"[1,2]"
104015,4,1.0,1,[5]
104016,3,2.0,2,"[2,1]"
104017,4,1.0,1,"[2,1]"
104018,4,1.0,2,"[1,2]"
104019,4,1.0,1,[5]
104020,4,1.0,2,[2]
104022,4,1.0,1,"[5,4]"
104023,3,2.0,1,"[1,2]"
104024,4,1.0,2,"[2,1]"
104025,4,1.0,1,[1]
104026,3,2.0,1,"[5,4]"
104027,3,2.0,2,"[2,3]"
104028,4,1.0,2,"[3,4]"
104029,4,1.0,2,"[3,2]"
104030,4,1.0,1,"[3,2]"
104031,2,3.0,2,[3]
104032,3,2.0,1,[3]
104033,3,2.0,2,[2]
104034,3,2.0,2,[2]
104035,2,3.0,2,[5]
104036,4,1.0,1,[4]
104037,4,1.0,2,[3]
104038,2,3.0,1,[5]
104039,4,1.0,1,"[4,5]"
104040,1,5.0,1,"[1,2]"
104041,1,5.0,2,"[1,2]"
103001,4,1.0,2,[5]
103002,4,1.0,1,"[4,5]"
103003,4,1.0,2,"[5,4]"
103004,4,1.0,2,"[1,2]"
103005,4,1.0,1,"[1,2]"
103006,4,1.0,2,[1]
103007,4,1.0,2,[1]
103008,4,1.0,1,"[1,2]"
103009,4,1.0,2,"[5,4]"
103010,3,2.0,2,[1]
103011,4,1.0,2,[3]
103012,4,1.0,2,[5]
103013,4,1.0,2,[4]
103014,4,1.0,1,"[4,3]"
103015,4,1.0,1,"[4,5]"
103016,4,1.0,1,"[1,2]"
103017,4,1.0,1,[5]
103018,4,1.0,1,[5]
103019,4,1.0,1,"[2,1]"
103020,4,1.0,1,[4]
103021,4,1.0,2,"[1,2]"
103022,4,1.0,1,"[4,5]"
103023,4,1.0,1,[5]
103024,4,1.0,2,"[1,2]"
103025,4,1.0,1,[3]
103026,4,1.0,2,"[1,2]"
103027,4,1.0,1,[3]
103028,4,1.0,1,"[1,2]"
103029,4,1.0,2,"[4,5]"
103030,4,1.0,2,"[2,3]"
103031,3,2.0,1,[3]
103032,3,2.0,1,"[2,3]"
103033,4,1.0,1,"[4,5]"
103034,4,1.0,1,"[4,5]"
103035,4,1.0,1,[4]
103036,4,1.0,1,"[4,5]"
103037,4,1.0,2,[3]
103038,4,1.0,2,"[2,1]"
103039,4,1.0,2,"[4,3]"
103040,4,1.0,1,"[1,2]"
103041,4,1.0,2,[1]
103042,4,1.0,2,[2]
102001,4,1.0,1,"[4,3]"
102002,4,1.0,2,"[1,2]"
102003,4,1.0,1,"[4,5]"
102004,3,2.0,1,"[3,1]"
102005,4,1.0,1,[2]
102006,4,1.0,1,[2]
102007,4,1.0,1,"[4,3]"
102008,4,1.0,2,"[2,3]"
102009,4,1.0,2,"[4,5]"
102010,4,1.0,1,"[1,2]"
102011,4,1.0,2,[3]
102012,4,1.0,2,[4]
102013,4,1.0,1,[4]
102014,4,1.0,2,"[1,2]"
102015,3,2.0,1,"[3,4]"
102016,4,1.0,2,[5]
102017,4,1.0,2,[5]
101001,4,1.0,1,"[4,3]"
101002,4,1.0,2,"[3,4]"
101003,4,1.0,1,[4]
101004,4,1.0,2,[1]
101005,4,1.0,2,"[3,2]"
101006,4,1.0,2,[4]
101007,4,1.0,2,"[3,4]"
101008,4,1.0,1,[4]
101009,4,1.0,2,"[2,1]"
101010,4,1.0,2,[1]
101011,4,1.0,2,"[2,1]"
101012,4,1.0,1,[3]
101013,4,1.0,2,"[4,5]"
101014,4,1.0,1,"[2,1]"
101015,4,1.0,2,"[3,2]"
101016,4,1.0,1,[5]
101017,4,1.0,2,[5]
