Id,Type,Group,Option,Name,Rewards
1,1,0,1,胜方,1:1:300|1:6:150|2:100106:15
2,1,0,2,负方,1:1:200|1:6:100|2:100106:10
3,2,1,1,第1名,2:200265:30|2:400102:20|2:200261:1
4,2,1,2,第2名,2:200265:25|2:400102:15|2:501001:40
5,2,1,3,第3名,2:200265:20|2:400102:10|2:501001:30
6,2,1,10,第4-10名,2:200265:15|2:400102:8
7,2,1,30,第11-30名,2:200265:10|2:400102:5
8,2,1,100,第31-100名,2:200265:10
9,2,2,1,第1名,2:200265:35|2:400102:25|2:200261:1
10,2,2,2,第2名,2:200265:30|2:400102:20|2:200261:1
11,2,2,3,第3名,2:200265:25|2:400102:15|2:200261:1
12,2,2,10,第4-10名,2:200265:20|2:400102:10
13,2,2,30,第11-30名,2:200265:15|2:400102:8
14,2,2,100,第31-100名,2:200265:10|2:400102:5
15,2,3,1,第1名,2:200265:40|2:400101:8|2:200262:1
16,2,3,2,第2名,2:200265:35|2:400102:25|2:200261:1
17,2,3,3,第3名,2:200265:30|2:400102:20|2:200261:1
18,2,3,10,第4-10名,2:200265:25|2:400102:15
19,2,3,30,第11-30名,2:200265:20|2:400102:10
20,2,3,100,第31-100名,2:200265:15|2:400102:8
21,2,4,1,第1名,2:200265:45|2:400101:10|2:200262:1
22,2,4,2,第2名,2:200265:40|2:400101:8|2:200262:1
23,2,4,3,第3名,2:200265:35|2:400101:5|2:200262:1
24,2,4,10,第4-10名,2:200265:30|2:400102:20
25,2,4,30,第11-30名,2:200265:25|2:400102:15
26,2,4,100,第31-100名,2:200265:20|2:400102:10
27,2,5,1,第1名,2:200265:50|2:400101:20|2:200262:1
28,2,5,2,第2名,2:200265:45|2:400101:15|2:200262:1
29,2,5,3,第3名,2:200265:40|2:400101:12|2:200262:1
30,2,5,10,第4-10名,2:200265:35|2:400101:10
31,2,5,30,第11-30名,2:200265:30|2:400101:8
32,2,5,100,第31-100名,2:200265:25|2:400101:5
33,3,1,10000,10000战力奖,1:6:100
34,3,1,12000,12000战力奖,2:100106:10
35,3,1,15000,15000战力奖,2:200263:10
36,3,1,18000,18000战力奖,1:1:100|2:100108:3
37,3,1,22000,22000战力奖,1:1:150|2:501001:5
38,3,2,40000,40000战力奖,1:6:120
39,3,2,60000,60000战力奖,2:100106:15
40,3,2,80000,80000战力奖,2:200263:15
41,3,2,90000,90000战力奖,1:1:150|2:100108:3
42,3,2,100000,100000战力奖,1:1:200|2:501001:5
43,3,3,60000,60000战力奖,1:6:150
44,3,3,80000,80000战力奖,2:100106:20
45,3,3,100000,100000战力奖,2:200263:20
46,3,3,120000,120000战力奖,1:1:200|2:100108:4
47,3,3,140000,140000战力奖,1:1:250|2:501001:8
48,3,4,80000,80000战力奖,1:6:180
49,3,4,100000,100000战力奖,2:100106:25
50,3,4,120000,120000战力奖,2:200263:25
51,3,4,140000,140000战力奖,1:1:250|2:100108:4
52,3,4,160000,160000战力奖,1:1:300|2:501001:8
53,3,5,90000,90000战力奖,1:6:200
54,3,5,120000,120000战力奖,2:100106:30
55,3,5,150000,150000战力奖,2:200263:30
56,3,5,180000,180000战力奖,1:1:300|2:100108:5
57,3,5,200000,200000战力奖,1:1:350|2:501001:10
