Id,Name,Icon,Tactics,TacticsLevels,Formation,Strength,RankStage,Score
101,逆天战队,275993122,"[101,201]","[1,1]",1,5369,1,0
102,蓝狼战队,273809408,"[101,201]","[1,1]",1,5385,1,115
103,森野战队,275993122,"[101,201]","[1,1]",1,5260,1,230
104,全力友队,273809408,"[101,201]","[1,1]",1,5363,1,305
105,秋明战队,275993122,"[101,201]","[1,1]",1,4934,1,435
106,初澈战队,273809408,"[101,201]","[1,1]",1,5668,1,540
107,古城战队,275993122,"[101,201]","[1,1]",1,10614,1,700
108,先锋战队,273809408,"[101,201]","[1,1]",1,10879,1,810
109,神界一队,275993122,"[101,201]","[1,1]",1,15924,1,890
110,魔夜战队,273809408,"[101,201]","[1,1]",1,17672,1,985
201,龙吟战队,275993122,"[101,201]","[1,1]",1,11250,2,1020
202,轩辕团队,273809408,"[101,201]","[1,1]",1,10413,2,1155
203,灭神战队,275993122,"[101,201]","[1,1]",1,11046,2,1340
204,雪儿盟队,273809408,"[101,201]","[1,1]",1,10656,2,1465
205,霸氣碟队,275993122,"[101,201]","[1,1]",1,10281,2,1625
206,黑骑战队,273809408,"[101,201]","[1,1]",1,10380,2,1660
207,境炫,275993122,"[101,201]","[1,1]",1,17202,2,1785
208,神族战队,273809408,"[101,201]","[1,1]",1,14834,2,1885
209,黑夜战队,275993122,"[101,201]","[1,1]",1,20496,2,1960
210,龙城炫队,273809408,"[101,201]","[1,1]",1,23474,2,1980
301,花旗战队,275993122,"[101,201]","[1,1]",1,15705,3,2095
302,冷潮战队,273809408,"[101,201]","[1,1]",1,15206,3,2340
303,血蒂战队,275993122,"[101,201]","[1,1]",1,15595,3,2375
304,冷魅战队,273809408,"[101,201]","[1,1]",1,17112,3,2470
305,梦幻之队,275993122,"[101,201]","[1,1]",1,16714,3,2485
306,巅峰支队,273809408,"[101,201]","[1,1]",1,15455,3,2545
307,皇家卫队,275993122,"[101,201]","[1,1]",1,21240,3,2715
308,维和部队,273809408,"[101,201]","[1,1]",1,21305,3,2895
309,帅气主队,275993122,"[101,201]","[1,1]",1,28351,3,2960
310,极炫战队,273809408,"[101,201]","[1,1]",1,28102,3,2995
401,花旗战队,275993122,"[101,201]","[1,1]",1,20697,4,3075
402,蓝狼战队,273809408,"[101,201]","[1,1]",1,23057,4,3245
403,血樱战队,275993122,"[101,201]","[1,1]",1,22570,4,3350
404,流年冰队,273809408,"[101,201]","[1,1]",1,22441,4,3390
405,血蒂战队,275993122,"[101,201]","[1,1]",1,19797,4,3400
406,逆天战队,273809408,"[101,201]","[1,1]",1,21246,4,3525
407,巅峰支队,275993122,"[101,201]","[1,1]",1,27587,4,3765
408,花时醉队,273809408,"[101,201]","[1,1]",1,27384,4,3800
409,从未爱队,275993122,"[101,201]","[1,1]",1,29096,4,3865
410,等多久队,273809408,"[101,201]","[1,1]",1,31669,4,3915
501,百事队,275993122,"[101,201]","[1,1]",1,28503,5,4105
502,会傲队,273809408,"[101,201]","[1,1]",1,27775,5,4235
503,主旋律,275993122,"[101,201]","[1,1]",1,27535,5,4250
504,野狼盟,273809408,"[101,201]","[1,1]",1,27246,5,4335
505,狂热队,275993122,"[101,201]","[1,1]",1,27102,5,4575
506,没那命队,273809408,"[101,201]","[1,1]",1,27231,5,4590
507,戏如生队,275993122,"[101,201]","[1,1]",1,32166,5,4745
508,染兮队,273809408,"[101,201]","[1,1]",1,31369,5,4850
509,血狼王队,275993122,"[101,201]","[1,1]",1,32626,5,4910
510,冷语队,273809408,"[101,201]","[1,1]",1,39391,5,4935
601,同路人,275993122,"[101,201]","[1,1]",1,41401,6,5150
602,娃娃脸队,273809408,"[101,201]","[1,1]",1,42023,6,5225
603,我们,275993122,"[101,201]","[1,1]",1,44647,6,5255
604,木桥队,273809408,"[101,201]","[1,1]",1,36261,6,5295
605,美特斯邦威,275993122,"[101,201]","[1,1]",1,41055,6,5350
606,兄弟盟,273809408,"[101,201]","[1,1]",1,38094,6,5455
607,野狼团,275993122,"[101,201]","[1,1]",1,44706,6,5595
608,泪瞳队,273809408,"[101,201]","[1,1]",1,45391,6,5715
609,农夫山泉队,275993122,"[101,201]","[1,1]",1,50713,6,5745
610,谈笑间队,273809408,"[101,201]","[1,1]",1,49271,6,5920
701,折戟队,275993122,"[101,201]","[1,1]",1,55603,7,6055
702,琼梦队,273809408,"[101,201]","[1,1]",1,54651,7,6130
703,科比队,275993122,"[101,201]","[1,1]",1,51754,7,6290
704,出单队,273809408,"[101,201]","[1,1]",1,56121,7,6355
705,篮球人,275993122,"[101,201]","[1,1]",1,48978,7,6460
706,赴你队,273809408,"[101,201]","[1,1]",1,56300,7,6555
