Id,CardId,Star,ClubId,Ability,Position
10100,103010,2,101,"{""1"":55,""2"":34,""3"":61,""4"":70,""5"":66,""6"":47,""7"":24,""8"":29,""9"":61,""10"":55}",1
10101,103030,2,101,"{""1"":59,""2"":37,""3"":53,""4"":65,""5"":75,""6"":56,""7"":37,""8"":20,""9"":64,""10"":55}",2
10102,102004,2,101,"{""1"":44,""2"":43,""3"":38,""4"":46,""5"":40,""6"":38,""7"":34,""8"":41,""9"":50,""10"":47}",3
10103,103015,2,101,"{""1"":49,""2"":60,""3"":38,""4"":43,""5"":34,""6"":53,""7"":62,""8"":76,""9"":44,""10"":54}",4
10104,104015,2,101,"{""1"":64,""2"":78,""3"":43,""4"":49,""5"":33,""6"":63,""7"":89,""8"":88,""9"":53,""10"":71}",5
10105,103004,2,101,"{""1"":53,""2"":35,""3"":67,""4"":68,""5"":66,""6"":47,""7"":24,""8"":32,""9"":69,""10"":56}",1
10106,104017,2,101,"{""1"":77,""2"":44,""3"":69,""4"":76,""5"":89,""6"":68,""7"":47,""8"":24,""9"":75,""10"":64}",2
10107,101015,2,101,"{""1"":29,""2"":31,""3"":37,""4"":39,""5"":29,""6"":29,""7"":29,""8"":36,""9"":39,""10"":36}",3
10108,103035,2,101,"{""1"":40,""2"":60,""3"":37,""4"":45,""5"":30,""6"":52,""7"":69,""8"":75,""9"":44,""10"":53}",4
10109,103003,2,101,"{""1"":45,""2"":68,""3"":36,""4"":42,""5"":34,""6"":56,""7"":72,""8"":76,""9"":44,""10"":56}",5
10200,103005,2,102,"{""1"":50,""2"":39,""3"":70,""4"":66,""5"":79,""6"":55,""7"":24,""8"":31,""9"":68,""10"":50}",1
10201,104016,2,102,"{""1"":81,""2"":42,""3"":73,""4"":75,""5"":72,""6"":53,""7"":37,""8"":29,""9"":76,""10"":63}",2
10202,102015,2,102,"{""1"":43,""2"":40,""3"":37,""4"":46,""5"":42,""6"":41,""7"":36,""8"":45,""9"":47,""10"":47}",3
10203,103033,2,102,"{""1"":43,""2"":64,""3"":37,""4"":43,""5"":30,""6"":51,""7"":67,""8"":72,""9"":44,""10"":56}",4
