Id,Type,Stage,RankMin,RankMax,Reward
1,1,9,0,0,1:1:200
2,1,8,0,0,1:1:200
3,1,7,0,0,1:1:200
4,1,6,0,0,1:1:200
5,1,5,0,0,1:1:200
6,1,4,0,0,1:1:100
7,1,3,0,0,1:1:100
8,1,2,0,0,1:1:100
9,1,1,0,0,1:1:100
10,2,9,0,0,2:400501:500
11,2,8,0,0,2:400501:400
12,2,7,0,0,2:400501:300
13,2,6,0,0,2:400501:260
14,2,5,0,0,2:400501:220
15,2,4,0,0,2:400501:180
16,2,3,0,0,2:400501:160
17,2,2,0,0,2:400501:120
18,2,1,0,0,2:400501:100
19,3,9,1,1,2:400501:18000|1:1:1000
20,3,9,2,2,2:400501:15000|1:1:750
21,3,9,3,3,2:400501:10000|1:1:500
22,3,9,4,10,2:400501:7500|1:1:450
23,3,9,11,0,2:400501:6500|1:1:400
24,3,8,0,0,2:400501:5000|1:1:350
25,3,7,0,0,2:400501:4500|1:1:300
26,3,6,0,0,2:400501:4000|1:1:250
27,3,5,0,0,2:400501:3500|1:1:200
28,3,4,0,0,2:400501:3300|1:1:150
29,3,3,0,0,2:400501:3100|1:1:120
30,3,2,0,0,2:400501:3000|1:1:80
31,3,1,0,0,2:400501:2800|1:1:50
32,4,9,0,0,2:400501:100
33,4,8,0,0,2:400501:90
34,4,7,0,0,2:400501:80
35,4,6,0,0,2:400501:70
36,4,5,0,0,2:400501:60
37,4,4,0,0,2:400501:50
38,4,3,0,0,2:400501:40
39,4,2,0,0,2:400501:30
40,4,1,0,0,2:400501:20
