Id,Item,Cost,Stage,Limit,WeekLimit
101,3:104005:1,14000,9,1,-1
102,2:400152:30,2400,9,1,-1
103,1:1:200,160,9,1,-1
104,2:200219:200,1600,9,1,-1
105,2:100105:30,60,9,1,-1
106,2:400201:1,240,9,1,-1
107,1:2:30000,240,9,1,-1
108,2:200211:1,875,6,1,-1
109,2:400153:20,1000,6,1,-1
110,1:1:150,100,6,1,-1
111,2:200218:100,666,6,1,-1
112,2:100105:30,50,6,1,-1
113,2:400201:1,200,6,1,-1
114,1:2:30000,200,6,1,-1
115,2:200229:1,175,3,1,-1
116,2:400154:30,750,3,1,-1
117,1:1:100,50,3,1,-1
118,2:200217:80,400,3,1,-1
119,2:100105:20,25,3,1,-1
120,2:400201:1,150,3,1,-1
121,1:2:30000,150,3,1,-1
122,2:200229:1,175,1,1,-1
123,2:400154:10,200,1,1,-1
124,1:1:50,20,1,1,-1
125,2:200216:80,320,1,1,-1
126,2:100105:10,10,1,1,-1
127,2:400201:1,120,1,1,-1
128,1:2:5000,20,1,1,-1
1,2:100108:1,500,1,-1,99
2,2:400151:3,6000,1,-1,33
3,2:400152:3,1200,1,-1,33
4,2:400153:3,900,1,-1,33
5,2:400154:3,600,1,-1,33
