Id,Name,Icon,Time,Hero,OnBattle,Rewards,Desc,Option
1,西部篮球公益行,100104,1800,5,[131],1:2:2000|2:400401:2,选派5名球员前往西部边远山区普及篮球知识。,蓝色球员至少1人
2,篮球训练营,100104,1800,5,[132],1:2:2000|2:400401:2,选派5名球员陪同青少年一起训练篮球基本功。,蓝色球员至少2人
3,球迷见面会,100104,1800,5,[131],1:2:2000|2:400401:2,选派5名球员参与球迷见面会并现场签名。,蓝色球员至少1人
4,中国心、篮球梦,100104,1800,5,[132],1:2:2000|2:400401:2,选派5名球员参与发掘具运动天赋的篮球少年。,蓝色球员至少2人
5,公益篮球赛,100104,1800,5,[131],1:2:2000|2:400401:2,选派5名球员参加篮球公益赛为灾区筹集资金。,蓝色球员至少1人
6,动感篮球,100104,1800,5,"[132,11]",1:2:2000|2:400401:2,选派5名球员参与街头篮球行为艺术表演。,蓝色球员至少2人|控球后卫至少1人
7,同心筑梦，燃情夏日,100104,1800,5,"[131,21]",1:2:2000|2:400401:2,选派5名球员参与篮球夏令营活动。,蓝色球员至少1人|得分后卫至少1人
8,小篮球、大梦想,100104,1800,5,"[132,31]",1:2:2000|2:400401:2,选派5名球员参与学校篮球知识问答。,蓝色球员至少2人|小前锋至少1人
9,篮球时光,100104,1800,5,"[131,41]",1:2:2000|2:400401:2,选派5名球员陪同家长参与亲子篮球互动。,蓝色球员至少1人|大前锋至少1人
10,奔跑少年,100104,1800,5,"[132,51]",1:2:2000|2:400401:2,选派5名球员参与青少年短跑活动。,蓝色球员至少2人|中锋至少1人
11,篮球游戏设计,100104,1800,5,"[141,11]",1:2:4000|2:400401:2,选派5名球员前往巴布游参与篮球游戏设计。,紫色球员至少1人|控球后卫至少1人
12,飞人梦想拍摄,100104,1800,5,"[142,12]",1:2:4000|2:400401:2,选派5名球员参与飞人梦想的纪录片拍摄。,紫色球员至少2人|控球后卫至少2人
13,街头篮球表演,100104,1800,5,"[143,21]",1:2:4000|2:400401:2,选派5名球员街头篮球单挑活动。,紫色球员至少3人|得分后卫至少1人
14,幸福篮球公益课,100104,1800,5,"[151,22]",1:2:4000|2:400401:2,选派5名球员参与幸福篮球公开课。,橙色球员至少1人|得分后卫至少2人
15,致敬抗疫天使，共筑健康未来,100104,1800,5,"[133,31]",1:2:4000|2:400401:2,选派5名球员与抗疫天使一起球场互动。,蓝色球员至少3人|小前锋至少1人
16,体彩公益,100104,1800,5,"[141,32]",1:2:4000|2:400401:2,选派5名球员参与体彩福利公开赛。,紫色球员至少1人|小前锋至少2人
17,青少年篮球联赛,100104,1800,5,"[142,41]",1:2:4000|2:400401:2,选派5名球员参与青少年篮球联赛表演赛。,紫色球员至少2人|大前锋至少1人
18,少年篮球梦,100104,1800,5,"[143,42]",1:2:4000|2:400401:2,选派5名球员参与少年篮球梦签名活动。,紫色球员至少3人|大前锋至少2人
19,世界篮球日,100104,1800,5,"[151,51]",1:2:4000|2:400401:2,选派5名球员参与世界篮球日公开演讲。,橙色球员至少1人|中锋至少1人
20,全民健身日,100104,1800,5,"[133,52]",1:2:4000|2:400401:2,选派5名球员参与全民健身日公开课。,蓝色球员至少3人|中锋至少2人
21,拥抱篮球，点亮梦想,100104,1800,5,"[143,11]",1:2:4000|2:400401:2,选派5名球员参与[拥抱篮球、点亮梦想]演讲。,紫色球员至少3人|控球后卫至少1人
22,篮球进校园,100104,1800,5,"[144,12]",1:2:4000|2:400401:2,选派5名球员参与校园篮球3V3活动。,紫色球员至少4人|控球后卫至少2人
23,"挑战地心引力,引爆篮球魅力",100104,1800,5,"[151,21]",1:2:4000|2:400401:2,选派5名球员参与篮球公益活动。,橙色球员至少1人|得分后卫至少1人
24,少年强则国强,100104,1800,5,"[152,22]",1:2:4000|2:400401:2,选派5名球员参与[少年强则国强]纪录片拍摄。,橙色球员至少2人|得分后卫至少2人
25,"""彩云杯""青少年篮球联赛",100104,1800,5,"[143,31]",1:2:4000|2:400401:2,"选派5名球员参与""彩云杯""篮球赛揭幕式。",紫色球员至少3人|小前锋至少1人
26,篮球路人,100104,1800,5,"[144,32]",1:2:4000|2:400401:2,选派5名球员篮球路人王单挑赛。,紫色球员至少4人|小前锋至少2人
27,六一篮球公益活动,100104,1800,5,"[151,41]",1:2:4000|2:400401:2,选派5名球员六一篮球公益赛。,橙色球员至少1人|大前锋至少1人
28,CBA一日游,100104,1800,5,"[152,42]",1:2:4000|2:400401:2,选派5名球员陪同小球迷参观CBA训练馆。,橙色球员至少2人|大前锋至少2人
29,四国篮球邀请赛,100104,1800,5,"[143,51]",1:2:4000|2:400401:2,选派5名球员参与四国篮球邀请赛。,紫色球员至少3人|中锋至少1人
30,母亲水窖,100104,1800,5,"[144,52]",1:2:4000|2:400401:2,选派5名球员参与篮球公益活动。,紫色球员至少4人|中锋至少2人
31,篮球无国界,100104,1800,5,"[151,11]",1:2:8000|2:400401:2,选派5名球员参与篮球无国界签名仪式。,橙色球员至少1人|控球后卫至少1人
32,安哥拉青少年篮球支持计划,100104,1800,5,"[152,12]",1:2:8000|2:400401:2,选派5名球员参与安哥拉青少年篮球支持计划。,橙色球员至少2人|控球后卫至少2人
33,中美篮球训练营,100104,1800,5,"[153,21]",1:2:8000|2:400401:2,选派5名球员参与中美篮球训练营。,橙色球员至少3人|得分后卫至少1人
34,体育元宇宙发布,100104,1800,5,"[143,22]",1:2:8000|2:400401:2,选派5名球员参与体育元宇宙项目开发。,紫色球员至少3人|得分后卫至少2人
35,北美亚裔篮球慈善赛,100104,1800,5,"[144,31]",1:2:8000|2:400401:2,选派5名球员参与北美亚裔篮球慈善赛。,紫色球员至少4人|小前锋至少1人
36,名人堂中国行,100104,1800,5,"[151,32]",1:2:8000|2:400401:2,选派5名球员参与名人堂中国行。,橙色球员至少1人|小前锋至少2人
37,中欧大学生公益篮球赛,100104,1800,5,"[152,41]",1:2:8000|2:400401:2,选派5名球员观摩中欧大学生公益篮球赛。,橙色球员至少2人|大前锋至少1人
38,慈善诊所开业典礼,100104,1800,5,"[153,42]",1:2:8000|2:400401:2,选派5名球员参与慈善诊所开业典礼。,橙色球员至少3人|大前锋至少2人
39,洛克公园,100104,1800,5,"[143,51]",1:2:8000|2:400401:2,选派5名球员参与洛克公园篮球活动。,紫色球员至少3人|中锋至少1人
40,篮球走向世界,100104,1800,5,"[144,52]",1:2:8000|2:400401:2,选派5名球员参与篮球走向世界纪录片拍摄。,紫色球员至少4人|中锋至少2人
41,球星球迷投篮赛,100104,1800,5,"[151,12]",1:2:8000|2:400401:2,选派5名球员担任球迷投篮赛裁判。,橙色球员至少1人|控球后卫至少2人
42,花式篮球表演赛,100104,1800,5,"[152,13]",1:2:8000|2:400401:2,选派5名球员参与花式篮球表演赛。,橙色球员至少2人|控球后卫至少3人
43,薪火阵营串班,100104,1800,5,"[153,22]",1:2:8000|2:400401:2,选派5名球员参与薪火阵营串班。,橙色球员至少3人|得分后卫至少2人
44,顶级训练师,100104,1800,5,"[143,23]",1:2:8000|2:400401:2,选派5名球员协助拍摄《顶级训练师》。,紫色球员至少3人|得分后卫至少3人
45,劳伦斯公益赛,100104,1800,5,"[144,32]",1:2:8000|2:400401:2,选派5名球员参与劳伦斯公益赛。,紫色球员至少4人|小前锋至少2人
46,大使赛场拜年,100104,1800,5,"[151,33]",1:2:8000|2:400401:2,选派5名球员参与大使赛场拜年。,橙色球员至少1人|小前锋至少3人
