Id,BoxId,Group,RewardType,RewardId,RewardNum,Weight
1,200101,1,1,2,2000,100
2,200101,2,2,200109,1,100
3,200101,3,1,1,200,100
4,200101,4,2,100104,50,100
5,200102,1,1,2,10000,100
6,200103,1,1,1,50,100
7,200103,2,2,100101,1,100
8,200103,2,2,100102,1,100
9,200103,2,2,100103,1,100
10,200103,2,0,0,0,100
11,200104,1,2,501001,1,9500
12,200104,1,2,501001,10,300
13,200104,1,1,1,1000,100
14,200104,1,2,200201,1,30
15,200104,1,2,200204,1,30
16,200105,1,2,501001,1,9500
17,200105,1,2,501001,10,300
18,200105,1,1,1,1000,100
19,200105,1,2,200201,1,30
20,200105,1,2,200203,1,30
21,200106,1,2,501001,1,9500
22,200106,1,2,501001,10,300
23,200106,1,1,1,1000,100
24,200106,1,2,200201,1,30
25,200106,1,2,200202,1,30
26,200107,1,1,3,10,100
27,200108,1,1,3,60,100
28,200109,1,1,2,5000,100
29,200109,2,2,200110,1,100
30,200109,3,1,1,200,100
31,200109,4,2,100108,20,100
32,200110,1,1,2,5000,100
33,200110,2,2,200111,1,100
34,200110,3,1,1,200,100
35,200110,4,2,100108,20,100
36,200111,1,1,2,5000,100
37,200111,2,2,200112,1,100
38,200111,3,2,400105,10,100
39,200111,4,2,100108,20,100
40,200112,1,1,2,5000,100
41,200112,2,2,200113,1,100
42,200112,3,2,400105,10,100
43,200112,4,2,100108,20,100
44,200113,1,1,2,5000,100
45,200113,2,2,200114,1,100
46,200113,3,2,400105,10,100
47,200113,4,2,100108,20,100
48,200114,1,1,2,5000,100
49,200114,2,2,200115,1,100
50,200114,3,2,400104,10,100
51,200114,4,2,100108,20,100
52,200115,1,1,2,5000,100
53,200115,2,2,200116,1,100
54,200115,3,2,400104,10,100
55,200115,4,2,100108,20,100
56,200116,1,1,2,5000,100
57,200116,2,2,200117,1,100
58,200116,3,2,400104,10,100
59,200116,4,2,100108,20,100
60,200117,1,1,2,5000,100
61,200117,2,2,200118,1,100
62,200117,3,2,400104,10,100
63,200117,4,2,100108,20,100
64,200118,1,1,2,5000,100
65,200118,2,2,200119,1,100
66,200118,3,2,400103,10,100
67,200118,4,2,100108,20,100
