Id,TrainId,BreakIndex,TargetLevel,BuffType,BuffValue,CardBuffType,CardBuffValue,CardTotalValue
10001,1,1,1,401,1.0,9,20.0,20.0
10002,1,2,25,401,1.0,9,1.0,21.0
10003,1,3,50,401,4.0,9,0.0,21.0
10004,1,4,75,1,3.0,9,0.0,21.0
10005,1,5,100,1,11.0,9,2.0,23.0
10006,1,6,125,3,2.0,9,0.0,23.0
10007,1,7,150,4,2.0,9,1.0,24.0
10008,1,8,175,2,2.0,9,0.0,24.0
10009,1,9,200,5,2.0,9,0.0,24.0
10010,1,10,225,2,3.0,9,2.0,26.0
10011,1,11,250,3,3.0,9,0.0,26.0
10012,1,12,275,1,2.0,9,1.0,27.0
10013,1,13,300,4,3.0,9,0.0,27.0
10014,1,14,325,5,3.0,9,0.0,27.0
10015,1,15,350,2,4.0,9,2.0,29.0
10016,1,16,375,1,2.0,9,0.0,29.0
10017,1,17,400,3,4.0,9,1.0,30.0
10018,1,18,425,4,4.0,9,0.0,30.0
10019,1,19,450,5,4.0,9,0.0,30.0
10020,1,20,475,6,11.0,9,3.0,33.0
10021,1,21,500,2,5.0,9,0.0,33.0
10022,1,22,525,3,5.0,9,1.0,34.0
10023,1,23,550,4,5.0,9,0.0,34.0
10024,1,24,575,5,5.0,9,0.0,34.0
10025,1,25,600,7,11.0,9,2.0,36.0
10026,1,26,625,2,6.0,9,0.0,36.0
10027,1,27,650,3,6.0,9,1.0,37.0
10028,1,28,675,5,6.0,9,0.0,37.0
10029,1,29,725,4,6.0,9,0.0,37.0
10030,1,30,750,8,11.0,9,2.0,39.0
10031,1,31,775,2,3.0,9,0.0,39.0
10032,1,32,800,9,11.0,9,1.0,40.0
10033,1,33,825,3,7.0,9,0.0,40.0
10034,1,34,850,4,7.0,9,0.0,40.0
10035,1,35,875,10,11.0,9,2.0,42.0
10036,1,36,900,5,7.0,9,0.0,42.0
10037,1,37,925,6,7.0,9,1.0,43.0
10038,1,38,950,7,7.0,9,0.0,43.0
10039,1,39,975,8,7.0,9,0.0,43.0
10040,1,40,1000,1,7777777.0,9,3.0,46.0
10041,1,41,1025,9,7.0,9,0.0,46.0
10042,1,42,1050,10,7.0,9,1.0,47.0
10043,1,43,1075,3,8.0,9,0.0,47.0
10044,1,44,1100,4,8.0,9,0.0,47.0
10045,1,45,1125,5,8.0,9,2.0,49.0
10046,1,46,1150,6,8.0,9,0.0,49.0
10047,1,47,1175,7,8.0,9,1.0,50.0
10048,1,48,1200,8,8.0,9,0.0,50.0
10049,1,49,1225,9,8.0,9,0.0,50.0
10050,1,50,1250,1,7777.0,9,2.0,52.0
10051,1,51,1300,10,8.0,9,0.0,52.0
10052,1,52,1350,2,9.0,9,1.0,53.0
10053,1,53,1400,3,9.0,9,0.0,53.0
10054,1,54,1450,4,9.0,9,0.0,53.0
10055,1,55,1500,5,9.0,9,2.0,55.0
10056,1,56,1550,6,9.0,9,0.0,55.0
10057,1,57,1600,7,9.0,9,1.0,56.0
10058,1,58,1650,8,9.0,9,0.0,56.0
10059,1,59,1700,9,9.0,9,0.0,56.0
10060,1,60,1750,10,9.0,9,2.0,58.0
10061,1,61,1800,6,10.0,9,0.0,58.0
10062,1,62,1850,7,10.0,9,1.0,59.0
