Id,Desc,DescPart1,DescPart2,DescOperator,EffectTrainId,TrainIconName
0,全体训练项目收益,全体训练项目,收益,x,99,All
1,身体训练收益,身体训练,收益,x,1,Body
2,传球训练收益,传球训练,收益,x,2,Pass
3,防守训练收益,防守训练,收益,x,3,Defence
4,扣篮训练收益,扣篮训练,收益,x,4,Dunk
5,篮板训练收益,篮板训练,收益,x,5,Rebound
6,投篮训练收益,投篮训练,收益,x,6,Shoot
7,抢断训练收益,抢断训练,收益,x,7,Steal
8,控球训练收益,控球训练,收益,x,8,Control
9,盖帽训练收益,盖帽训练,收益,x,9,Block
10,稳定训练收益,稳定训练,收益,x,10,Stable
100,源力加成,源力,加成,+,99,OriginPower
101,经验,经验,,+,99,All
200,全体训练项目等级,全体训练项目,等级,+,99,All
201,身体训练等级,身体训练,等级,+,1,Body
202,传球训练等级,传球训练,等级,+,2,Pass
203,防守训练等级,防守训练,等级,+,3,Defence
204,扣篮训练等级,扣篮训练,等级,+,4,Dunk
205,篮板训练等级,篮板训练,等级,+,5,Rebound
206,投篮训练等级,投篮训练,等级,+,6,Shoot
207,抢断训练等级,抢断训练,等级,+,7,Steal
208,控球训练等级,控球训练,等级,+,8,Control
209,盖帽训练等级,盖帽训练,等级,+,9,Block
210,稳定训练等级,稳定训练,等级,+,10,Stable
300,全体训练项目升級消耗,全体训练项目,升級消耗,-,99,All
301,身体训练升級消耗,身体训练,升級消耗,-,1,Body
302,传球训练升級消耗,传球训练,升級消耗,-,2,Pass
303,防守训练升級消耗,防守训练,升級消耗,-,3,Defence
304,扣篮训练升級消耗,扣篮训练,升級消耗,-,4,Dunk
305,篮板训练升級消耗,篮板训练,升級消耗,-,5,Rebound
306,投篮训练升級消耗,投篮训练,升級消耗,-,6,Shoot
307,抢断训练升級消耗,抢断训练,升級消耗,-,7,Steal
308,控球训练升級消耗,控球训练,升級消耗,-,8,Control
309,盖帽训练升級消耗,盖帽训练,升級消耗,-,9,Block
310,稳定训练升級消耗,稳定训练,升級消耗,-,10,Stable
400,全体训练项目效率,全体训练项目,效率,x,99,All
401,身体训练效率,身体训练,效率,x,1,Body
402,传球训练效率,传球训练,效率,x,2,Pass
403,防守训练效率,防守训练,效率,x,3,Defence
404,扣篮训练效率,扣篮训练,效率,x,4,Dunk
405,篮板训练效率,篮板训练,效率,x,5,Rebound
406,投篮训练效率,投篮训练,效率,x,6,Shoot
407,抢断训练效率,抢断训练,效率,x,7,Steal
408,控球训练效率,控球训练,效率,x,8,Control
409,盖帽训练效率,盖帽训练,效率,x,9,Block
410,稳定训练效率,稳定训练,效率,x,10,Stable
