Id,Exp,ExpTotal,Ability
1,160,0,"{""1"":9,""2"":0,""3"":0,""4"":9,""5"":0,""6"":0,""7"":9,""8"":0,""9"":0,""10"":0}"
2,240,160,"{""1"":9,""2"":9,""3"":0,""4"":9,""5"":9,""6"":0,""7"":9,""8"":9,""9"":0,""10"":0}"
3,400,400,"{""1"":9,""2"":9,""3"":9,""4"":9,""5"":9,""6"":9,""7"":9,""8"":9,""9"":9,""10"":9}"
4,400,800,"{""1"":18,""2"":9,""3"":9,""4"":18,""5"":9,""6"":9,""7"":18,""8"":9,""9"":9,""10"":9}"
5,400,1200,"{""1"":18,""2"":18,""3"":9,""4"":18,""5"":18,""6"":9,""7"":18,""8"":18,""9"":9,""10"":9}"
6,400,1600,"{""1"":18,""2"":18,""3"":18,""4"":18,""5"":18,""6"":18,""7"":18,""8"":18,""9"":18,""10"":18}"
7,400,2000,"{""1"":27,""2"":18,""3"":18,""4"":27,""5"":18,""6"":18,""7"":27,""8"":18,""9"":18,""10"":18}"
8,800,2400,"{""1"":27,""2"":27,""3"":18,""4"":27,""5"":27,""6"":18,""7"":27,""8"":27,""9"":18,""10"":18}"
9,800,3200,"{""1"":27,""2"":27,""3"":27,""4"":27,""5"":27,""6"":27,""7"":27,""8"":27,""9"":27,""10"":27}"
10,2000,4000,"{""1"":36,""2"":27,""3"":27,""4"":36,""5"":27,""6"":27,""7"":36,""8"":27,""9"":27,""10"":27}"
11,2000,6000,"{""1"":36,""2"":36,""3"":27,""4"":36,""5"":36,""6"":27,""7"":36,""8"":36,""9"":27,""10"":27}"
12,4000,8000,"{""1"":36,""2"":36,""3"":36,""4"":36,""5"":36,""6"":36,""7"":36,""8"":36,""9"":36,""10"":36}"
13,4000,12000,"{""1"":45,""2"":36,""3"":36,""4"":45,""5"":36,""6"":36,""7"":45,""8"":36,""9"":36,""10"":36}"
14,9600,16000,"{""1"":45,""2"":45,""3"":36,""4"":45,""5"":45,""6"":36,""7"":45,""8"":45,""9"":36,""10"":36}"
15,9600,25600,"{""1"":45,""2"":45,""3"":45,""4"":45,""5"":45,""6"":45,""7"":45,""8"":45,""9"":45,""10"":45}"
16,9600,35200,"{""1"":54,""2"":45,""3"":45,""4"":54,""5"":45,""6"":45,""7"":54,""8"":45,""9"":45,""10"":45}"
17,9600,44800,"{""1"":54,""2"":54,""3"":45,""4"":54,""5"":54,""6"":45,""7"":54,""8"":54,""9"":45,""10"":45}"
18,9600,54400,"{""1"":54,""2"":54,""3"":54,""4"":54,""5"":54,""6"":54,""7"":54,""8"":54,""9"":54,""10"":54}"
19,9600,64000,"{""1"":63,""2"":54,""3"":54,""4"":63,""5"":54,""6"":54,""7"":63,""8"":54,""9"":54,""10"":54}"
20,8640,73600,"{""1"":63,""2"":63,""3"":54,""4"":63,""5"":63,""6"":54,""7"":63,""8"":63,""9"":54,""10"":54}"
21,10560,82240,"{""1"":63,""2"":63,""3"":63,""4"":63,""5"":63,""6"":63,""7"":63,""8"":63,""9"":63,""10"":63}"
22,9600,92800,"{""1"":72,""2"":63,""3"":63,""4"":72,""5"":63,""6"":63,""7"":72,""8"":63,""9"":63,""10"":63}"
23,9600,102400,"{""1"":72,""2"":72,""3"":63,""4"":72,""5"":72,""6"":63,""7"":72,""8"":72,""9"":63,""10"":63}"
24,9600,112000,"{""1"":72,""2"":72,""3"":72,""4"":72,""5"":72,""6"":72,""7"":72,""8"":72,""9"":72,""10"":72}"
25,9600,121600,"{""1"":81,""2"":72,""3"":72,""4"":81,""5"":72,""6"":72,""7"":81,""8"":72,""9"":72,""10"":72}"
26,9600,131200,"{""1"":81,""2"":81,""3"":72,""4"":81,""5"":81,""6"":72,""7"":81,""8"":81,""9"":72,""10"":72}"
27,12880,140800,"{""1"":81,""2"":81,""3"":81,""4"":81,""5"":81,""6"":81,""7"":81,""8"":81,""9"":81,""10"":81}"
28,12880,153680,"{""1"":90,""2"":81,""3"":81,""4"":90,""5"":81,""6"":81,""7"":90,""8"":81,""9"":81,""10"":81}"
29,12880,166560,"{""1"":90,""2"":90,""3"":81,""4"":90,""5"":90,""6"":81,""7"":90,""8"":90,""9"":81,""10"":81}"
30,12880,179440,"{""1"":90,""2"":90,""3"":90,""4"":90,""5"":90,""6"":90,""7"":90,""8"":90,""9"":90,""10"":90}"
31,13120,192320,"{""1"":99,""2"":90,""3"":90,""4"":99,""5"":90,""6"":90,""7"":99,""8"":90,""9"":90,""10"":90}"
32,13440,205440,"{""1"":99,""2"":99,""3"":90,""4"":99,""5"":99,""6"":90,""7"":99,""8"":99,""9"":90,""10"":90}"
33,13440,218880,"{""1"":99,""2"":99,""3"":99,""4"":99,""5"":99,""6"":99,""7"":99,""8"":99,""9"":99,""10"":99}"
34,13440,232320,"{""1"":108,""2"":99,""3"":99,""4"":108,""5"":99,""6"":99,""7"":108,""8"":99,""9"":99,""10"":99}"
35,11440,245760,"{""1"":108,""2"":108,""3"":99,""4"":108,""5"":108,""6"":99,""7"":108,""8"":108,""9"":99,""10"":99}"
36,14000,257200,"{""1"":108,""2"":108,""3"":108,""4"":108,""5"":108,""6"":108,""7"":108,""8"":108,""9"":108,""10"":108}"
