Id,Name,Portrait,CardYellowBg,Height,Weight,Nationality,Position,AdaptPosition,Number,Quality,Ability,AbilityRatio,ExtraAbility,PositionRatio,PiecesId,PiecesCount,Skills,ExtractWeight,GiftIds,Desc,Param,Power,RecruitWords,IsRetire,PeakYear,PeakLogo,Sale
104001,易建联,104001,1,212,120,0,2,"[4,5]",9,4,"{""1"":86,""2"":92,""3"":61,""4"":75,""5"":67,""6"":74,""7"":75,""8"":77,""9"":88,""10"":86}","{""1"":111,""2"":119,""3"":79,""4"":97,""5"":87,""6"":96,""7"":97,""8"":100,""9"":114,""10"":111}",13,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",304001,50,"[16,36]",5,"[104001110,104001210,104001310,104001410]",司职大前锋/中锋，身体素质劲爆，运动能力出色，堪称国内球员的天花板，进攻端能内能外，技术非常全面。,35|122|120,101,,1,,,1
104002,郭艾伦,104002,3,190,84,0,1,"[1,2]",13,4,"{""1"":93,""2"":71,""3"":88,""4"":88,""5"":74,""6"":70,""7"":60,""8"":74,""9"":82,""10"":83}","{""1"":120,""2"":92,""3"":114,""4"":114,""5"":96,""6"":91,""7"":78,""8"":96,""9"":106,""10"":107}",13,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",304002,50,"[31,28]",5,"[104002110,104002210,104002310,104002410]",司职控球后卫，攻防两端都非常强硬，拼劲足，脚步频率快，爆发力强，突破难以阻挡。,35|122|120,101,,0,,,1
104003,阿不都沙拉木,104003,4,203,98,0,2,"[3,4]",23,4,"{""1"":95,""2"":79,""3"":73,""4"":81,""5"":71,""6"":76,""7"":75,""8"":79,""9"":83,""10"":85}","{""1"":123,""2"":102,""3"":94,""4"":105,""5"":92,""6"":98,""7"":97,""8"":102,""9"":107,""10"":110}",10,"{""1"":60,""2"":70,""3"":100,""4"":90,""5"":70}",304003,50,"[10,26]",5,"[104003110,104003210,104003310,104003410]",司职前锋，具有出色的篮板球意识，往往利用出色的臂展还有判断篮板球落点方面的优势快速抢下篮板，并且二次进攻的把握性方面非常可靠。,35|122|120,103,,0,,,1
104004,赵继伟,104004,2,183,79,0,1,[1],3,4,"{""1"":83,""2"":66,""3"":93,""4"":88,""5"":91,""6"":85,""7"":60,""8"":61,""9"":83,""10"":83}","{""1"":107,""2"":85,""3"":120,""4"":114,""5"":118,""6"":110,""7"":78,""8"":79,""9"":107,""10"":107}",10,"{""1"":100,""2"":80,""3"":50,""4"":40,""5"":40}",304004,50,"[33,1]",5,"[104004110,104004210,104004310,104004410]",司职控球后卫，较高的篮球智商，组织能力和大局观较强，并且头脑冷静，能够清晰地判断形势，合理地控制比赛节奏。,35|122|120,103,感谢队友的信任，所以我才能在关键时刻站出来！,0,,,1
104005,韩德君,104005,4,215,123,0,3,[5],55,4,"{""1"":79,""2"":95,""3"":68,""4"":75,""5"":71,""6"":81,""7"":83,""8"":85,""9"":88,""10"":91}","{""1"":102,""2"":123,""3"":88,""4"":97,""5"":92,""6"":105,""7"":107,""8"":110,""9"":114,""10"":118}",10,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",304005,50,"[19,13]",5,"[104005110,104005210,104005310,104005410]",司职中锋，对抗能力出色，具备较强的低位进攻能力，还能够中距离投篮，阅读比赛的能力比较强，挡拆后冲击篮下的能力出众。,35|122|120,106,,0,,,1
104006,赵睿,104006,1,195,93,0,1,"[1,2]",10,4,"{""1"":83,""2"":76,""3"":89,""4"":86,""5"":86,""6"":83,""7"":66,""8"":76,""9"":84,""10"":84}","{""1"":107,""2"":98,""3"":115,""4"":111,""5"":111,""6"":107,""7"":85,""8"":98,""9"":109,""10"":109}",10,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",304006,50,"[31,39]",5,"[104006110,104006210,104006310,104006410]",司职后卫，身材强壮，对抗出色，进攻端能突能投，防守能力也非常强，堪称外线防守大闸，还具备较强的组织能力，能力非常全面，攻防一体。,72|122|120,105,你不在谩骂声中成长，喝水，不配做一个男人！,0,,,1
104007,胡金秋,104007,2,211,111,0,2,"[4,5]",21,4,"{""1"":93,""2"":82,""3"":60,""4"":78,""5"":66,""6"":72,""7"":75,""8"":85,""9"":85,""10"":95}","{""1"":120,""2"":106,""3"":78,""4"":101,""5"":85,""6"":93,""7"":97,""8"":110,""9"":110,""10"":123}",12,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",304007,50,"[16,37]",5,"[104007110,104007210,104007310,104007410]",司职中锋，攻守平衡，中投尤为精准，打球聪明，篮下脚步干净、利索、扎实，在国际赛场对抗上也不落下风。,53|122|120,102,我们会为了梦想战斗，这会永远保存在我们的记忆中！,0,,,1
104008,王哲林,104008,2,214,121,0,3,[5],94,4,"{""1"":88,""2"":88,""3"":65,""4"":75,""5"":70,""6"":87,""7"":89,""8"":78,""9"":88,""10"":88}","{""1"":114,""2"":114,""3"":84,""4"":97,""5"":91,""6"":113,""7"":115,""8"":101,""9"":114,""10"":114}",8,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",304008,50,"[40,41]",5,"[104008110,104008210,104008310,104008410]",司职中锋，进攻端非常全面，具备较强的低位背打能力，篮下脚步变化多变，甚至能持球从三分线外发起进攻。,35|122|120,106,他打我不犯规？等下我也打他！,0,,,1
104009,沈梓捷,104009,1,210,114,0,3,[5],11,4,"{""1"":84,""2"":88,""3"":70,""4"":75,""5"":75,""6"":95,""7"":95,""8"":90,""9"":87,""10"":94}","{""1"":109,""2"":114,""3"":91,""4"":97,""5"":97,""6"":123,""7"":123,""8"":117,""9"":113,""10"":122}",5,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",304009,50,"[10,21]",5,"[104009110,104009210,104009310,104009410]",司职前锋/中锋，身体素质劲爆，运动能力出色，臂展比较有优势，具备较强的机动能力，防守端覆盖面积大，具备较强的封盖能力。,31|122|120,111,,0,,,1
104010,张镇麟,104010,3,205,102,0,2,[3],7,4,"{""1"":83,""2"":73,""3"":64,""4"":81,""5"":80,""6"":77,""7"":65,""8"":95,""9"":84,""10"":82}","{""1"":107,""2"":94,""3"":83,""4"":105,""5"":104,""6"":100,""7"":84,""8"":123,""9"":109,""10"":106}",12,"{""1"":60,""2"":70,""3"":100,""4"":80,""5"":70}",304010,50,"[18,11]",5,"[104010110,104010210,104010310,104010410]",司职前锋，擅长冲抢前场篮板，经常能够补篮命中，进攻端能突能投，具备较强的三分能力，以无球打法为主。,35|100|120,102,,0,,,1
