Id,PoolInfo,Desc,Operator,Operand,PoolId,Nxtinfo
10,1,首次抽卡,eq,1,13,
11,1,橙卡池,every,50,12,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
12,1,紫卡池,every,25,11,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
13,1,普通抽卡,ignore,0,10,
20,2,橙卡池,eq,50,23,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
21,2,橙卡池,every,50,22,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
22,2,紫卡池,every,25,21,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
23,2,普通抽卡,ignore,0,20,
30,3,橙卡池,eq,50,33,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
31,3,橙卡池,every,50,32,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
32,3,紫卡池,every,25,31,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
33,3,普通抽卡,ignore,0,30,
40,4,橙卡池,eq,50,43,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
41,4,橙卡池,every,50,42,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
42,4,紫卡池,every,25,41,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
43,4,普通抽卡,ignore,0,40,
50,5,橙卡池,eq,50,53,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
51,5,橙卡池,every,50,52,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
52,5,紫卡池,every,25,51,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
53,5,普通抽卡,ignore,0,50,
60,6,橙卡池,eq,50,63,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
61,6,橙卡池,every,50,62,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
62,6,紫卡池,every,25,61,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
63,6,普通抽卡,ignore,0,60,
70,7,橙卡池,eq,50,73,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
71,7,橙卡池,every,50,72,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
72,7,紫卡池,every,25,71,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
73,7,普通抽卡,ignore,0,70,
80,8,橙卡池,eq,50,83,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
81,8,橙卡池,every,50,82,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
82,8,紫卡池,every,25,81,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
83,8,普通抽卡,ignore,0,80,
