Id,CardId,Quality,Star,AbilityAdd,Sklv,AbilityRatio,Power
104001401,104001,4,1,"{""1"":50,""2"":71,""3"":36,""4"":41,""5"":28,""6"":48,""7"":63,""8"":70,""9"":46,""10"":56}","{""1"":1,""2"":1,""3"":1,""4"":1}","{""1"":126,""2"":119,""3"":94,""4"":97,""5"":102,""6"":96,""7"":112,""8"":100,""9"":129,""10"":111}",51
104001402,104001,4,2,"{""1"":100,""2"":143,""3"":71,""4"":82,""5"":57,""6"":96,""7"":126,""8"":140,""9"":91,""10"":111}","{""1"":2,""2"":1,""3"":1,""4"":1}","{""1"":126,""2"":134,""3"":94,""4"":112,""5"":102,""6"":111,""7"":112,""8"":115,""9"":129,""10"":126}",102
104001403,104001,4,3,"{""1"":150,""2"":214,""3"":107,""4"":124,""5"":85,""6"":144,""7"":189,""8"":210,""9"":137,""10"":167}","{""1"":2,""2"":2,""3"":1,""4"":1}","{""1"":141,""2"":149,""3"":94,""4"":112,""5"":117,""6"":126,""7"":112,""8"":115,""9"":129,""10"":141}",153
104001404,104001,4,4,"{""1"":200,""2"":286,""3"":142,""4"":165,""5"":113,""6"":192,""7"":252,""8"":280,""9"":182,""10"":222}","{""1"":2,""2"":2,""3"":2,""4"":1}","{""1"":141,""2"":149,""3"":109,""4"":127,""5"":117,""6"":126,""7"":127,""8"":130,""9"":144,""10"":141}",203
104001405,104001,4,5,"{""1"":250,""2"":357,""3"":178,""4"":206,""5"":141,""6"":240,""7"":315,""8"":350,""9"":228,""10"":278}","{""1"":2,""2"":2,""3"":2,""4"":2}","{""1"":141,""2"":149,""3"":109,""4"":142,""5"":132,""6"":141,""7"":127,""8"":145,""9"":159,""10"":141}",254
104001406,104001,4,6,"{""1"":300,""2"":428,""3"":213,""4"":247,""5"":170,""6"":288,""7"":378,""8"":420,""9"":274,""10"":333}","{""1"":3,""2"":2,""3"":2,""4"":2}","{""1"":156,""2"":164,""3"":124,""4"":142,""5"":132,""6"":141,""7"":142,""8"":145,""9"":159,""10"":156}",305
104001407,104001,4,7,"{""1"":350,""2"":500,""3"":249,""4"":289,""5"":198,""6"":336,""7"":441,""8"":490,""9"":319,""10"":389}","{""1"":3,""2"":3,""3"":2,""4"":2}","{""1"":171,""2"":164,""3"":139,""4"":142,""5"":147,""6"":141,""7"":157,""8"":145,""9"":174,""10"":156}",356
104001408,104001,4,8,"{""1"":400,""2"":571,""3"":284,""4"":330,""5"":226,""6"":384,""7"":504,""8"":560,""9"":365,""10"":444}","{""1"":3,""2"":3,""3"":3,""4"":2}","{""1"":171,""2"":179,""3"":139,""4"":157,""5"":147,""6"":156,""7"":157,""8"":160,""9"":174,""10"":171}",407
104001409,104001,4,9,"{""1"":450,""2"":643,""3"":320,""4"":371,""5"":254,""6"":432,""7"":567,""8"":630,""9"":410,""10"":500}","{""1"":3,""2"":3,""3"":3,""4"":3}","{""1"":186,""2"":194,""3"":139,""4"":157,""5"":162,""6"":171,""7"":157,""8"":160,""9"":174,""10"":186}",458
104001410,104001,4,10,"{""1"":500,""2"":714,""3"":356,""4"":412,""5"":283,""6"":480,""7"":631,""8"":700,""9"":456,""10"":555}","{""1"":4,""2"":3,""3"":3,""4"":3}","{""1"":186,""2"":194,""3"":154,""4"":172,""5"":162,""6"":171,""7"":172,""8"":175,""9"":189,""10"":186}",509
