Id,Name,Icon,Country,Tactics,TacticsLevels,FirstReward,Reward,Count,Star3
0,CBA全明星队,100101,0,"[101,201]","[1,1]",1:2:100,1:2:100,0,"[0,0]"
1010101,宁波町渥,900101,10101,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100104:40,1:4:100|2:100104:20,99,"[1009,1008]"
1010102,福建浔兴股份,900102,10101,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100104:40,1:4:100|2:100104:20,99,"[1009,1008]"
1010103,四川金荣实业,900103,10101,"[101,201]","[1,1]",1:4:100|2:100104:40|2:600101:5|2:600102:5,1:4:100|2:100104:20|2:600101:2|2:600102:2,40,"[1009,1008]"
1010201,安阳KGC,100101,10102,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100104:40,1:4:100|2:100104:20,99,"[1001,1002]"
1010202,昌原LG猎隼,100102,10102,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100104:40,1:4:100|2:100104:20,99,"[1001,1002]"
1010203,蔚山现代太阳神,100103,10102,"[101,201]","[1,1]",1:4:100|2:100104:40|2:600103:5|2:600104:5,1:4:100|2:100104:20|2:600103:2|2:600104:2,40,"[1001,1002]"
1010204,首尔SK骑士,100104,10102,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100104:40,1:4:100|2:100104:20,99,"[1001,1002]"
1010205,高阳猎户座,100105,10102,"[101,201]","[1,1]",1:4:100|2:100104:40|2:600105:5|2:600106:5,1:4:100|2:100104:20|2:600105:2|2:600106:2,40,"[1001,1002]"
1010301,北海道风神,100106,10103,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100104:40,1:4:100|2:100104:20,99,"[1001,1002]"
1010302,富山松鸡,100107,10103,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100104:40,1:4:100|2:100104:20,99,"[1001,1002]"
1010303,滋贺湖星,100108,10103,"[101,201]","[1,1]",1:4:100|2:100104:40|2:600101:5|2:600102:5,1:4:100|2:100104:20|2:600101:2|2:600102:2,40,"[1001,1002]"
1010304,新泻天鹅,100109,10103,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100104:40,1:4:100|2:100104:20,99,"[1001,1002]"
1010305,涩谷太阳摇滚,100110,10103,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100104:40,1:4:100|2:100104:20,99,"[1001,1002]"
1010306,三远新凤凰,100111,10103,"[101,201]","[1,1]",1:4:100|2:100104:40|2:600103:5|2:600104:5,1:4:100|2:100104:20|2:600103:2|2:600104:2,40,"[1001,1002]"
1010307,京都创荣,100112,10103,"[101,201]","[1,1]",1:4:100|2:100104:40|2:600105:5|2:600106:5,1:4:100|2:100104:20|2:600105:2|2:600106:2,40,"[1001,1002]"
1010401,生力啤,100113,10104,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010402,菲律宾电信TNT,100114,10104,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010403,基尼巴国王,100101,10104,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600101:5|2:600102:5,1:4:100|2:100105:5|2:600101:2|2:600102:2,40,"[1001,1002]"
1010404,湾区翼龙,100102,10104,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010405,汇众光纤,100103,10104,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010406,勇士之路,100104,10104,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600103:5|2:600104:5,1:4:100|2:100105:5|2:600103:2|2:600104:2,40,"[1001,1002]"
1010407,博尔特斯,100105,10104,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010408,拉马多斯,100106,10104,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010409,泰拉菲尔马,100107,10104,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600105:5|2:600106:5,1:4:100|2:100105:5|2:600105:2|2:600106:2,40,"[1001,1002]"
1010410,伊拉斯图阴阳天,100108,10104,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600103:5|2:600104:5,1:4:100|2:100105:5|2:600103:2|2:600104:2,40,"[1001,1002]"
1010501,Hi-Tech,100109,10105,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010502,湄公河联盟,100110,10105,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600201:5|2:600202:5,1:4:100|2:100105:5|2:600201:2|2:600202:2,40,"[1001,1002]"
1010503,Dunkin猛龙队,100111,10105,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
