Id,Name,Des,UserLevel,Level,Map,LevelTxt,Number,Star1,Reward1,Star2,Reward2,Star3,Reward3,Unlock,Icon,NodeName
10101,中国,亚洲普通联赛,0,1,101,普通,3,3,1:2:500|2:200255:2,6,1:1:300,9,2:400201:2,0,101,chNode1
10102,韩国,亚洲普通联赛,0,1,101,普通,5,5,1:2:1000|2:200255:2,10,1:1:300,15,2:400201:2,10101,102,chNode2
10103,日本,亚洲普通联赛,0,1,101,普通,7,7,1:2:2000|2:200255:3,14,1:1:300|2:200255:3,21,2:400201:2,10102,103,chNode3
10104,菲律宾,亚洲普通联赛,0,1,101,普通,10,10,1:2:3000|2:200255:4,20,1:1:300|2:200255:4,30,2:400201:2,10103,104,chNode4
10105,泰国,亚洲普通联赛,0,1,101,普通,10,10,1:2:3000|2:200255:5,20,1:1:300|2:200255:5,30,2:400201:2,10104,105,chNode5
10106,印度,亚洲普通联赛,0,1,101,普通,10,10,1:2:3000|2:200255:5,20,1:1:300|2:200255:5,30,2:400201:2,10105,106,chNode6
10107,伊朗,亚洲普通联赛,0,1,101,普通,10,10,1:2:3000|2:200255:5,20,1:1:300|2:200255:5,30,2:400201:2,10106,107,chNode7
10201,安哥拉,非洲普通联赛,0,1,102,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10107,108,chNode8
10202,尼日利亚,非洲普通联赛,18,1,102,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10201,109,chNode9
10203,塞内加尔,非洲普通联赛,0,1,102,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10202,110,chNode10
10204,科特迪瓦,非洲普通联赛,0,1,102,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10203,111,chNode11
10205,埃及,非洲普通联赛,0,1,102,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10204,112,chNode12
10206,喀麦隆,非洲普通联赛,0,1,102,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10205,113,chNode13
10207,摩洛哥,非洲普通联赛,0,1,102,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10206,114,chNode14
10208,中非,非洲普通联赛,0,1,102,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10207,115,chNode15
10209,突尼西亚,非洲普通联赛,0,1,102,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10208,116,chNode16
10210,刚果,非洲普通联赛,0,1,102,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10209,117,chNode17
10301,印第安纳州,北美普通联赛,0,1,103,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10210,118,chNode18
10302,蒙大拿州,北美普通联赛,0,1,103,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10301,119,chNode19
10303,加利福尼亚州,北美普通联赛,0,1,103,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10302,120,chNode20
10304,北卡罗来纳州,北美普通联赛,20,1,103,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10303,121,chNode21
10305,康涅狄格州,北美普通联赛,20,1,103,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10304,122,chNode22
10306,宾夕法尼亚州,北美普通联赛,21,1,103,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10305,123,chNode23
10307,堪萨斯州,北美普通联赛,21,1,103,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10306,124,chNode24
10308,加拿大,北美普通联赛,22,1,103,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10307,125,chNode25
10309,古巴,北美普通联赛,23,1,103,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10308,126,chNode26
10310,墨西哥,北美普通联赛,24,1,103,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10309,127,chNode27
10401,维京群岛,南美普通联赛,25,1,104,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10310,128,chNode28
10402,牙买加,南美普通联赛,26,1,104,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10401,129,chNode29
10403,哥伦比亚,南美普通联赛,27,1,104,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10402,130,chNode30
10404,巴拉马,南美普通联赛,28,1,104,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10403,131,chNode31
10405,乌拉圭,南美普通联赛,29,1,104,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10404,132,chNode32
10406,委内瑞拉,南美普通联赛,29,1,104,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10405,133,chNode33
10407,多米尼加,南美普通联赛,30,1,104,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10406,134,chNode34
10408,玻利维亚,南美普通联赛,30,1,104,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10407,135,chNode35
10409,巴西,南美普通联赛,31,1,104,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10408,136,chNode36
10410,阿根廷,南美普通联赛,32,1,104,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10409,137,chNode37
10501,英国,欧洲普通联赛,33,1,105,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10410,138,chNode38
10502,土耳其,欧洲普通联赛,34,1,105,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10501,139,chNode39
10503,芬兰,欧洲普通联赛,35,1,105,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10502,140,chNode40
10504,波兰,欧洲普通联赛,36,1,105,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10503,141,chNode41
10505,德国,欧洲普通联赛,38,1,105,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10504,142,chNode42
10506,法国,欧洲普通联赛,40,1,105,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10505,143,chNode43
