Id,Name,Icon,Chapter,Tactics,TacticsLevels,Reward,Star3,OnBattle
4101001,[0星]张祖铭第1关,900101,1041010,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,531]"
4101002,[0星]张祖铭第2关,900102,1041010,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,531]"
4101003,[0星]张祖铭第3关,900103,1041010,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,531]"
4101004,[0星]张祖铭第4关,900104,1041010,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,531]"
4101005,[0星]张祖铭第5关,900105,1041010,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,531]"
4102001,[0星]马振翔第1关,900106,1041020,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,532]"
4102002,[0星]马振翔第2关,900107,1041020,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,532]"
4102003,[0星]马振翔第3关,900108,1041020,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,532]"
4102004,[0星]马振翔第4关,900109,1041020,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,532]"
4102005,[0星]马振翔第5关,900110,1041020,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,532]"
4103001,[0星]朱彦西第1关,900111,1041030,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,533]"
4103002,[0星]朱彦西第2关,900112,1041030,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,533]"
4103003,[0星]朱彦西第3关,900113,1041030,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,533]"
4103004,[0星]朱彦西第4关,900114,1041030,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,533]"
4103005,[0星]朱彦西第5关,900115,1041030,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,533]"
4001001,[0星]易建联第1关,900116,1040010,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001002,[0星]易建联第2关,900117,1040010,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001003,[0星]易建联第3关,900118,1040010,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001004,[0星]易建联第4关,900119,1040010,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001005,[0星]易建联第5关,900120,1040010,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001101,[1星]易建联第1关,900101,1040011,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001102,[1星]易建联第2关,900102,1040011,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001103,[1星]易建联第3关,900103,1040011,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001104,[1星]易建联第4关,900104,1040011,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001105,[1星]易建联第5关,900105,1040011,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
