Id,Name,Hero,Star,Prev,Des,Number,Star1,Reward1,Star2,Reward2,Star3,Reward3,Showrewards
1041010,篮球世家,101001,0,0,拥有[张祖铭]开启,5,5,2:301001:10,10,2:301001:10|2:400201:1,15,2:301001:10|2:400201:1,2:301001:1
1041020,CUBA篇,101002,0,0,拥有[马振翔]开启,5,5,2:301002:10,10,2:301002:10|2:400201:1,15,2:301002:10|2:400201:1,2:301002:1
1041030,篮球世家,101003,0,0,拥有[朱彦西]开启,5,5,2:301003:10,10,2:301003:10|2:400201:1,15,2:301003:10|2:400201:1,2:301003:1
1040010,宏远篇,104001,0,0,拥有[易建联]开启,5,5,2:304001:5,10,2:304001:10|2:400201:1,15,2:304001:10|2:400201:1,2:304001:1
1040020,亚青赛,104002,0,0,拥有[郭艾伦]开启,5,5,2:304002:5,10,2:304002:10|2:400201:1,15,2:304002:10|2:400201:1,2:304002:1
1040030,新疆青年队,104003,0,0,拥有[阿不都沙拉木]开启,5,5,2:304003:5,10,2:304003:10|2:400201:1,15,2:304003:10|2:400201:1,2:304003:1
1040040,亚青赛,104004,0,0,拥有[赵继伟]开启,5,5,2:304004:5,10,2:304004:10|2:400201:1,15,2:304004:10|2:400201:1,2:304004:1
1040050,CUBA篇,104005,0,0,拥有[韩德君]开启,5,5,2:304005:5,10,2:304005:10|2:400201:1,15,2:304005:10|2:400201:1,2:304005:1
1040060,大庆训练营,104006,0,0,拥有[赵睿]开启,5,5,2:304006:5,10,2:304006:10|2:400201:1,15,2:304006:10|2:400201:1,2:304006:1
1040070,浙江广厦篇,104007,0,0,拥有[胡金秋]开启,5,5,2:304007:5,10,2:304007:10|2:400201:1,15,2:304007:10|2:400201:1,2:304007:1
1040080,篮球世家,104008,0,0,拥有[王哲林]开启,5,5,2:304008:5,10,2:304008:10|2:400201:1,15,2:304008:10|2:400201:1,2:304008:1
