Id,Portrait,Star,Skills,ClubId,Name,Ability,Number,AdaptPosition,Quality,GiftIds,Power
1,104002,2,[0],0,郭艾伦,"{""1"":93,""2"":71,""3"":88,""4"":88,""5"":74,""6"":70,""7"":60,""8"":74,""9"":82,""10"":83}",13,[1],4,[0],101
2,104014,1,[0],0,胡明轩,"{""1"":81,""2"":68,""3"":79,""4"":86,""5"":67,""6"":69,""7"":68,""8"":75,""9"":80,""10"":83}",3,[2],4,[0],98
3,104003,2,[0],0,阿不都沙拉木,"{""1"":95,""2"":79,""3"":73,""4"":81,""5"":71,""6"":76,""7"":75,""8"":79,""9"":83,""10"":85}",23,[3],4,[0],103
4,104007,1,[0],0,胡金秋,"{""1"":93,""2"":82,""3"":60,""4"":78,""5"":66,""6"":72,""7"":75,""8"":85,""9"":85,""10"":95}",21,[4],4,[0],102
5,104001,2,[0],0,易建联,"{""1"":86,""2"":92,""3"":61,""4"":75,""5"":67,""6"":74,""7"":75,""8"":77,""9"":88,""10"":86}",9,[5],4,[0],101
6,104006,1,[0],0,赵睿,"{""1"":83,""2"":76,""3"":89,""4"":86,""5"":86,""6"":83,""7"":66,""8"":76,""9"":84,""10"":84}",10,"[2,1]",4,[0],105
7,104010,1,[0],0,张镇麟,"{""1"":83,""2"":73,""3"":64,""4"":81,""5"":80,""6"":77,""7"":65,""8"":95,""9"":84,""10"":82}",7,"[4,3]",4,[0],102
8,104013,1,[0],0,周鹏,"{""1"":81,""2"":72,""3"":72,""4"":81,""5"":75,""6"":77,""7"":73,""8"":74,""9"":84,""10"":85}",11,[5],4,[0],100
10101010,102010,1,[0],1010101,李柏润,"{""1"":10,""2"":10,""3"":10,""4"":10,""5"":10,""6"":10,""7"":10,""8"":10,""9"":10,""10"":10}",8,[1],2,[0],84
10101011,101010,1,[0],1010101,赵俊峰,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",17,[2],2,[0],98
10101012,101002,1,[0],1010101,马振翔,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",50,[3],2,[0],88
10101013,102001,1,[0],1010101,张彪,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",14,[4],2,[0],99
10101014,103009,1,[0],1010101,李原宇,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",15,[5],2,[0],85
10101015,20201,1,[0],1010101,党瑞博,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",13,[3],2,[0],90
10101016,20202,1,[0],1010101,曲虹霖,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",12,[4],2,[0],100
10101017,20203,1,[0],1010101,许裕茁,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",9,[4],2,[0],97
10101020,102008,1,[0],1010102,黄毅超,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",14,[1],2,[0],94
10101021,103038,1,[0],1010102,李江淮,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",5,[2],2,[0],98
10101022,104029,1,[0],1010102,陈林坚,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",15,[3],2,[0],92
