Id,Action,Key,KeyValue,Judge,Value,Desc
1,include,count,0,=,1,1人出场
2,include,count,0,=,2,2人出场
3,include,count,0,=,3,3人出场
4,include,count,0,=,4,4人出场
5,include,count,0,=,5,首发5人上场
11,include,pos,1,>=,1,控球后卫至少1人
12,include,pos,1,>=,2,控球后卫至少2人
13,include,pos,1,>=,3,控球后卫至少3人
14,include,pos,1,>=,4,控球后卫至少4人
15,include,pos,1,>=,5,控球后卫至少5人
21,include,pos,2,>=,1,得分后卫至少1人
22,include,pos,2,>=,2,得分后卫至少2人
23,include,pos,2,>=,3,得分后卫至少3人
24,include,pos,2,>=,4,得分后卫至少4人
25,include,pos,2,>=,5,得分后卫至少5人
31,include,pos,3,>=,1,小前锋至少1人
32,include,pos,3,>=,2,小前锋至少2人
33,include,pos,3,>=,3,小前锋至少3人
34,include,pos,3,>=,4,小前锋至少4人
35,include,pos,3,>=,5,小前锋至少5人
41,include,pos,4,>=,1,大前锋至少1人
42,include,pos,4,>=,2,大前锋至少2人
43,include,pos,4,>=,3,大前锋至少3人
44,include,pos,4,>=,4,大前锋至少4人
45,include,pos,4,>=,5,大前锋至少5人
51,include,pos,5,>=,1,中锋至少1人
52,include,pos,5,>=,2,中锋至少2人
53,include,pos,5,>=,3,中锋至少3人
54,include,pos,5,>=,4,中锋至少4人
55,include,pos,5,>=,5,中锋至少5人
131,include,quality,2,>=,1,蓝色球员至少1人
132,include,quality,2,>=,2,蓝色球员至少2人
133,include,quality,2,>=,3,蓝色球员至少3人
134,include,quality,2,>=,4,蓝色球员至少4人
135,include,quality,2,>=,5,蓝色球员至少5人
141,include,quality,3,>=,1,紫色球员至少1人
142,include,quality,3,>=,2,紫色球员至少2人
143,include,quality,3,>=,3,紫色球员至少3人
144,include,quality,3,>=,4,紫色球员至少4人
145,include,quality,3,>=,5,紫色球员至少5人
151,include,quality,4,>=,1,橙色球员至少1人
152,include,quality,4,>=,2,橙色球员至少2人
153,include,quality,4,>=,3,橙色球员至少3人
154,include,quality,4,>=,4,橙色球员至少4人
155,include,quality,4,>=,5,橙色球员至少5人
501,include,player,104001,=,1,易建联必须首发或替补
502,include,player,104002,=,1,郭艾伦必须首发或替补
503,include,player,104003,=,1,阿不都沙拉木必须首发或替补
504,include,player,104004,=,1,赵继伟必须首发或替补
505,include,player,104005,=,1,韩德君必须首发或替补
506,include,player,104006,=,1,赵睿必须首发或替补
507,include,player,104007,=,1,胡金秋必须首发或替补
508,include,player,104008,=,1,王哲林必须首发或替补
509,include,player,104009,=,1,沈梓捷必须首发或替补
510,include,player,104010,=,1,张镇麟必须首发或替补
511,include,player,104011,=,1,陶汉林必须首发或替补
512,include,player,104012,=,1,孙铭徽必须首发或替补
513,include,player,104013,=,1,周鹏必须首发或替补
514,include,player,104014,=,1,胡明轩必须首发或替补
515,include,player,104015,=,1,吴冠希必须首发或替补
516,include,player,104016,=,1,吴前必须首发或替补
517,include,player,104017,=,1,林庭谦必须首发或替补
518,include,player,104018,=,1,陈盈骏必须首发或替补
519,include,player,104019,=,1,葛昭宝必须首发或替补
520,include,player,104020,=,1,赵岩昊必须首发或替补
521,include,player,104021,=,1,林书豪必须首发或替补
522,include,player,104022,=,1,范子铭必须首发或替补
523,include,player,104023,=,1,姜伟泽必须首发或替补
524,include,player,104024,=,1,西热力江必须首发或替补
525,include,player,104025,=,1,高诗岩必须首发或替补
526,include,player,104026,=,1,邹雨宸必须首发或替补
527,include,player,104027,=,1,贺希宁必须首发或替补
528,include,player,104028,=,1,顾全必须首发或替补
529,include,player,104029,=,1,陈林坚必须首发或替补
530,include,player,104030,=,1,姜宇星必须首发或替补
531,include,player,101001,=,1,张祖铭必须首发或替补
532,include,player,101002,=,1,马振翔必须首发或替补
533,include,player,101003,=,1,朱彦西必须首发或替补
534,include,player,104031,=,1,崔永熙必须首发或替补
535,include,player,104032,=,1,曾凡博必须首发或替补
536,include,player,104033,=,1,林葳必须首发或替补
537,include,player,104034,=,1,程帅澎必须首发或替补
538,include,player,104035,=,1,周琦必须首发或替补
539,include,player,104036,=,1,陈国豪必须首发或替补
540,include,player,104037,=,1,邹阳必须首发或替补
541,include,player,104038,=,1,杨瀚森必须首发或替补
542,include,player,104039,=,1,巅峰·李晓旭必须首发或替补
543,include,player,104040,=,1,全明星·赵睿必须首发或替补
544,include,player,104041,=,1,全明星·胡明轩必须首发或替补
545,include,player,104042,=,1,全明星·张镇麟必须首发或替补
546,include,player,104043,=,1,全明星·崔永熙必须首发或替补
547,include,player,104044,=,1,全明星·阿布都沙拉木必须首发或替补
548,include,player,104045,=,1,全明星·胡金秋必须首发或替补
549,include,player,104046,=,1,全明星·赵继伟必须首发或替补
550,include,player,104047,=,1,全明星·孙铭徽必须首发或替补
1001,point,team,0,>=,90,球队得分超过90
1002,point,team,1,<=,80,球队丢分低于80
1003,point,anyone,20,>=,1,任意球员得分超过20
1004,point,someone,104001,>=,30,易建联得分超过30
1005,point,anyone,20,>=,2,两名球员得分超过20
1006,winpoint,team,0,>=,5,赢对手5分
1007,dd,anyone,0,>=,1,两双，这样好扩展多人两双。
1008,point,team,1,<=,120,球队丢分低于120
1009,point,team,0,>=,70,球队得分超过70
