Id,TriggerId,CompareType,Condition,Action,ActionParam
1,10018,>=,0,addTask,100101
2,10018,>=,0,unlockCyclicTaskGroup,2:1
3,10018,>=,0,unlockCyclicTaskGroup,2:2
4,10018,>=,0,unlockCyclicTaskGroup,2:3
5,10018,>=,0,unlockCyclicTaskGroup,2:4
6,30001,>=,3,addTask,100201
7,30001,>=,3,addTask,100301
8,30001,>=,3,addTask,100401
9,30001,>=,3,addTask,100501
10,30001,>=,3,addTask,100601
11,10018,>=,0,unlockCyclicTaskGroup,2:5
12,10018,>=,0,unlockCyclicTaskGroup,2:6
13,10018,>=,0,unlockCyclicTaskGroup,2:7
14,10018,>=,0,unlockCyclicTaskGroup,2:8
15,10018,>=,0,unlockCyclicTaskGroup,2:9
16,10018,>=,0,unlockCyclicTaskGroup,2:10
17,10018,>=,0,unlockCyclicTaskGroup,2:11
18,10018,>=,0,unlockCyclicTaskGroup,2:12
12001,10018,>=,0,unlockCyclicTaskGroup,2:13
12002,10018,>=,0,unlockCyclicTaskGroup,2:14
19,10018,>=,0,unlockCyclicTaskGroup,3:1
20,10018,>=,0,unlockCyclicTaskGroup,3:2
21,10018,>=,0,unlockCyclicTaskGroup,3:3
22,10018,>=,0,unlockCyclicTaskGroup,3:4
23,10018,>=,0,unlockCyclicTaskGroup,3:5
24,10018,>=,0,unlockCyclicTaskGroup,3:6
25,10018,>=,0,unlockCyclicTaskGroup,3:7
26,10018,>=,0,unlockCyclicTaskGroup,3:8
27,10018,>=,0,unlockCyclicTaskGroup,3:9
28,10018,>=,0,unlockCyclicTaskGroup,3:10
29,10018,>=,0,unlockCyclicTaskGroup,3:11
30,10018,>=,0,unlockCyclicTaskGroup,3:12
31,10018,>=,0,unlockCyclicTaskGroup,3:13
32,10018,>=,0,unlockCyclicTaskGroup,3:14
13001,10018,>=,0,unlockCyclicTaskGroup,3:15
13002,10018,>=,0,unlockCyclicTaskGroup,3:16
13003,10018,>=,0,unlockCyclicTaskGroup,3:17
34,30001,>=,1,unlockModule,1100
35,30001,>=,1,unlockModule,1101
36,30001,>=,1,unlockModule,1102
37,30001,>=,15,unlockModule,1200
38,30001,>=,10,unlockModule,1300
39,30001,>=,10,unlockModule,1301
40,30001,>=,10,unlockModule,1302
41,30001,>=,10,unlockModule,1303
42,30001,>=,10,unlockModule,1304
43,30001,>=,10,unlockModule,1305
44,30001,>=,6,unlockModule,1400
45,30001,>=,6,unlockModule,1401
46,30001,>=,6,unlockModule,1402
47,30001,>=,7,unlockModule,1500
48,30001,>=,7,unlockModule,1501
49,30001,>=,7,unlockModule,1502
50,30001,>=,7,unlockModule,1503
51,30001,>=,7,unlockModule,1600
52,30001,>=,8,unlockModule,1700
53,30001,>=,8,unlockModule,1701
54,30001,>=,8,unlockModule,1702
55,30001,>=,14,unlockModule,1703
56,30001,>=,16,unlockModule,1800
57,30001,>=,1,unlockModule,1900
58,30001,>=,1,unlockModule,2000
59,30001,>=,2,unlockModule,2100
60,30001,>=,2,unlockModule,2101
61,30001,>=,3,unlockModule,2102
62,30001,>=,2,unlockModule,2103
63,30001,>=,2,unlockModule,2200
64,30001,>=,1,unlockModule,2300
65,30001,>=,1,unlockModule,2301
66,30001,>=,1,unlockModule,2302
67,30001,>=,1,unlockModule,2303
68,30001,>=,1,unlockModule,2304
69,30001,>=,1,unlockModule,2305
70,30001,>=,1,unlockModule,2400
71,30001,>=,1,unlockModule,2500
72,30001,>=,2,unlockModule,2501
73,30001,>=,1,unlockModule,2600
74,30001,>=,14,unlockModule,2601
75,30001,>=,24,unlockModule,2900
1001,30001,>=,18,unlockModule,3001
1002,30001,>=,16,unlockModule,1801
76,10005,=,1010103,unlockActivityGift,5001001
77,10005,=,1010205,unlockActivityGift,5001002
78,10005,=,1010307,unlockActivityGift,5001003
79,10005,=,1010410,unlockActivityGift,5001004
80,10005,=,1010510,unlockActivityGift,5001005
81,10005,=,1010610,unlockActivityGift,5001006
82,10005,=,1010710,unlockActivityGift,5001007
83,10005,=,1020110,unlockActivityGift,5001008
84,10005,=,1020210,unlockActivityGift,5001009
85,10005,=,1020310,unlockActivityGift,5001010
86,10005,=,1020410,unlockActivityGift,5001011
87,10005,=,1020510,unlockActivityGift,5001012
88,10005,=,1020610,unlockActivityGift,5001013
89,10005,=,1020710,unlockActivityGift,5001014
90,10005,=,1020810,unlockActivityGift,5001015
91,10005,=,1020910,unlockActivityGift,5001016
92,10005,=,1021010,unlockActivityGift,5001017
93,10005,=,1030110,unlockActivityGift,5001018
94,10005,=,1030210,unlockActivityGift,5001019
95,10005,=,1030310,unlockActivityGift,5001020
96,10005,=,1030410,unlockActivityGift,5001021
97,10005,=,1030510,unlockActivityGift,5001022
98,10005,=,1030610,unlockActivityGift,5001023
99,10005,=,1030710,unlockActivityGift,5001024
100,10005,=,1030810,unlockActivityGift,5001025
101,10005,=,1030910,unlockActivityGift,5001026
102,10005,=,1031010,unlockActivityGift,5001027
103,10005,=,1040110,unlockActivityGift,5001028
104,10005,=,1040210,unlockActivityGift,5001029
105,10005,=,1040310,unlockActivityGift,5001030
106,10005,=,1040410,unlockActivityGift,5001031
107,10005,=,1040510,unlockActivityGift,5001032
108,10005,=,1040610,unlockActivityGift,5001033
109,10005,=,1040710,unlockActivityGift,5001034
110,10005,=,1040810,unlockActivityGift,5001035
111,10005,=,1040910,unlockActivityGift,5001036
112,10005,=,1041010,unlockActivityGift,5001037
113,10005,=,1050110,unlockActivityGift,5001038
114,10005,=,1050210,unlockActivityGift,5001039
115,10005,=,1050310,unlockActivityGift,5001040
116,10005,=,1050410,unlockActivityGift,5001041
117,10005,=,1050510,unlockActivityGift,5001042
118,10005,=,1050610,unlockActivityGift,5001043
119,10005,=,1050710,unlockActivityGift,5001044
120,10005,=,1050810,unlockActivityGift,5001045
121,10005,=,1050910,unlockActivityGift,5001046
122,10005,=,1051010,unlockActivityGift,5001047
123,10005,=,2010110,unlockActivityGift,5001048
124,10005,=,2010210,unlockActivityGift,5001049
125,10005,=,2010310,unlockActivityGift,5001050
126,10005,=,2010410,unlockActivityGift,5001051
127,10005,=,2010510,unlockActivityGift,5001052
128,10005,=,2010610,unlockActivityGift,5001053
129,10005,=,2010710,unlockActivityGift,5001054
130,10005,=,2020110,unlockActivityGift,5001055
131,10005,=,2020210,unlockActivityGift,5001056
132,10005,=,2020310,unlockActivityGift,5001057
133,10005,=,2020410,unlockActivityGift,5001058
134,10005,=,2020510,unlockActivityGift,5001059
135,10005,=,2020610,unlockActivityGift,5001060
136,10005,=,2020710,unlockActivityGift,5001061
137,10005,=,2020810,unlockActivityGift,5001062
138,10005,=,2020910,unlockActivityGift,5001063
139,10005,=,2021010,unlockActivityGift,5001064
140,10005,=,2030110,unlockActivityGift,5001065
141,10005,=,2030210,unlockActivityGift,5001066
142,10005,=,2030310,unlockActivityGift,5001067
143,10005,=,2030410,unlockActivityGift,5001068
144,10005,=,2030510,unlockActivityGift,5001069
145,10005,=,2030610,unlockActivityGift,5001070
146,10005,=,2030710,unlockActivityGift,5001071
147,10005,=,2030810,unlockActivityGift,5001072
148,10005,=,2030910,unlockActivityGift,5001073
149,10005,=,2031010,unlockActivityGift,5001074
150,10005,=,2040110,unlockActivityGift,5001075
151,10005,=,2040210,unlockActivityGift,5001076
152,10005,=,2040310,unlockActivityGift,5001077
153,10005,=,2040410,unlockActivityGift,5001078
154,10005,=,2040510,unlockActivityGift,5001079
155,10005,=,2040610,unlockActivityGift,5001080
156,10005,=,2040710,unlockActivityGift,5001081
157,10005,=,2040810,unlockActivityGift,5001082
158,10005,=,2040910,unlockActivityGift,5001083
159,10005,=,2041010,unlockActivityGift,5001084
160,10005,=,2050110,unlockActivityGift,5001085
161,10005,=,2050210,unlockActivityGift,5001086
162,10005,=,2050310,unlockActivityGift,5001087
163,10005,=,2050410,unlockActivityGift,5001088
164,10005,=,2050510,unlockActivityGift,5001089
165,10005,=,2050610,unlockActivityGift,5001090
166,10005,=,2050710,unlockActivityGift,5001091
167,10005,=,2050810,unlockActivityGift,5001092
168,10005,=,2050910,unlockActivityGift,5001093
169,10005,=,2051010,unlockActivityGift,5001094
170,10005,=,3010110,unlockActivityGift,5001095
171,10005,=,3010210,unlockActivityGift,5001096
172,10005,=,3010310,unlockActivityGift,5001097
173,10005,=,3010410,unlockActivityGift,5001098
174,10005,=,3010510,unlockActivityGift,5001099
175,10005,=,3010610,unlockActivityGift,5001100
176,10005,=,3010710,unlockActivityGift,5001101
177,10005,=,3020110,unlockActivityGift,5001102
178,10005,=,3020210,unlockActivityGift,5001103
179,10005,=,3020310,unlockActivityGift,5001104
180,10005,=,3020410,unlockActivityGift,5001105
181,10005,=,3020510,unlockActivityGift,5001106
182,10005,=,3020610,unlockActivityGift,5001107
183,10005,=,3020710,unlockActivityGift,5001108
184,10005,=,3020810,unlockActivityGift,5001109
185,10005,=,3020910,unlockActivityGift,5001110
186,10005,=,3021010,unlockActivityGift,5001111
187,10005,=,3030110,unlockActivityGift,5001112
188,10005,=,3030210,unlockActivityGift,5001113
189,10005,=,3030310,unlockActivityGift,5001114
190,10005,=,3030410,unlockActivityGift,5001115
191,10005,=,3030510,unlockActivityGift,5001116
192,10005,=,3030610,unlockActivityGift,5001117
193,10005,=,3030710,unlockActivityGift,5001118
194,10005,=,3030810,unlockActivityGift,5001119
195,10005,=,3030910,unlockActivityGift,5001120
196,10005,=,3031010,unlockActivityGift,5001121
197,10005,=,3040110,unlockActivityGift,5001122
198,10005,=,3040210,unlockActivityGift,5001123
199,10005,=,3040310,unlockActivityGift,5001124
200,10005,=,3040410,unlockActivityGift,5001125
201,10005,=,3040510,unlockActivityGift,5001126
202,10005,=,3040610,unlockActivityGift,5001127
203,10005,=,3040710,unlockActivityGift,5001128
204,10005,=,3040810,unlockActivityGift,5001129
205,10005,=,3040910,unlockActivityGift,5001130
206,10005,=,3041010,unlockActivityGift,5001131
207,10005,=,3050110,unlockActivityGift,5001132
208,10005,=,3050210,unlockActivityGift,5001133
209,10005,=,3050310,unlockActivityGift,5001134
210,10005,=,3050410,unlockActivityGift,5001135
211,10005,=,3050510,unlockActivityGift,5001136
212,10005,=,3050610,unlockActivityGift,5001137
213,10005,=,3050710,unlockActivityGift,5001138
214,10005,=,3050810,unlockActivityGift,5001139
215,10005,=,3050910,unlockActivityGift,5001140
216,10005,=,3051010,unlockActivityGift,5001141
217,20030,=,104001,unlockActivityGift,5002001
218,20030,=,104002,unlockActivityGift,5002002
219,20030,=,104003,unlockActivityGift,5002003
220,20030,=,104004,unlockActivityGift,5002004
221,20030,=,104005,unlockActivityGift,5002005
222,20030,=,104006,unlockActivityGift,5002006
223,20030,=,104007,unlockActivityGift,5002007
224,20030,=,104008,unlockActivityGift,5002008
225,20030,=,104009,unlockActivityGift,5002009
