Id,DescText,Reward,MailTitle,MailContent
1,得分王奖励,1:1:300,得分王奖励,得分王奖励
2,助攻王奖励,1:1:300,助攻王奖励,助攻王奖励
3,篮板王奖励,1:1:300,篮板王奖励,篮板王奖励
4,抢断王奖励,1:1:300,抢断王奖励,抢断王奖励
5,盖帽王奖励,1:1:300,盖帽王奖励,盖帽王奖励
6,1级每场基础奖励,1:2:500,,
7,2级每场基础奖励,1:2:600,,
8,3级每场基础奖励,1:2:700,,
9,4级每场基础奖励,1:2:800,,
10,5级每场基础奖励,1:2:900,,
11,6级每场基础奖励,1:2:1000,,
12,7级每场基础奖励,1:2:1100,,
13,8级每场基础奖励,1:2:1200,,
14,9级每场基础奖励,1:2:1300,,
15,10级每场基础奖励,1:2:1400,,
16,11级每场基础奖励,1:2:1500,,
17,12级每场基础奖励,1:2:1600,,
18,13级每场基础奖励,1:2:1700,,
19,14级每场基础奖励,1:2:1800,,
20,15级每场基础奖励,1:2:1900,,
21,16级每场基础奖励,1:2:2000,,
22,17级每场基础奖励,1:2:2100,,
23,18级每场基础奖励,1:2:2200,,
24,19级每场基础奖励,1:2:2300,,
25,20级每场基础奖励,1:2:2400,,
26,21级每场基础奖励,1:2:2500,,
27,22级每场基础奖励,1:2:2600,,
28,23级每场基础奖励,1:2:2700,,
29,24级每场基础奖励,1:2:2800,,
30,25级每场基础奖励,1:2:2900,,
31,26级每场基础奖励,1:2:3000,,
32,27级每场基础奖励,1:2:3100,,
33,28级每场基础奖励,1:2:3200,,
34,29级每场基础奖励,1:2:3300,,
35,30级每场基础奖励,1:2:3400,,
