Id,Level,Rank,Reward
1,1,1,1:2:50000|2:200105:20|3:104010:1
2,1,2,1:2:35000|2:200105:15
3,1,3,1:2:30000|2:200105:11
4,1,4,1:2:25000|2:200105:8
5,1,5,1:2:20000|2:200105:5
6,1,6,1:2:20000|2:200105:5
7,1,7,1:2:20000|2:200105:5
8,1,8,1:2:20000|2:200105:5
9,1,9,1:2:15000|2:200105:3
10,1,10,1:2:15000|2:200105:3
11,1,11,1:2:15000|2:200105:3
12,1,12,1:2:15000|2:200105:3
13,1,13,1:2:15000|2:200105:3
14,1,14,1:2:15000|2:200105:3
15,1,15,1:2:15000|2:200105:3
16,1,16,1:2:15000|2:200105:3
17,1,17,1:2:7500|2:200105:1
18,1,18,1:2:7500|2:200105:1
19,1,19,1:2:7500|2:200105:1
20,1,20,1:2:7500|2:200105:1
21,1,21,1:2:7500|2:200105:1
22,1,22,1:2:7500|2:200105:1
23,1,23,1:2:7500|2:200105:1
24,1,24,1:2:7500|2:200105:1
25,1,25,1:2:7500|2:200105:1
26,1,26,1:2:7500|2:200105:1
27,1,27,1:2:7500|2:200105:1
28,1,28,1:2:7500|2:200105:1
29,1,29,1:2:7500|2:200105:1
30,1,30,1:2:7500|2:200105:1
31,1,31,1:2:7500|2:200105:1
32,1,32,1:2:7500|2:200105:1
33,1,33,1:2:3750
34,1,34,1:2:3750
35,1,35,1:2:3750
36,1,36,1:2:3750
37,1,37,1:2:3750
38,1,38,1:2:3750
39,1,39,1:2:3750
40,1,40,1:2:3750
41,1,41,1:2:3750
42,1,42,1:2:3750
43,1,43,1:2:3750
44,1,44,1:2:3750
45,1,45,1:2:3750
46,1,46,1:2:3750
47,1,47,1:2:3750
48,1,48,1:2:3750
49,1,49,1:2:3750
50,1,50,1:2:3750
51,1,51,1:2:3750
52,1,52,1:2:3750
53,1,53,1:2:3750
54,1,54,1:2:3750
55,1,55,1:2:3750
56,1,56,1:2:3750
57,1,57,1:2:3750
58,1,58,1:2:3750
59,1,59,1:2:3750
60,1,60,1:2:3750
61,1,61,1:2:3750
