Id,ActivityId,Group,Name,TriggerId,Target,Way,Reward,ModuleId
1500101,15001,1,进行1次排位赛挑战,20029,1,0,2:700001:1,1300
1500102,15001,1,累计完成10次经典赛,20019,10,0,2:700001:1,1100
1500103,15001,1,副本-剧情赛中完成1次对局,20035,1,0,2:700001:1,1200
1500104,15001,2,升级1次球员,20037,1,0,2:700001:1,2101
1500105,15001,2,完成1次邀请赛,20014,1,0,2:700001:1,1503
1500106,15001,2,完成1次悬赏任务,20032,1,0,2:700001:1,1703
1500107,15001,3,篮球殿堂累计获得6颗星星,20033,6,0,2:700001:1,2900
1500108,15001,3,完成1次篮球小游戏,20036,1,0,2:700001:1,1801
1500201,15002,1,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}体力,20034,1000,0,1:1:10|2:400103:5|2:304036:5,-1
1500202,15002,2,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}体力,20034,3000,0,1:1:50|2:400103:5|2:304036:5,-1
1500203,15002,3,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}体力,20034,5000,0,1:1:150|2:400103:5|2:304036:5,-1
1500204,15002,4,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}钻石,20021,1000,0,1:2:10000|2:400103:5|2:304036:5,-1
1500205,15002,5,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}钻石,20021,3500,0,1:2:15000|2:400103:5|2:304036:5,-1
1500206,15002,6,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}钻石,20021,9800,0,1:2:20000|2:400103:5|2:304036:5,-1
1500207,15002,7,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}金币,20038,50000,0,1:1:10|2:400103:5|2:304036:5,-1
1500208,15002,8,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}金币,20038,100000,0,1:1:50|2:400103:5|2:304036:5,-1
1500209,15002,9,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}金币,20038,250000,0,1:1:150|2:400103:5|2:304036:5,-1
1500210,15002,10,活动期间，报名1次百分大战,20039,1,0,1:1:80|1:2:5000|2:304036:5,3001
1500211,15002,11,活动期间，参加1次百分大战并入围淘汰赛,20040,1,0,1:1:100|1:2:10000|2:400207:3,-1
1500212,15002,12,活动期间，投篮大赛中累计得分<color=#0F7F28>{0}</color>/{1},20041,508,0,1:1:100|2:400209:5|2:400207:3,1801
1500213,15002,13,活动期间，投篮大赛中累计得分<color=#0F7F28>{0}</color>/{1},20041,1231,0,1:1:150|2:400209:5|2:400207:3,1801
1500214,15002,14,活动期间，投篮大赛中累计得分<color=#0F7F28>{0}</color>/{1},20041,2024,0,1:1:200|2:400209:5|2:400207:3,1801
1500215,15002,15,活动期间，经典赛、排位赛等玩法中，全队累计得分到达<color=#0F7F28>{0}</color>/{1},20042,2024,0,1:1:100|2:400208:5|2:400207:3,1402
1500216,15002,16,活动期间，经典赛、排位赛等玩法中，全队累计得分到达<color=#0F7F28>{0}</color>/{1},20042,9888,0,1:1:150|2:400208:5|2:400207:3,1402
1500217,15002,17,活动期间，经典赛、排位赛等玩法中，全队累计得分到达<color=#0F7F28>{0}</color>/{1},20042,28888,0,1:1:200|2:400208:5|2:400207:3,1402
1500218,15002,18,活动期间，通过经验书消耗<color=#0F7F28>{0}</color>/{1}点经验,20043,128000,0,1:1:100|2:400103:5|2:400102:5,2101
1500219,15002,19,活动期间，通过经验书消耗<color=#0F7F28>{0}</color>/{1}点经验,20043,588000,0,1:1:100|2:400103:5|2:400102:5,2101
1500220,15002,20,活动期间，通过经验书消耗<color=#0F7F28>{0}</color>/{1}点经验,20043,988000,0,1:1:100|2:400103:5|2:400102:10,2101
1500221,15002,21,活动期间，对紫色以上品质球员累计升星<color=#0F7F28>{0}</color>/{1}次,20044,1,0,2:400103:10|2:400102:5|2:100108:2,2101
1500222,15002,22,活动期间，对紫色以上品质球员累计升星<color=#0F7F28>{0}</color>/{1}次,20044,2,0,2:400103:10|2:400102:5|2:100108:2,2101
1500223,15002,23,活动期间，对紫色以上品质球员累计升星<color=#0F7F28>{0}</color>/{1}次,20044,3,0,2:400103:10|2:400102:10|2:100108:2,2101
1500224,15002,24,活动期间，任意品质球员累计升阶<color=#0F7F28>{0}</color>/{1}次,20027,1,0,2:400103:10|2:400102:5|2:100108:2,2101
