Id,ActivityId,Reward,Order
22001001,22001,1:2:8000,1
22001002,22001,1:1:50,2
22001003,22001,2:200259:3,3
22001004,22001,2:400103:4,4
22001005,22001,2:400102:2,5
22001006,22001,2:200231:1,6
22001007,22001,1:2:8000,7
22001008,22001,1:1:50,8
22001009,22001,2:200259:3,9
22001010,22001,2:400103:4,10
22001011,22001,2:400102:2,11
22001012,22001,2:200231:1,12
22001013,22001,1:2:8000,13
22001014,22001,1:1:50,14
22001015,22001,2:200259:3,15
22001016,22001,2:400103:4,16
22001017,22001,2:400102:2,17
22001018,22001,2:200231:1,18
22001019,22001,1:2:8000,19
22001020,22001,1:1:50,20
22001021,22001,2:200259:3,21
22001022,22001,2:400103:4,22
22001023,22001,2:400102:2,23
22001024,22001,2:200231:1,24
22001025,22001,1:2:8000,25
22001026,22001,1:1:50,26
22001027,22001,2:200259:3,27
22001028,22001,2:400103:4,28
22001029,22001,2:400102:2,29
22001030,22001,2:200231:1,30
22001031,22001,1:2:8000,31
22001032,22001,1:1:50,32
22001033,22001,2:200259:3,33
22001034,22001,2:400103:8,34
22001035,22001,2:400101:1,35
22001036,22001,2:200231:1,36
22001037,22001,1:2:8000,37
22001038,22001,1:1:50,38
22001039,22001,2:200259:3,39
22001040,22001,2:400103:8,40
22001041,22001,2:400102:4,41
22001042,22001,2:200231:1,42
22001043,22001,1:2:8000,43
22001044,22001,1:1:50,44
22001045,22001,2:200259:3,45
22001046,22001,2:400103:8,46
22001047,22001,2:400102:4,47
22001048,22001,2:200231:1,48
22001049,22001,2:200259:5,49
22001050,22001,1:1:50,50
22001051,22001,2:200259:3,51
22001052,22001,2:400103:8,52
22001053,22001,2:400101:1,53
22001054,22001,2:200231:1,54
22001055,22001,2:200259:5,55
22001056,22001,1:1:50,56
22001057,22001,2:200259:3,57
22001058,22001,2:400103:8,58
22001059,22001,1:1:50,59
22001060,22001,2:200231:1,60
22001061,22001,2:200259:5,61
22001062,22001,2:400101:1,62
22001063,22001,1:1:50,63
22001064,22001,2:400103:8,64
22001065,22001,1:1:100,65
22001066,22001,2:200231:1,66
22001067,22001,2:200259:5,67
22001068,22001,1:1:50,68
22001069,22001,2:400103:8,69
22001070,22001,2:400102:4,70
22001071,22001,1:1:50,71
22001072,22001,2:200231:1,72
22001073,22001,2:200259:5,73
22001074,22001,1:1:50,74
22001075,22001,2:400101:1,75
22001076,22001,2:400102:4,76
22001077,22001,1:1:50,77
22001078,22001,2:200231:1,78
22001079,22001,1:2:8000,79
22001080,22001,1:1:50,80
22001081,22001,2:400102:4,81
22001082,22001,1:2:8000,82
22001083,22001,1:1:50,83
22001084,22001,2:200231:1,84
22001085,22001,1:2:8000,85
22001086,22001,1:1:50,86
22001087,22001,2:400103:8,87
22001088,22001,2:400101:1,88
22001089,22001,1:1:50,89
22001090,22001,2:200231:1,90
22001091,22001,1:2:8000,91
22001092,22001,1:1:50,92
22001093,22001,2:400103:8,93
22001094,22001,2:400101:1,94
22001095,22001,1:1:50,95
22001096,22001,2:200231:1,96
22001097,22001,1:2:8000,97
22001098,22001,1:1:50,98
22001099,22001,1:1:100,99
22001100,22001,1:2:60000,100
22001101,22001,1:1:50,101
22001102,22001,2:200231:1,102
22001103,22001,1:2:8000,103
22001104,22001,1:1:50,104
22001105,22001,2:200259:5,105
22001106,22001,2:400103:8,106
22001107,22001,1:1:50,107
22001108,22001,2:200231:1,108
22001109,22001,1:2:20000,109
22001110,22001,1:1:50,110
22001111,22001,2:200259:5,111
22001112,22001,2:400101:1,112
22001113,22001,1:1:50,113
22001114,22001,2:200231:1,114
22001115,22001,1:2:20000,115
22001116,22001,1:1:50,116
22001117,22001,2:200259:5,117
22001118,22001,2:400102:4,118
22001119,22001,1:1:50,119
22001120,22001,2:200231:1,120
22001121,22001,1:2:20000,121
22001122,22001,1:1:100,122
22001123,22001,2:200259:5,123
22001124,22001,2:400101:1,124
22001125,22001,1:1:100,125
22001126,22001,2:200231:1,126
22001127,22001,1:2:20000,127
22001128,22001,1:1:100,128
22001129,22001,2:200259:5,129
22001130,22001,2:400102:4,130
22001131,22001,1:1:100,131
22001132,22001,2:200231:1,132
22001133,22001,1:2:20000,133
22001134,22001,1:1:100,134
22001135,22001,2:400102:4,135
22001136,22001,1:2:8000,136
22001137,22001,1:1:100,137
22001138,22001,2:200231:1,138
22001139,22001,1:2:20000,139
22001140,22001,1:1:100,140
22001141,22001,2:400101:1,141
22001142,22001,2:400102:4,142
22001143,22001,1:1:100,143
22001144,22001,2:200231:1,144
22001145,22001,1:2:20000,145
22001146,22001,1:1:200,146
22001147,22001,2:400101:1,147
22001148,22001,2:400102:4,148
22001149,22001,2:200231:1,149
22001150,22001,4:17001001:1,150
