Id,Team,Name,Icon,Position
1,1,库珀,1,0
2,1,付豪,2,0
3,1,赵继伟,3,0
4,1,弗格,4,0
5,1,周俊成,5,0
6,1,赵率舟,6,0
7,1,丛明晨,7,0
8,1,张峻豪,8,0
9,1,郭艾伦,9,0
10,1,刘雁宇,10,0
11,1,李晓旭,11,0
12,1,莫兰德,12,0
13,1,俞泽辰,13,0
14,1,卢梓杰,14,0
15,1,鄢手骐,15,0
16,1,李虎翼,16,0
17,1,韩德君,17,0
18,1,张镇麟,18,0
19,2,西尔扎提,19,0
20,2,黄荣奇,20,0
21,2,米艾力,21,0
22,2,克里克,22,0
23,2,艾孜麦提,23,0
24,2,唐才育,24,0
25,2,吴冠希,25,0
26,2,齐麟,26,0
27,2,李炎哲,27,0
28,2,于德豪,28,0
29,2,朱旭航,29,0
30,2,阿不都沙拉木,30,0
31,2,郭昱彰,31,0
32,2,鲁吐布拉,32,0
33,2,曲笑宇,33,0
34,2,威金顿,34,0
35,2,琼斯,35,0
36,2,王泉泽,36,0
37,2,赵睿,37,0
