Id,EventId,Weight,Content,GroupContent
1,100,10,哨声响起，比赛开始。,
2,100,10,跳球，全场比赛开始。,
3,100,10,随着主裁判的哨响，比赛开始。,
4,100,10,万众期待的比赛开始了。,
5,100,10,比赛开始，今天上座率很高啊。,
6,100,10,{2}助攻{1}不看篮框投篮 命中{point},
7,101,10,第1节比赛结束，分数 {0}:{1},
8,102,10,半场比赛结束，分数 {0}:{1} 进入中场休息,
9,103,10,第3节比赛结束，分数 {0}:{1},
10,104,10,双方战成{0}平，比赛拖入加时赛,
11,104,10,双方4节比赛打平，进入加时赛,
12,105,10,随着裁判的哨响，全场比赛结束。,
13,105,10,全场比赛结束。,
14,105,10,双方球队贡献了一场精彩的比赛。,
15,105,10,这场万众瞩目的比赛结束了。,
16,201,10,{time} {1}不看篮框投篮 命中{point},{time} {2}助攻{1}不看篮框投篮 命中{point}
17,202,10,{time} {1}跳投 命中{point},{time} {2}助攻{1}跳投 命中{point}
18,203,10,{time} {1}勾手投篮 命中{point},{time} {2}助攻{1}勾手投篮 命中{point}
19,204,10,{time} {1}上篮 命中{point},{time} {2}助攻{1}上篮 命中{point}
20,205,10,{time} {1}灌篮 命中{point},{time} {2}助攻{1}灌篮 命中{point}
21,206,10,{time} {1}上篮 命中{point},{time} {2}助攻{1}上篮 命中{point}
22,207,10,{time} {1}跑动上篮 命中{point},{time} {2}助攻{1}跑动上篮 命中{point}
23,208,10,{time} {1}带球切入上篮 命中{point},{time} {2}助攻{1}带球切入上篮 命中{point}
24,209,10,{time} {1}空中接力上篮 命中{point},{time} {2}助攻{1}空中接力上篮 命中{point}
25,210,10,{time} {1}反手上篮 命中{point},{time} {2}助攻{1}反手上篮 命中{point}
26,211,10,{time} {1}跳投 命中{point},{time} {2}助攻{1}跳投 命中{point}
27,212,10,{time} {1}跑动三分跳投 命中{point},{time} {2}助攻{1}跑动三分跳投 命中{point}
28,213,10,{time} {1}转身跳投 命中{point},{time} {2}助攻{1}转身跳投 命中{point}
29,214,10,{time} {1}灌篮 命中{point},{time} {2}助攻{1}灌篮 命中{point}
30,215,10,{time} {1}带球切入灌篮 命中{point},{time} {2}助攻{1}带球切入灌篮 命中{point}
31,216,10,{time} {1}跑动灌篮 命中{point},{time} {2}助攻{1}跑动灌篮 命中{point}
32,217,10,{time} {1}反手灌篮 命中{point},{time} {2}助攻{1}反手灌篮 命中{point}
33,218,10,{time} {1}空中接力灌篮 命中{point},{time} {2}助攻{1}空中接力灌篮 命中{point}
34,219,10,{time} {1}勾手投篮 命中{point},{time} {2}助攻{1}勾手投篮 命中{point}
35,220,10,{time} {1}跑动勾手投篮 命中{point},{time} {2}助攻{1}跑动勾手投篮 命中{point}
36,221,10,{time} {1}带球切入勾手投篮 命中{point},{time} {2}助攻{1}带球切入勾手投篮 命中{point}
37,222,10,{time} {1}转身勾手投篮 命中{point},{time} {2}助攻{1}转身勾手投篮 命中{point}
38,223,10,{time} {1}后仰跳投 命中{point},{time} {2}助攻{1}后仰跳投 命中{point}
39,224,10,{time} {1}跳投打板 命中{point},{time} {2}助攻{1}跳投打板 命中{point}
40,225,10,{time} {1}勾手投篮打板 命中{point},{time} {2}助攻{1}勾手投篮打板 命中{point}
41,226,10,{time} {1}挑篮 命中{point},{time} {2}助攻{1}挑篮 命中{point}
42,227,10,{time} {1}补篮 命中{point},{time} {2}助攻{1}补篮 命中{point}
43,228,10,{time} {1}带球切入反手上篮 命中{point},{time} {2}助攻{1}带球切入反手上篮 命中{point}
44,229,10,{time} {1}跑动反手上篮 命中{point},{time} {2}助攻{1}跑动反手上篮 命中{point}
45,230,10,{time} {1}带球切入挑篮 命中{point},{time} {2}助攻{1}带球切入挑篮 命中{point}
46,231,10,{time} {1}跑动挑篮 命中{point},{time} {2}助攻{1}跑动挑篮 命中{point}
47,232,10,{time} {1}带球切入跳投 命中{point},{time} {2}助攻{1}带球切入跳投 命中{point}
48,233,10,{time} {1}提前拋投 命中{point},{time} {2}助攻{1}提前拋投 命中{point}
49,234,10,{time} {1}急停跳投 命中{point},{time} {2}助攻{1}急停跳投 命中{point}
50,235,10,{time} {1}后撤步跳投 命中{point},{time} {2}助攻{1}后撤步跳投 命中{point}
51,236,10,{time} {1}急停跳投 命中{point},{time} {2}助攻{1}急停跳投 命中{point}
52,237,10,{time} {1}带球切入投篮打板 命中{point},{time} {2}助攻{1}带球切入投篮打板 命中{point}
53,238,10,{time} {1}后仰跳投打板 命中{point},{time} {2}助攻{1}后仰跳投打板 命中{point}
54,239,10,{time} {1}转身投篮打板 命中{point},{time} {2}助攻{1}转身投篮打板 命中{point}
55,240,10,{time} {1}转身后仰跳投 命中{point},{time} {2}助攻{1}转身后仰跳投 命中{point}
56,241,10,{time} {1}补扣 命中{point},{time} {2}助攻{1}补扣 命中{point}
57,242,10,{time} {1}带球切入勾手投篮打板 命中{point},{time} {2}助攻{1}带球切入勾手投篮打板 命中{point}
58,243,10,{time} {1}转身勾手打板 命中{point},{time} {2}助攻{1}转身勾手打板 命中{point}
59,244,10,{time} {1}托球上篮 命中{point},{time} {2}助攻{1}托球上篮 命中{point}
60,245,10,{time} {1}空切上篮 命中{point},{time} {2}助攻{1}空切上篮 命中{point}
61,246,10,{time} {1}空切挑篮 命中{point},{time} {2}助攻{1}空切挑篮 命中{point}
62,247,10,{time} {1}跑动空中接力上篮 命中{point},{time} {2}助攻{1}跑动空中接力上篮 命中{point}
63,248,10,{time} {1}带球切入提前抛投 命中{point},{time} {2}助攻{1}带球切入提前抛投 命中{point}
64,249,10,{time} {1}带球切入提前拋投打板 命中{point},{time} {2}助攻{1}带球切入提前拋投打板 命中{point}
65,250,10,{time} {1}跑动急停跳投 命中{point},{time} {2}助攻{1}跑动急停跳投 命中{point}
66,251,10,{time} {1}后撤步跳投打板 命中{point},{time} {2}助攻{1}后撤步跳投打板 命中{point}
67,252,10,{time} {1}转身后仰跳投打板 命中{point},{time} {2}助攻{1}转身后仰跳投打板 命中{point}
68,253,10,{time} {1}跑动空中接力灌篮 命中{point},{time} {2}助攻{1}跑动空中接力灌篮 命中{point}
69,254,10,{time} {1}托球灌篮 命中{point},{time} {2}助攻{1}托球灌篮 命中{point}
70,255,10,{time} {1}空切灌篮 命中{point},{time} {2}助攻{1}空切灌篮 命中{point}
71,256,10,{time} {1}带球切入反手灌篮 命中{point},{time} {2}助攻{1}带球切入反手灌篮 命中{point}
72,257,10,{time} {1}跑动反手灌篮 命中{point},{time} {2}助攻{1}跑动反手灌篮 命中{point}
73,258,10,{time} {1}不看篮框投篮 不中,{time} {3}盖帽，{1}不看篮框投篮 不中
74,259,10,{time} {1}跳投 不中,{time} {3}盖帽，{1}跳投 不中
75,260,10,{time} {1}跑动跳投 不中,{time} {3}盖帽，{1}跑动跳投 不中
76,261,10,{time} {1}勾手投篮 不中,{time} {3}盖帽，{1}勾手投篮 不中
77,262,10,{time} {1}上篮 不中,{time} {3}盖帽，{1}上篮 不中
78,263,10,{time} {1}灌篮 不中,{time} {3}盖帽，{1}灌篮 不中
79,264,10,{time} {1}上篮 不中,{time} {3}盖帽，{1}上篮 不中
80,265,10,{time} {1}跑动上篮 不中,{time} {3}盖帽，{1}跑动上篮 不中
81,266,10,{time} {1}带球切入上篮 不中,{time} {3}盖帽，{1}带球切入上篮 不中
82,267,10,{time} {1}空中接力上篮 不中,{time} {3}盖帽，{1}空中接力上篮 不中
83,268,10,{time} {1}反手上篮 不中,{time} {3}盖帽，{1}反手上篮 不中
84,269,10,{time} {1}跳投 不中,{time} {3}盖帽，{1}跳投 不中
85,270,10,{time} {1}跑动三分跳投 不中,{time} {3}盖帽，{1}跑动三分跳投 不中
86,271,10,{time} {1}转身跳投 不中,{time} {3}盖帽，{1}转身跳投 不中
87,272,10,{time} {1}灌篮 不中,{time} {3}盖帽，{1}灌篮 不中
88,273,10,{time} {1}跑动灌篮 不中,{time} {3}盖帽，{1}跑动灌篮 不中
89,274,10,{time} {1}跑动灌篮 不中,{time} {3}盖帽，{1}跑动灌篮 不中
90,275,10,{time} {1}反手灌篮 不中,{time} {3}盖帽，{1}反手灌篮 不中
91,276,10,{time} {1}空中接力灌篮 不中,{time} {3}盖帽，{1}空中接力灌篮 不中
92,277,10,{time} {1}勾手投篮 不中,{time} {3}盖帽，{1}勾手投篮 不中
93,278,10,{time} {1}跑动勾手投篮 不中,{time} {3}盖帽，{1}跑动勾手投篮 不中
94,279,10,{time} {1}带球切入勾手投篮 不中,{time} {3}盖帽，{1}带球切入勾手投篮 不中
95,280,10,{time} {1}转身勾手投篮 不中,{time} {3}盖帽，{1}转身勾手投篮 不中
96,281,10,{time} {1}后仰跳投 不中,{time} {3}盖帽，{1}后仰跳投 不中
97,282,10,{time} {1}跳投打板 不中,{time} {3}盖帽，{1}跳投打板 不中
98,283,10,{time} {1}勾手投篮打板 不中,{time} {3}盖帽，{1}勾手投篮打板 不中
99,284,10,{time} {1}挑篮 不中,{time} {3}盖帽，{1}挑篮 不中
100,285,10,{time} {1}补篮 不中,{time} {3}盖帽，{1}补篮 不中
101,286,10,{time} {1}带球切入反手上篮 不中,{time} {3}盖帽，{1}带球切入反手上篮 不中
102,287,10,{time} {1}跑动反手上篮 不中,{time} {3}盖帽，{1}跑动反手上篮 不中
103,288,10,{time} {1}带球切入挑篮 不中,{time} {3}盖帽，{1}带球切入挑篮 不中
104,289,10,{time} {1}跑动挑篮 不中,{time} {3}盖帽，{1}跑动挑篮 不中
105,290,10,{time} {1}带球切入跳投 不中,{time} {3}盖帽，{1}带球切入跳投 不中
106,291,10,{time} {1}提前抛投 不中,{time} {3}盖帽，{1}提前抛投 不中
107,292,10,{time} {1}急停跳投 不中,{time} {3}盖帽，{1}急停跳投 不中
108,293,10,{time} {1}后撤步三分跳投 不中,{time} {3}盖帽，{1}后撤步三分跳投 不中
109,294,10,{time} {1}急停跳投打板 不中,{time} {3}盖帽，{1}急停跳投打板 不中
110,295,10,{time} {1}带球切入投篮打板 不中,{time} {3}盖帽，{1}带球切入投篮打板 不中
111,296,10,{time} {1}后仰跳投打板 不中,{time} {3}盖帽，{1}后仰跳投打板 不中
112,297,10,{time} {1}转身投篮打板 不中,{time} {3}盖帽，{1}转身投篮打板 不中
113,298,10,{time} {1}转身后仰跳投 不中,{time} {3}盖帽，{1}转身后仰跳投 不中
114,299,10,{time} {1}补扣 不中,{time} {3}盖帽，{1}补扣 不中
115,300,10,{time} {1}带球切入投篮打板 不中,{time} {3}盖帽，{1}带球切入投篮打板 不中
116,301,10,{time} {1}转身勾手投篮打板 不中,{time} {3}盖帽，{1}转身勾手投篮打板 不中
117,302,10,{time} {1}托球上篮 不中,{time} {3}盖帽，{1}托球上篮 不中
118,303,10,{time} {1}空切上篮 不中,{time} {3}盖帽，{1}空切上篮 不中
119,304,10,{time} {1}空切挑篮 不中,{time} {3}盖帽，{1}空切挑篮 不中
120,305,10,{time} {1}跑动空中接力上篮 不中,{time} {3}盖帽，{1}跑动空中接力上篮 不中
121,306,10,{time} {1}带球切入提前抛投 不中,{time} {3}盖帽，{1}带球切入提前抛投 不中
122,307,10,{time} {1}带球切入提前抛投打板 不中,{time} {3}盖帽，{1}带球切入提前抛投打板 不中
123,308,10,{time} {1}跑动三分急停跳投 不中,{time} {3}盖帽，{1}跑动三分急停跳投 不中
124,309,10,{time} {1}后撤步跳投打板 不中,{time} {3}盖帽，{1}后撤步跳投打板 不中
125,310,10,{time} {1}转生后仰跳投打板 不中,{time} {3}盖帽，{1}转生后仰跳投打板 不中
126,311,10,{time} {1}跑动空中接力灌篮 不中,{time} {3}盖帽，{1}跑动空中接力灌篮 不中
127,312,10,{time} {1}托球灌篮 不中,{time} {3}盖帽，{1}托球灌篮 不中
128,313,10,{time} {1}空切灌篮 不中,{time} {3}盖帽，{1}空切灌篮 不中
129,314,10,{time} {1}带球切入反手灌篮 不中,{time} {3}盖帽，{1}带球切入反手灌篮 不中
130,315,10,{time} {1}单罚 命中+1,
131,316,10,{time} {1}两罚1罚 命中+1,
132,317,10,{time} {1}两罚2罚 命中+1,
133,318,10,{time} {1}三罚1罚 命中+1,
134,319,10,{time} {1}三罚2罚 命中+1,
135,320,10,{time} {1}三罚3罚 命中+1,
136,321,10,{time} {1}技术犯规罚球1罚 命中+1,
137,322,10,{time} {1}恶意犯规两罚1罚 命中+1,
138,323,10,{time} {1}恶意犯规两罚2罚 命中+1,
139,324,10,{time} {1}两罚1罚 命中+1,
140,325,10,{time} {1}两罚1罚 命中+1,
141,326,10,{time} {1}两罚2罚 命中+1,
142,327,10,{time} {1}抢到篮板球,
143,329,10,{time} {1}失误,
144,330,10,{time} {1}传球失误,{time} {2}抢断 {1}传球失误
145,331,10,{time} {1}丢球失误,{time} {1}丢球失误 {2}抢断
146,332,10,{time} {1}出界失误,
147,333,10,{time} {1}走步违例,
148,334,10,{time} {1}失误,
149,335,10,{time} {1}两次运球失误,
150,336,10,{time} {1}运球失误,
151,337,10,{time} {1}3秒违例,
152,338,10,{time} {1}5秒违例,
153,339,10,{time} {1}8秒违例,
154,341,10,{time} {1}发边线球违例,
155,342,10,{time} {1}回场违例,
156,343,10,{time} {1}干扰球,
157,344,10,{time} {1}提前入线违例,
158,345,10,{time} {1}跳球违例,
159,346,10,{time} {1}脚踢球失误,
160,347,10,{time} {1}非法掩护,
161,348,10,{time} {1}翻腕,
162,349,10,{time} {1}运球失误,
163,350,10,{time} {1}过分挥肘,
164,351,10,{time} {1}投篮违例,
165,352,10,{time} {1}非法掩护,
166,353,10,{time} {1}进攻犯规,
