Id,Type,Item,Cost,DayLimit,WeekLimit,SeasonLimit,Limit
6001,6,3:104009:1,2:400502:8400,2,-1,-1,-1
6002,6,3:104012:1,2:400502:8400,2,-1,-1,-1
6003,6,3:104015:1,2:400502:8400,2,-1,-1,-1
6004,6,3:104017:1,2:400502:8400,2,-1,-1,-1
6005,6,3:104018:1,2:400502:8400,2,-1,-1,-1
6006,6,3:104023:1,2:400502:8400,2,-1,-1,-1
6007,6,3:104025:1,2:400502:8400,2,-1,-1,-1
6008,6,3:104026:1,2:400502:8400,2,-1,-1,-1
6009,6,3:104027:1,2:400502:8400,2,-1,-1,-1
6010,6,3:104028:1,2:400502:8400,2,-1,-1,-1
6011,6,3:103001:1,2:400502:2400,2,-1,-1,-1
6012,6,3:103002:1,2:400502:2400,2,-1,-1,-1
6013,6,3:103003:1,2:400502:2400,2,-1,-1,-1
6014,6,3:103004:1,2:400502:2400,2,-1,-1,-1
6015,6,3:103005:1,2:400502:2400,2,-1,-1,-1
6016,6,3:103006:1,2:400502:2400,2,-1,-1,-1
6017,6,3:103011:1,2:400502:2400,2,-1,-1,-1
6018,6,3:103013:1,2:400502:2400,2,-1,-1,-1
6019,6,3:103014:1,2:400502:2400,2,-1,-1,-1
6020,6,3:103020:1,2:400502:2400,2,-1,-1,-1
6500,5,2:400154:1,2:400503:50,1,-1,-1,-1
6501,5,2:400153:1,2:400503:65,1,-1,-1,-1
6502,5,2:400152:1,2:400503:400,1,-1,-1,-1
6503,5,2:100108:1,2:400503:60,1,-1,-1,-1
6504,5,2:400201:1,2:400503:500,1,-1,-1,-1
6505,5,2:400152:1,2:400504:4,1,-1,-1,-1
6506,5,2:400151:1,2:400504:8,1,-1,-1,-1
6507,5,2:100108:1,2:400504:5,1,-1,-1,-1
6508,5,2:400201:1,2:400504:16,1,-1,-1,-1
7001,7,2:400154:1,2:100109:50,20,-1,-1,-1
7002,7,2:400153:1,2:100109:200,20,-1,-1,-1
7003,7,2:400152:1,2:100109:350,20,-1,-1,-1
7004,7,2:400151:1,2:100109:500,5,-1,-1,-1
7005,7,2:400154:1,2:100109:100,20,-1,-1,-1
7006,7,2:400153:1,2:100109:400,20,-1,-1,-1
7007,7,2:400152:1,2:100109:700,20,-1,-1,-1
7008,7,2:400151:1,2:100109:1500,5,-1,-1,-1
10001,10,2:400201:1,1:1:300,99999,-1,-1,-1
10002,10,2:400210:1,1:1:300,99999,-1,-1,-1
11001,11,2:400207:1,2:100110:5,-1,5,-1,-1
11002,11,2:400209:1,2:100110:5,-1,5,-1,-1
11003,11,2:400208:1,2:100110:5,-1,5,-1,-1
11004,11,1:2:10000,2:100110:10,-1,5,-1,-1
11005,11,1:2:30000,2:100110:30,-1,5,-1,-1
11006,11,1:2:100000,2:100110:80,-1,5,-1,-1
11008,11,1:6:50,2:100110:10,-1,3,-1,-1
11009,11,2:400201:1,2:100110:30,-1,5,-1,-1
11010,11,2:100106:20,2:100110:25,-1,3,-1,-1
11011,11,2:200211:1,2:100110:88,-1,1,-1,-1
11012,11,2:400103:3,2:100110:10,-1,2,-1,-1
11013,11,2:400102:2,2:100110:60,-1,2,-1,-1
11014,11,2:400152:1,2:100110:10,-1,3,-1,-1
11015,11,2:400151:1,2:100110:50,-1,2,-1,-1
11016,11,2:200232:1,2:100110:12,-1,3,-1,-1
11017,11,2:200231:1,2:100110:65,-1,2,-1,-1
