Id,Name,Icon,Skindex,Sklv,Action,Actparam,Actobj,Side,When,Wparam2,Wparam1,Bufftime,Time,Desc,Fire
101001110,得分强化,101006110,1,1,addbuff,"[1,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%得分能力，持续10分钟,0
101001120,得分强化,101006110,1,2,addbuff,"[1,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%得分能力，持续10分钟,0
101002110,抢断强化,101002110,1,1,addbuff,"[5,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%抢断能力，持续10分钟,0
101002120,抢断强化,101002110,1,2,addbuff,"[5,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%抢断能力，持续10分钟,0
101003110,传球强化,101001110,1,1,addbuff,"[3,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%传球能力，持续10分钟,0
101003120,传球强化,101001110,1,2,addbuff,"[3,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%传球能力，持续10分钟,0
101004110,篮板强化,101004110,1,1,addbuff,"[2,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%篮板能力，持续10分钟,0
101004120,篮板强化,101004110,1,2,addbuff,"[2,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%篮板能力，持续10分钟,0
101005110,控球强化,101005110,1,1,addbuff,"[4,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%控球能力，持续10分钟,0
101005120,控球强化,101005110,1,2,addbuff,"[4,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%控球能力，持续10分钟,0
101006110,得分强化,101006110,1,1,addbuff,"[1,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%得分能力，持续10分钟,0
101006120,得分强化,101006110,1,2,addbuff,"[1,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%得分能力，持续10分钟,0
101007110,得分强化,101006110,1,1,addbuff,"[1,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%得分能力，持续10分钟,0
101007120,得分强化,101006110,1,2,addbuff,"[1,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%得分能力，持续10分钟,0
101008110,传球强化,101001110,1,1,addbuff,"[3,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%传球能力，持续10分钟,0
101008120,传球强化,101001110,1,2,addbuff,"[3,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%传球能力，持续10分钟,0
101009110,防守强化,101009110,1,1,addbuff,"[6,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%防守能力，持续10分钟,0
101009120,防守强化,101009110,1,2,addbuff,"[6,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%防守能力，持续10分钟,0
101010110,篮板强化,101004110,1,1,addbuff,"[2,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%篮板能力，持续10分钟,0
101010120,篮板强化,101004110,1,2,addbuff,"[2,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%篮板能力，持续10分钟,0
101011110,篮板强化,101004110,1,1,addbuff,"[2,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%篮板能力，持续10分钟,0
101011120,篮板强化,101004110,1,2,addbuff,"[2,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%篮板能力，持续10分钟,0
101012110,篮板强化,101004110,1,1,addbuff,"[2,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%篮板能力，持续10分钟,0
101012120,篮板强化,101004110,1,2,addbuff,"[2,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%篮板能力，持续10分钟,0
101013110,传球强化,101001110,1,1,addbuff,"[3,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%传球能力，持续10分钟,0
101013120,传球强化,101001110,1,2,addbuff,"[3,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%传球能力，持续10分钟,0
101014110,篮板强化,101004110,1,1,addbuff,"[2,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%篮板能力，持续10分钟,0
101014120,篮板强化,101004110,1,2,addbuff,"[2,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%篮板能力，持续10分钟,0
101015110,得分强化,101006110,1,1,addbuff,"[1,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%得分能力，持续10分钟,0
101015120,得分强化,101006110,1,2,addbuff,"[1,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%得分能力，持续10分钟,0
101016110,篮板强化,101004110,1,1,addbuff,"[2,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%篮板能力，持续10分钟,0
101016120,篮板强化,101004110,1,2,addbuff,"[2,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%篮板能力，持续10分钟,0
101017110,篮板强化,101004110,1,1,addbuff,"[5,0,2]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加2%篮板能力，持续10分钟,0
101017120,篮板强化,101004110,1,2,addbuff,"[5,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%篮板能力，持续10分钟,0
102001110,篮板强化,101004110,1,1,addbuff,"[2,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%篮板能力，持续10分钟,0
102001120,篮板强化,101004110,1,2,addbuff,"[2,0,6]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加6%篮板能力，持续10分钟,0
102001210,强化队友,102001210,2,1,addbuff,"[2,0,4]","[""1""]",0,onbattle,-1,=,10,-1,战斗开始时，增加控球后卫4%篮板能力，持续10分钟,1
102001220,强化队友,102001210,2,2,addbuff,"[2,0,6]","[""1""]",0,onbattle,-1,=,10,-1,战斗开始时，增加控球后卫6%篮板能力，持续10分钟,1
102002110,防守强化,101009110,1,1,addbuff,"[1,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%防守能力，持续10分钟,0
102002120,防守强化,101009110,1,2,addbuff,"[1,0,6]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加6%防守能力，持续10分钟,0
102002210,强化队友,102001210,2,1,addbuff,"[3,0,4]","[""4""]",0,onbattle,-1,=,10,-1,战斗开始时，增加大前锋4%传球能力，持续10分钟,1
102002220,强化队友,102001210,2,2,addbuff,"[3,0,6]","[""4""]",0,onbattle,-1,=,10,-1,战斗开始时，增加大前锋6%传球能力，持续10分钟,1
102003110,传球强化,101001110,1,1,addbuff,"[3,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%传球能力，持续10分钟,0
102003120,传球强化,101001110,1,2,addbuff,"[3,0,6]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加6%传球能力，持续10分钟,0
102003210,强化队友,102001210,2,1,addbuff,"[2,0,4]","[""1""]",0,onbattle,-1,=,10,-1,战斗开始时，增加控球后卫4%篮板能力，持续10分钟,1
102003220,强化队友,102001210,2,2,addbuff,"[2,0,6]","[""1""]",0,onbattle,-1,=,10,-1,战斗开始时，增加控球后卫6%篮板能力，持续10分钟,1
102004110,篮板强化,101004110,1,1,addbuff,"[2,0,4]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加4%篮板能力，持续10分钟,0
102004120,篮板强化,101004110,1,2,addbuff,"[2,0,6]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加6%篮板能力，持续10分钟,0
102004210,强化队友,102001210,2,1,addbuff,"[2,0,4]","[""1""]",0,onbattle,-1,=,10,-1,战斗开始时，增加控球后卫4%篮板能力，持续10分钟,1
102004220,强化队友,102001210,2,2,addbuff,"[2,0,6]","[""1""]",0,onbattle,-1,=,10,-1,战斗开始时，增加控球后卫6%篮板能力，持续10分钟,1
102004310,得分强化,101006110,1,1,addbuff,"[1,0,10]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加10%得分能力，持续10分钟,0
102004320,得分强化,101006110,1,2,addbuff,"[1,0,15]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加15%得分能力，持续10分钟,0
102005110,控球强化,101005110,1,1,addbuff,"[4,0,4]","[""self""]",0,onsection,2,=,10,-1,战斗开始时，增加4%控球能力，持续10分钟,0
102005120,控球强化,101005110,1,2,addbuff,"[4,0,6]","[""self""]",0,onsection,2,=,10,-1,战斗开始时，增加6%控球能力，持续10分钟,0
102005210,强化队友,102001210,2,1,addbuff,"[3,0,4]","[""4""]",0,onsection,2,=,10,-1,战斗开始时，增加大前锋4%传球能力，持续10分钟,1
102005220,强化队友,102001210,2,2,addbuff,"[3,0,6]","[""4""]",0,onsection,2,=,10,-1,战斗开始时，增加大前锋6%传球能力，持续10分钟,1
102005310,抢断强化,101002110,1,1,addbuff,"[5,0,10]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加10%抢断能力，持续10分钟,0
102005320,抢断强化,101002110,1,2,addbuff,"[5,0,15]","[""self""]",0,onbattle,-1,=,10,-1,战斗开始时，增加15%抢断能力，持续10分钟,0
102006110,篮板强化,101004110,1,1,addbuff,"[2,0,4]","[""self""]",0,onsection,2,=,10,-1,战斗开始时，增加4%篮板能力，持续10分钟,0
102006120,篮板强化,101004110,1,2,addbuff,"[2,0,6]","[""self""]",0,onsection,2,=,10,-1,战斗开始时，增加6%篮板能力，持续10分钟,0
102006210,强化队友,102001210,2,1,addbuff,"[4,0,4]","[""3""]",0,onsection,2,=,10,-1,战斗开始时，增加小前锋4%控球能力，持续10分钟,1
102006220,强化队友,102001210,2,2,addbuff,"[4,0,6]","[""3""]",0,onsection,2,=,10,-1,战斗开始时，增加小前锋6%控球能力，持续10分钟,1
102007110,得分强化,101006110,1,1,addbuff,"[1,0,4]","[""self""]",0,onsection,2,=,10,-1,战斗开始时，增加4%得分能力，持续10分钟,0
102007120,得分强化,101006110,1,2,addbuff,"[1,0,6]","[""self""]",0,onsection,2,=,10,-1,战斗开始时，增加6%得分能力，持续10分钟,0
102007210,强化队友,102001210,2,1,addbuff,"[1,0,4]","[""2""]",0,onsection,2,=,10,-1,战斗开始时，增加得分后卫4%得分能力，持续10分钟,1
102007220,强化队友,102001210,2,2,addbuff,"[1,0,6]","[""2""]",0,onsection,2,=,10,-1,战斗开始时，增加得分后卫6%得分能力，持续10分钟,1
102008110,防守强化,101009110,1,1,addbuff,"[6,0,4]","[""self""]",0,onsection,2,=,10,-1,战斗开始时，增加4%防守能力，持续10分钟,0
102008120,防守强化,101009110,1,2,addbuff,"[6,0,6]","[""self""]",0,onsection,2,=,10,-1,战斗开始时，增加6%防守能力，持续10分钟,0
102008210,强化队友,102001210,2,1,addbuff,"[1,0,4]","[""4""]",0,onsection,2,=,10,-1,战斗开始时，增加大前锋4%得分能力，持续10分钟,1
102008220,强化队友,102001210,2,2,addbuff,"[1,0,6]","[""4""]",0,onsection,2,=,10,-1,战斗开始时，增加大前锋6%得分能力，持续10分钟,1
102009110,传球强化,101001110,1,1,addbuff,"[3,0,4]","[""self""]",0,onsection,3,=,10,-1,战斗开始时，增加4%传球能力，持续10分钟,0
102009120,传球强化,101001110,1,2,addbuff,"[3,0,6]","[""self""]",0,onsection,3,=,10,-1,战斗开始时，增加6%传球能力，持续10分钟,0
102009210,强化队友,102001210,2,1,addbuff,"[6,0,4]","[""2""]",0,onsection,3,=,10,-1,战斗开始时，增加得分后卫4%防守能力，持续10分钟,1
102009220,强化队友,102001210,2,2,addbuff,"[6,0,6]","[""2""]",0,onsection,3,=,10,-1,战斗开始时，增加得分后卫6%防守能力，持续10分钟,1
102010110,篮板强化,101004110,1,1,addbuff,"[2,0,4]","[""self""]",0,onsection,3,=,10,-1,战斗开始时，增加4%篮板能力，持续10分钟,0
102010120,篮板强化,101004110,1,2,addbuff,"[2,0,6]","[""self""]",0,onsection,3,=,10,-1,战斗开始时，增加6%篮板能力，持续10分钟,0
