Id,Character,Content,Next
1001,0,欢迎你，经理！你来得正是时候。,1002
1002,0,新的赛季马上就要开始了，你明白自己为什么来这儿吗？,1003
1003,1,先生们，我来这里是为了...,1004|1005
1004,1,联赛冠军！,1006
1005,1,保住球队级别！,1007
1006,0,很好！就是这个精神！,1008
1007,0,你很务实，我非常欣赏你！,1009
1008,0,我说什么来着，那个被我开掉的前任经理真是毫无进取心！,1010
1009,0,我说什么来着，那个被我开掉的前任经理总是满嘴跑火车！,1011
1010,0,你不会让我失望的，对吗？现在去狠狠地训练那帮小伙子吧，让他们知道你的厉害！,0
1011,0,我们现在需要好好打下基础，你一定能办得到。现在去狠狠地训练那帮小伙子吧，让他们知道你的厉害！,0
2001,1,大家好，我是俱乐部新任的经理兼教练。我很高兴回答大家的任何问题。,2002
2002,2,教练，你之前有什么代表性的荣誉吗？,2003|2004|2005
2003,1,三好学生,2006
2004,1,中职联常规赛最佳球员,2007
2005,1,年度最佳教练,2008
2006,2,就这？,3001
2007,2,不错嘛！,3001
2008,2,我怎么听说你在这儿是第一次执教？,3001
3001,2,那你准备怎么带我们？,3002
3002,1,我看过你们之前的录像。我们的传球组织能力较差，篮下防守薄弱，因此我们需要……,3003
3003,2,呼…呼…,3004|3005|3006
3004,1,不认真听的人将失去这周的薪水！,3007
3005,1,来来来，教练你来当，反正我们的排名还能再掉掉！,3008
3006,1,谁能重复我刚才说的话，奖励两周的周薪！,3009
3007,2,算了吧，反正也没多少钱……,4001
3008,2,对不起教练，我们知道错了……,4001
3009,2,我们的传球组织能力较差，篮下防守薄弱……,4001
4001,1,我已经分析了全队情况，大家对接下来要用的阵型有什么看法？,4002
4002,2,全凭教练定夺！,4003|4004|4005|4006
4003,1,我觉得内线防守、内线进攻比较适合我们的队伍。,4007
4004,1,我觉得内线防守、外线进攻比较适合我们的队伍。,4007
4005,1,我觉得外线防守、内线进攻比较适合我们的队伍。,4007
4006,1,我觉得外线防守、外线进攻比较适合我们的队伍。,4007
4007,2,说得没错！我们正想试试这个战术！,0
5001,3,抱歉打断您的训练。有个小小的突发情况……,5002
5002,3,是这样……俱乐部前任经理曾经签订了一份“环球俱乐部挑战之旅”的活动合约。,5003
5003,1,什么？我执教第一天就环……地球……挑战？这么刺激？,5004
5004,3,是的，按照合约要求，我们需要挑战五大洲的篮球俱乐部。,5005
5005,3,显然在交接时，大家都把这份合约给忘记了……结果……您猜怎么着？,5006
5006,2,要比赛了？,5007
5007,3,您可真是料事如神！第一场比赛就在今天！,5008|5009|5010
5008,1,马上？？,5011
5009,1,还是算了吧,5012
5010,1,我正想练练队伍呢,5013
5011,2,是的，我已经帮您取消了您今晚的欢迎酒会，可以立即出发了。,5014
5012,2,别……不履行合约的“赔偿条款”，可能会让我们把底裤都卖掉……,5015
5013,2,好极了，这是个拉练的好机会！,5016
5014,1,什么？！！！我的拉菲，鲜花，还有奇妙的夜晚就这么没了？,0
5015,1,停~说得我感觉空唠唠的，赶紧订机票吧……,0
5016,1,希望我们还能订到打折机票……,0
6001,3,经理，董事会给出的一份球队的阶段奖励表。,6002
6002,1,哦？让我看看。,6003
6003,2,我听到有人在说奖励？,6004
6004,3,是的，根据球队每日、每周的活跃度，董事会安排了<color=#EA8519>钻石、球探契约</color>等等。,6005|6006|6007
6005,1,董事会天天给人画饼，说的比唱的还好听。,6008
6006,1,请回复董事会，我们会尽量达到要求。,6009
6007,1,兄弟们，这确实是力所能及的福利。,6010
6008,2,老大霸气！！！,0
6009,3,好的，那我就不打扰了。,0
6010,2,我感觉老大被洗脑了，他是不是没见过美女？,0
7001,2,喂~我刚刚在门口又看到老大的小助理了。,7002
7002,3,经理，我们现在可以通过派遣球员参加悬赏任务了。,7003
7003,3,完成悬赏任务可以获得<color=#EA8519>战术升级卡</color>，在布阵界面中升级各种战术。,7004
7004,1,什么？可以战术升级了？太好了，我正愁打法单一呢！,7005
7005,1,你先给我战术卡，要几个人，做什么我不关心。,7006
7006,2,……,0
8001,3,经理，经过董事会批准，为球队新建的体育馆正式投入使用！,8002|8003
8002,1,太好了！我终于不用早起去和小学生抢球场了。,8004
8003,1,我正需要一个场地可以展开我的魔鬼训练。,8005
8004,3,心疼经理3秒钟。,8005
8005,1,那么就用我们的新场地赶快投入训练吧！,8006
8006,3,注意在球馆中训练的属性加成对全体球员都有效哦。,0
9001,3,剧情模式是让我们亲身体验一些<color=#EA8519>优秀</color>球员的成长经历，也许能悟出提高的技巧。,9002
9002,3,并且还可以收获大量<color=#EA8519>球员碎片</color>。,9003
9003,2,可是我有很多过去并不想被人知道。,9004|9005|9006
9004,1,害！谁还没点不堪回首的往事呢。,9007
9005,1,主要是为了拿奖励，认真你就输了啊！,9008
9006,1,别怕，不管以前发生过什么，以后经理都站在你的一边。,9009
9007,2,经理说的对，而且你也没那么优秀。,9008
9008,3,……,0
9009,3,我麻了啊……,0
10001,3,排位赛中，咱们球队可以和其他玩家的球队同台竞技。,10002
10002,3,奖励分为：<color=#EA8519>每日奖励</color>，<color=#EA8519>进阶奖励</color>、<color=#EA8519>赛季奖励</color>,10003
10003,3,如果获胜可以获得大量<color=#EA8519>竞技币</color>，在排位商城中兑换包括<color=#EA8519>橙色球员</color>在内的各种珍贵道具。,10004
10004,2,如果输了呢？,10005
10005,1,单场输赢没那么重要，重要是通过比赛知道自己不足，针对性提高。,10006
10006,2,经理，你就直接说输了咋办吧？,10007|10008|10009
10007,1,我们可以通过<color=#EA8519>球探招募</color>，获得更高品质的球员。,10010
10008,1,我们可以通过<color=#EA8519>球员升级</color>，提高球员能力。,10010
10009,1,我们可以通过<color=#EA8519>球员装备升级</color>，提高球员能力。,10010
10010,2,没了？总感觉你还有很多本事瞒着我们。,0
11001,3,每天12:00，18:00两个时间点会开启联赛，一定要记得提前报名参赛呐！,11002
11002,3,每季联赛将会持续4天左右，历经38轮比赛。保持球员们良好的竞技状态是胜利的关键。,11003
11003,3,当然最终奖励也非常丰厚，可以获得<color=#EA8519>橙色球员</color>等珍贵道具。,11004
11004,2,如果输了呢？,11005
11005,1,你有完没完？输了自己买机票回来。,0
