Id,Type,Option,Name,ItemContent
1,1,1,胜利 <size=40>1</size> 场,1:2:500|1:1:10
2,1,3,胜利 <size=40>3</size> 场,1:2:1500|1:1:30
3,1,5,胜利 <size=40>5</size> 场,1:2:5000|1:1:50
4,1,8,胜利 <size=40>8</size> 场,1:2:10000|1:1:100
5,2,1,第1名,1:2:80000|2:200257:20|2:200256:20
6,2,2,第2名,1:2:50000|2:200257:15|2:200256:12
7,2,4,4强,1:2:30000|2:200257:13|2:200256:9
8,2,8,8强,1:2:25000|2:200257:10|2:200256:7
9,2,16,16强,1:2:20000|2:200257:8|2:200256:5
10,2,32,32强,1:2:15000|2:200257:5|2:200256:3
11,2,64,64强,1:2:10000|2:200257:3|2:200256:1
12,3,1,第1名,1:2:400000|2:200257:45|2:200256:45
13,3,2,第2名,1:2:250000|2:200257:35|2:200256:35
14,3,4,4强,1:2:150000|2:200257:25|2:200256:25
