Id,Position,Level,Cost,Ability,Quality,Talent,CardNameSuffix,CardLevel
1001,1,1,1:2:1000,"{""1"":19,""2"":14,""3"":21,""4"":21,""5"":24,""6"":18,""7"":11,""8"":13,""9"":22,""10"":18}",1,1,,0
1002,1,2,1:2:2000,"{""1"":38,""2"":29,""3"":41,""4"":41,""5"":49,""6"":36,""7"":22,""8"":25,""9"":43,""10"":36}",1,1,+1,4
1003,1,3,1:2:4000,"{""1"":57,""2"":43,""3"":62,""4"":62,""5"":73,""6"":54,""7"":32,""8"":38,""9"":65,""10"":54}",1,1,+2,8
1004,1,4,1:2:6000,"{""1"":76,""2"":58,""3"":83,""4"":83,""5"":97,""6"":72,""7"":43,""8"":50,""9"":86,""10"":72}",2,2,,12
1005,1,5,1:2:8000,"{""1"":95,""2"":72,""3"":104,""4"":104,""5"":122,""6"":90,""7"":54,""8"":63,""9"":108,""10"":90}",2,2,+1,16
1006,1,6,1:2:10000,"{""1"":113,""2"":86,""3"":124,""4"":124,""5"":146,""6"":108,""7"":65,""8"":76,""9"":130,""10"":108}",2,2,+2,20
1007,1,7,1:2:10000|2:100108:2,"{""1"":132,""2"":101,""3"":145,""4"":145,""5"":170,""6"":126,""7"":76,""8"":88,""9"":151,""10"":126}",2,2,+3,24
1008,1,8,1:2:15000,"{""1"":151,""2"":115,""3"":166,""4"":166,""5"":194,""6"":144,""7"":86,""8"":101,""9"":173,""10"":144}",3,3,,28
1009,1,9,1:2:20000,"{""1"":170,""2"":130,""3"":186,""4"":186,""5"":219,""6"":162,""7"":97,""8"":113,""9"":194,""10"":162}",3,3,+1,32
1010,1,10,1:2:30000,"{""1"":189,""2"":144,""3"":207,""4"":207,""5"":243,""6"":180,""7"":108,""8"":126,""9"":216,""10"":180}",3,3,+2,36
1011,1,11,1:2:40000,"{""1"":208,""2"":158,""3"":228,""4"":228,""5"":267,""6"":198,""7"":119,""8"":139,""9"":238,""10"":198}",3,3,+3,40
1012,1,12,1:2:50000|2:100108:6,"{""1"":227,""2"":173,""3"":248,""4"":248,""5"":292,""6"":216,""7"":130,""8"":151,""9"":259,""10"":216}",3,3,+4,44
1013,1,13,1:2:60000,"{""1"":246,""2"":187,""3"":269,""4"":269,""5"":316,""6"":234,""7"":140,""8"":164,""9"":281,""10"":234}",4,4,,48
1014,1,14,1:2:70000,"{""1"":265,""2"":202,""3"":290,""4"":290,""5"":340,""6"":252,""7"":151,""8"":176,""9"":302,""10"":252}",4,4,+1,52
1015,1,15,1:2:80000,"{""1"":284,""2"":216,""3"":311,""4"":311,""5"":365,""6"":270,""7"":162,""8"":189,""9"":324,""10"":270}",4,4,+2,56
1016,1,16,1:2:90000,"{""1"":302,""2"":230,""3"":331,""4"":331,""5"":389,""6"":288,""7"":173,""8"":202,""9"":346,""10"":288}",4,4,+3,60
1017,1,17,1:2:100000,"{""1"":321,""2"":245,""3"":352,""4"":352,""5"":413,""6"":306,""7"":184,""8"":214,""9"":367,""10"":306}",4,4,+4,64
1018,1,18,1:2:110000,"{""1"":340,""2"":259,""3"":373,""4"":373,""5"":437,""6"":324,""7"":194,""8"":227,""9"":389,""10"":324}",4,4,+5,68
1019,1,19,1:2:120000|2:100108:10,"{""1"":359,""2"":274,""3"":393,""4"":393,""5"":462,""6"":342,""7"":205,""8"":239,""9"":410,""10"":342}",4,4,+6,72
1020,1,20,1:2:130000,"{""1"":378,""2"":288,""3"":414,""4"":414,""5"":486,""6"":360,""7"":216,""8"":252,""9"":432,""10"":360}",5,4,,76
