Id,Part,Position,Level,Cost,Ability,CardLevel
101001,1,1,1,2:600101:4,"{""1"":19,""6"":18}",0
101002,1,1,2,2:600101:8,"{""1"":38,""6"":36}",0
101003,1,1,3,2:600101:12,"{""1"":57,""6"":54}",5
101004,1,1,4,2:600201:16,"{""1"":76,""6"":72}",9
101005,1,1,5,2:600201:20,"{""1"":95,""6"":90}",13
101006,1,1,6,2:600201:24,"{""1"":113,""6"":108}",17
101007,1,1,7,2:600201:28,"{""1"":132,""6"":126}",21
101008,1,1,8,2:600301:32,"{""1"":151,""6"":144}",25
101009,1,1,9,2:600301:36,"{""1"":170,""6"":162}",29
101010,1,1,10,2:600301:40,"{""1"":189,""6"":180}",33
101011,1,1,11,2:600301:44,"{""1"":208,""6"":198}",37
101012,1,1,12,2:600301:48,"{""1"":227,""6"":216}",41
101013,1,1,13,2:600401:52,"{""1"":246,""6"":234}",45
101014,1,1,14,2:600401:56,"{""1"":265,""6"":252}",49
101015,1,1,15,2:600401:60,"{""1"":284,""6"":270}",53
101016,1,1,16,2:600401:64,"{""1"":302,""6"":288}",57
101017,1,1,17,2:600401:68,"{""1"":321,""6"":306}",61
101018,1,1,18,2:600401:72,"{""1"":340,""6"":324}",65
101019,1,1,19,2:600401:76,"{""1"":359,""6"":342}",69
101020,1,1,20,2:600501:80,"{""1"":378,""6"":360}",73
101021,1,1,21,2:600501:84,"{""1"":397,""6"":378}",77
101022,1,1,22,2:600501:88,"{""1"":416,""6"":396}",81
101023,1,1,23,2:600501:92,"{""1"":435,""6"":414}",85
101024,1,1,24,2:600501:96,"{""1"":454,""6"":432}",89
101025,1,1,25,2:600501:100,"{""1"":473,""6"":450}",93
101026,1,1,26,2:600501:104,"{""1"":491,""6"":468}",97
101027,1,1,27,2:600501:108,"{""1"":510,""6"":486}",101
101028,1,1,28,2:600601:112,"{""1"":529,""6"":504}",105
101029,1,1,29,2:600601:116,"{""1"":548,""6"":522}",109
101030,1,1,30,2:600601:120,"{""1"":567,""6"":540}",113
101031,1,1,31,2:600601:124,"{""1"":586,""6"":558}",117
101032,1,1,32,2:600601:128,"{""1"":605,""6"":576}",121
101033,1,1,33,2:600601:132,"{""1"":624,""6"":594}",125
101034,1,1,34,2:600601:136,"{""1"":643,""6"":612}",129
101035,1,1,35,2:600601:140,"{""1"":662,""6"":630}",133
101036,1,1,36,2:600601:144,"{""1"":680,""6"":648}",137
102001,1,2,1,2:600102:3,"{""1"":21,""6"":18}",0
102002,1,2,2,2:600102:6,"{""1"":41,""6"":36}",0
102003,1,2,3,2:600102:9,"{""1"":62,""6"":54}",4
102004,1,2,4,2:600203:12,"{""1"":83,""6"":72}",8
102005,1,2,5,2:600203:15,"{""1"":104,""6"":90}",12
102006,1,2,6,2:600203:18,"{""1"":124,""6"":108}",16
102007,1,2,7,2:600203:21,"{""1"":145,""6"":126}",20
102008,1,2,8,2:600303:24,"{""1"":166,""6"":144}",24
102009,1,2,9,2:600303:27,"{""1"":186,""6"":162}",28
102010,1,2,10,2:600303:30,"{""1"":207,""6"":180}",32
102011,1,2,11,2:600303:33,"{""1"":228,""6"":198}",36
102012,1,2,12,2:600303:36,"{""1"":248,""6"":216}",40
102013,1,2,13,2:600403:39,"{""1"":269,""6"":234}",44
102014,1,2,14,2:600403:42,"{""1"":290,""6"":252}",48
102015,1,2,15,2:600403:45,"{""1"":311,""6"":270}",52
102016,1,2,16,2:600403:48,"{""1"":331,""6"":288}",56
102017,1,2,17,2:600403:51,"{""1"":352,""6"":306}",60
102018,1,2,18,2:600403:54,"{""1"":373,""6"":324}",64
102019,1,2,19,2:600403:57,"{""1"":393,""6"":342}",68
102020,1,2,20,2:600503:60,"{""1"":414,""6"":360}",72
102021,1,2,21,2:600503:63,"{""1"":435,""6"":378}",76
102022,1,2,22,2:600503:66,"{""1"":455,""6"":396}",80
102023,1,2,23,2:600503:69,"{""1"":476,""6"":414}",84
102024,1,2,24,2:600503:72,"{""1"":497,""6"":432}",88
102025,1,2,25,2:600503:75,"{""1"":518,""6"":450}",92
102026,1,2,26,2:600503:78,"{""1"":538,""6"":468}",96
102027,1,2,27,2:600503:81,"{""1"":559,""6"":486}",100
102028,1,2,28,2:600603:84,"{""1"":580,""6"":504}",104
102029,1,2,29,2:600603:87,"{""1"":600,""6"":522}",108
102030,1,2,30,2:600603:90,"{""1"":621,""6"":540}",112
102031,1,2,31,2:600603:93,"{""1"":642,""6"":558}",116
102032,1,2,32,2:600603:96,"{""1"":662,""6"":576}",120
102033,1,2,33,2:600603:99,"{""1"":683,""6"":594}",124
102034,1,2,34,2:600603:102,"{""1"":704,""6"":612}",128
102035,1,2,35,2:600603:105,"{""1"":725,""6"":630}",132
102036,1,2,36,2:600603:108,"{""1"":745,""6"":648}",136
103001,1,3,1,2:600103:5,"{""1"":18,""6"":18}",0
103002,1,3,2,2:600103:10,"{""1"":36,""6"":36}",0
103003,1,3,3,2:600103:15,"{""1"":54,""6"":54}",3
103004,1,3,4,2:600205:20,"{""1"":72,""6"":72}",7
103005,1,3,5,2:600205:25,"{""1"":90,""6"":90}",11
103006,1,3,6,2:600205:30,"{""1"":108,""6"":108}",15
103007,1,3,7,2:600205:35,"{""1"":126,""6"":126}",19
103008,1,3,8,2:600305:40,"{""1"":144,""6"":144}",23
103009,1,3,9,2:600305:45,"{""1"":162,""6"":162}",27
103010,1,3,10,2:600305:50,"{""1"":180,""6"":180}",31
103011,1,3,11,2:600305:55,"{""1"":198,""6"":198}",35
103012,1,3,12,2:600305:60,"{""1"":216,""6"":216}",39
103013,1,3,13,2:600405:65,"{""1"":234,""6"":234}",43
103014,1,3,14,2:600405:70,"{""1"":252,""6"":252}",47
103015,1,3,15,2:600405:75,"{""1"":270,""6"":270}",51
103016,1,3,16,2:600405:80,"{""1"":288,""6"":288}",55
103017,1,3,17,2:600405:85,"{""1"":306,""6"":306}",59
103018,1,3,18,2:600405:90,"{""1"":324,""6"":324}",63
103019,1,3,19,2:600405:95,"{""1"":342,""6"":342}",67
103020,1,3,20,2:600505:100,"{""1"":360,""6"":360}",71
103021,1,3,21,2:600505:105,"{""1"":378,""6"":378}",75
103022,1,3,22,2:600505:110,"{""1"":396,""6"":396}",79
103023,1,3,23,2:600505:115,"{""1"":414,""6"":414}",83
103024,1,3,24,2:600505:120,"{""1"":432,""6"":432}",87
103025,1,3,25,2:600505:125,"{""1"":450,""6"":450}",91
103026,1,3,26,2:600505:130,"{""1"":468,""6"":468}",95
103027,1,3,27,2:600505:135,"{""1"":486,""6"":486}",99
103028,1,3,28,2:600605:140,"{""1"":504,""6"":504}",103
103029,1,3,29,2:600605:145,"{""1"":522,""6"":522}",107
103030,1,3,30,2:600605:150,"{""1"":540,""6"":540}",111
103031,1,3,31,2:600605:155,"{""1"":558,""6"":558}",115
103032,1,3,32,2:600605:160,"{""1"":576,""6"":576}",119
103033,1,3,33,2:600605:165,"{""1"":594,""6"":594}",123
103034,1,3,34,2:600605:170,"{""1"":612,""6"":612}",127
103035,1,3,35,2:600605:175,"{""1"":630,""6"":630}",131
103036,1,3,36,2:600605:180,"{""1"":648,""6"":648}",135
104001,1,4,1,2:600104:6,"{""1"":16,""6"":18}",0
104002,1,4,2,2:600104:12,"{""1"":32,""6"":36}",0
104003,1,4,3,2:600104:18,"{""1"":49,""6"":54}",6
104004,1,4,4,2:600207:24,"{""1"":65,""6"":72}",10
104005,1,4,5,2:600207:30,"{""1"":81,""6"":90}",14
104006,1,4,6,2:600207:36,"{""1"":97,""6"":108}",18
104007,1,4,7,2:600207:42,"{""1"":113,""6"":126}",22
104008,1,4,8,2:600307:48,"{""1"":130,""6"":144}",26
104009,1,4,9,2:600307:54,"{""1"":146,""6"":162}",30
104010,1,4,10,2:600307:60,"{""1"":162,""6"":180}",34
104011,1,4,11,2:600307:66,"{""1"":178,""6"":198}",38
