Id,Round,CourseMap,NoonTimeOffset,NightTimeOffset
1,1,"{""1"":2,""3"":19,""4"":18,""5"":17,""6"":16,""7"":15,""8"":14,""9"":13,""10"":12,""11"":20}",7200,7200
2,2,"{""1"":3,""2"":20,""4"":19,""5"":18,""6"":17,""7"":16,""8"":15,""9"":14,""10"":13,""11"":12}",14400,9000
3,3,"{""4"":1,""3"":2,""19"":5,""18"":6,""17"":7,""16"":8,""15"":9,""14"":10,""13"":11,""20"":12}",21600,10800
4,4,"{""5"":1,""4"":2,""20"":3,""19"":6,""18"":7,""17"":8,""16"":9,""15"":10,""14"":11,""13"":12}",28800,12600
5,5,"{""1"":6,""2"":5,""3"":4,""7"":19,""8"":18,""9"":17,""10"":16,""11"":15,""12"":14,""13"":20}",30600,14400
6,6,"{""1"":7,""2"":6,""3"":5,""4"":20,""8"":19,""9"":18,""10"":17,""11"":16,""12"":15,""13"":14}",32400,57600
7,7,"{""8"":1,""7"":2,""6"":3,""5"":4,""19"":9,""18"":10,""17"":11,""16"":12,""15"":13,""20"":14}",34200,64800
8,8,"{""9"":1,""8"":2,""7"":3,""6"":4,""20"":5,""19"":10,""18"":11,""17"":12,""16"":13,""15"":14}",36000,72000
9,9,"{""1"":10,""2"":9,""3"":8,""4"":7,""5"":6,""11"":19,""12"":18,""13"":17,""14"":16,""15"":20}",79200,79200
10,10,"{""1"":11,""2"":10,""3"":9,""4"":8,""5"":7,""6"":20,""12"":19,""13"":18,""14"":17,""15"":16}",86400,86400
11,11,"{""12"":1,""11"":2,""10"":3,""9"":4,""8"":5,""7"":6,""19"":13,""18"":14,""17"":15,""20"":16}",93600,93600
12,12,"{""13"":1,""12"":2,""11"":3,""10"":4,""9"":5,""8"":6,""20"":7,""19"":14,""18"":15,""17"":16}",100800,95400
13,13,"{""1"":14,""2"":13,""3"":12,""4"":11,""5"":10,""6"":9,""7"":8,""15"":19,""16"":18,""17"":20}",108000,97200
14,14,"{""1"":15,""2"":14,""3"":13,""4"":12,""5"":11,""6"":10,""7"":9,""8"":20,""16"":19,""17"":18}",115200,99000
15,15,"{""16"":1,""15"":2,""14"":3,""13"":4,""12"":5,""11"":6,""10"":7,""9"":8,""19"":17,""20"":18}",117000,100800
16,16,"{""17"":1,""16"":2,""15"":3,""14"":4,""13"":5,""12"":6,""11"":7,""10"":8,""20"":9,""19"":18}",118800,144000
17,17,"{""1"":18,""2"":17,""3"":16,""4"":15,""5"":14,""6"":13,""7"":12,""8"":11,""9"":10,""19"":20}",120600,151200
18,18,"{""1"":19,""2"":18,""3"":17,""4"":16,""5"":15,""6"":14,""7"":13,""8"":12,""9"":11,""10"":20}",122400,158400
19,19,"{""20"":1,""19"":2,""18"":3,""17"":4,""16"":5,""15"":6,""14"":7,""13"":8,""12"":9,""11"":10}",165600,165600
20,20,"{""2"":1,""19"":3,""18"":4,""17"":5,""16"":6,""15"":7,""14"":8,""13"":9,""12"":10,""20"":11}",172800,172800
21,21,"{""3"":1,""20"":2,""19"":4,""18"":5,""17"":6,""16"":7,""15"":8,""14"":9,""13"":10,""12"":11}",180000,180000
22,22,"{""1"":4,""2"":3,""5"":19,""6"":18,""7"":17,""8"":16,""9"":15,""10"":14,""11"":13,""12"":20}",187200,181800
23,23,"{""1"":5,""2"":4,""3"":20,""6"":19,""7"":18,""8"":17,""9"":16,""10"":15,""11"":14,""12"":13}",194400,183600
24,24,"{""6"":1,""5"":2,""4"":3,""19"":7,""18"":8,""17"":9,""16"":10,""15"":11,""14"":12,""20"":13}",201600,185400
25,25,"{""7"":1,""6"":2,""5"":3,""20"":4,""19"":8,""18"":9,""17"":10,""16"":11,""15"":12,""14"":13}",203400,187200
26,26,"{""1"":8,""2"":7,""3"":6,""4"":5,""9"":19,""10"":18,""11"":17,""12"":16,""13"":15,""14"":20}",205200,230400
27,27,"{""1"":9,""2"":8,""3"":7,""4"":6,""5"":20,""10"":19,""11"":18,""12"":17,""13"":16,""14"":15}",207000,237600
28,28,"{""10"":1,""9"":2,""8"":3,""7"":4,""6"":5,""19"":11,""18"":12,""17"":13,""16"":14,""20"":15}",208800,244800
29,29,"{""11"":1,""10"":2,""9"":3,""8"":4,""7"":5,""20"":6,""19"":12,""18"":13,""17"":14,""16"":15}",252000,252000
30,30,"{""1"":12,""2"":11,""3"":10,""4"":9,""5"":8,""6"":7,""13"":19,""14"":18,""15"":17,""16"":20}",259200,259200
31,31,"{""1"":13,""2"":12,""3"":11,""4"":10,""5"":9,""6"":8,""7"":20,""14"":19,""15"":18,""16"":17}",266400,266400
32,32,"{""14"":1,""13"":2,""12"":3,""11"":4,""10"":5,""9"":6,""8"":7,""19"":15,""18"":16,""20"":17}",273600,268200
33,33,"{""15"":1,""14"":2,""13"":3,""12"":4,""11"":5,""10"":6,""9"":7,""20"":8,""19"":16,""18"":17}",280800,270000
34,34,"{""1"":16,""2"":15,""3"":14,""4"":13,""5"":12,""6"":11,""7"":10,""8"":9,""17"":19,""18"":20}",288000,271800
35,35,"{""1"":17,""2"":16,""3"":15,""4"":14,""5"":13,""6"":12,""7"":11,""8"":10,""9"":20,""18"":19}",289800,273600
36,36,"{""18"":1,""17"":2,""16"":3,""15"":4,""14"":5,""13"":6,""12"":7,""11"":8,""10"":9,""20"":19}",291600,316800
37,37,"{""19"":1,""18"":2,""17"":3,""16"":4,""15"":5,""14"":6,""13"":7,""12"":8,""11"":9,""20"":10}",293400,324000
38,38,"{""1"":20,""2"":19,""3"":18,""4"":17,""5"":16,""6"":15,""7"":14,""8"":13,""9"":12,""10"":11}",295200,331200
