Id,Level,Rank,Reward
1,1,1,1:2:50000|2:200104:20|3:104010:1
2,1,2,1:2:35000|2:200104:15
3,1,3,1:2:30000|2:200104:11
4,1,4,1:2:25000|2:200104:8
5,1,5,1:2:20000|2:200104:5
6,1,6,1:2:18000|2:200104:3
7,1,7,1:2:16000|2:200104:3
8,1,8,1:2:14000|2:200104:3
9,1,9,1:2:12000|2:200104:3
10,1,10,1:2:10000|2:200104:3
11,1,11,1:2:5000|2:200104:1
12,1,12,1:2:5000|2:200104:1
13,1,13,1:2:5000|2:200104:1
14,1,14,1:2:5000|2:200104:1
15,1,15,1:2:5000|2:200104:1
16,1,16,1:2:2500
17,1,17,1:2:2500
18,1,18,1:2:2500
19,1,19,1:2:2500
20,1,20,1:2:2500
21,2,1,1:2:75000|2:200104:20|3:104010:1
22,2,2,1:2:52500|2:200104:15
23,2,3,1:2:45000|2:200104:11
24,2,4,1:2:37500|2:200104:8
25,2,5,1:2:30000|2:200104:5
26,2,6,1:2:27000|2:200104:3
27,2,7,1:2:24000|2:200104:3
28,2,8,1:2:21000|2:200104:3
29,2,9,1:2:18000|2:200104:3
30,2,10,1:2:15000|2:200104:3
31,2,11,1:2:7500|2:200104:1
32,2,12,1:2:7500|2:200104:1
33,2,13,1:2:7500|2:200104:1
34,2,14,1:2:7500|2:200104:1
35,2,15,1:2:7500|2:200104:1
36,2,16,1:2:3500
37,2,17,1:2:3500
38,2,18,1:2:3500
39,2,19,1:2:3500
40,2,20,1:2:3500
41,3,1,1:2:100000|2:200104:20|3:104010:1
42,3,2,1:2:70000|2:200104:15
43,3,3,1:2:60000|2:200104:11
44,3,4,1:2:50000|2:200104:8
45,3,5,1:2:40000|2:200104:5
46,3,6,1:2:36000|2:200104:3
47,3,7,1:2:32000|2:200104:3
48,3,8,1:2:28000|2:200104:3
49,3,9,1:2:24000|2:200104:3
50,3,10,1:2:20000|2:200104:3
51,3,11,1:2:10000|2:200104:1
52,3,12,1:2:10000|2:200104:1
53,3,13,1:2:10000|2:200104:1
54,3,14,1:2:10000|2:200104:1
55,3,15,1:2:10000|2:200104:1
56,3,16,1:2:5000
57,3,17,1:2:5000
58,3,18,1:2:5000
59,3,19,1:2:5000
60,3,20,1:2:5000
61,4,1,1:2:125000|2:200104:20|3:104010:1
62,4,2,1:2:87500|2:200104:15
63,4,3,1:2:75000|2:200104:11
64,4,4,1:2:62500|2:200104:8
65,4,5,1:2:50000|2:200104:5
66,4,6,1:2:45000|2:200104:3
67,4,7,1:2:40000|2:200104:3
68,4,8,1:2:35000|2:200104:3
69,4,9,1:2:30000|2:200104:3
70,4,10,1:2:25000|2:200104:3
71,4,11,1:2:12500|2:200104:1
72,4,12,1:2:12500|2:200104:1
73,4,13,1:2:12500|2:200104:1
74,4,14,1:2:12500|2:200104:1
75,4,15,1:2:12500|2:200104:1
76,4,16,1:2:6250
77,4,17,1:2:6250
78,4,18,1:2:6250
79,4,19,1:2:6250
80,4,20,1:2:6250
81,5,1,1:2:150000|2:200104:20|3:104010:1
82,5,2,1:2:105000|2:200104:15
83,5,3,1:2:90000|2:200104:11
84,5,4,1:2:75000|2:200104:8
85,5,5,1:2:60000|2:200104:5
86,5,6,1:2:54000|2:200104:3
87,5,7,1:2:48000|2:200104:3
88,5,8,1:2:42000|2:200104:3
89,5,9,1:2:36000|2:200104:3
90,5,10,1:2:30000|2:200104:3
91,5,11,1:2:15000|2:200104:1
92,5,12,1:2:15000|2:200104:1
93,5,13,1:2:15000|2:200104:1
94,5,14,1:2:15000|2:200104:1
95,5,15,1:2:15000|2:200104:1
