Id,Name,Icon,Forcego,Desc,Conversation,RewardsPreview,Pic
1000,主场,module_1000,0,,0,,
1100,经典赛,module_1100,0,,0,,
1101,经典赛三星宝箱,module_1101,0,,0,,
1102,经典赛关卡,module_1102,0,,0,,
1200,剧情赛,module_1200,1,通关剧情赛可以获得大量<color=#EA8519>球员碎片</color>。,9001,2:501001:1|2:400201:1|1:4:1,module_1200
1300,排位赛,module_1300,1,排位赛可以获得大量<color=#EA8519>竞技币</color>，并且兑换包括<color=#EA8519>橙色球员</color>在内的各种珍贵道具。,10001,,
1301,排位赛,module_1301,0,,0,,
1302,排位赛,module_1302,0,,0,,
1303,排位赛,module_1303,0,,0,,
1304,排位赛,module_1304,0,,0,,
1305,排位赛,module_1305,0,,0,,
1400,赛事（PVP）,module_1400,1,与<color=#EA8519>跨服玩家</color>一起参与赛事竞技，赢得<color=#EA8519>橙色球员</color>效力。,11001,,
1401,联赛,module_1401,0,,0,,
1402,杯赛,module_1402,0,,0,,
1500,球员训练,module_1500,1,,8001,,
1501,强化训练,module_1501,0,,0,,
1502,超能训练,module_1502,0,,0,,
1503,邀请赛,module_1503,0,,0,,
1600,特技,module_1600,0,,0,,
1700,任务,module_1700,1,完成日常任务可以获得<color=#EA8519>钻石、球探契约</color>等等珍贵道具。,6001,,
1701,日常任务,module_1701,0,,0,,
1702,周常任务,module_1702,0,,0,,
1703,悬赏任务,module_1703,1,完成悬赏任务可以获得<color=#EA8519>战术升级卡</color>，在布阵界面中升级各种战术。,7001,,
1800,小游戏,module_1800,0,,0,,
1801,投篮大赛,module_1801,0,,0,,module_1801
1802,教练训话,module_1802,0,,0,1:6:1|1:6:1|1:6:1,module_1802
1803,翻牌玩法,module_1803,0,,0,,
1900,藏品,module_1900,0,,0,,
2000,生涯,module_2000,0,,0,,
2100,球员养成,module_2100,0,,0,,
2101,升级,module_2101,0,,0,,
2102,装备,module_2102,0,,0,,
2103,升星,module_2103,0,,0,,
2200,招募,module_2200,0,,0,,
2300,活动,module_2300,0,,0,,
2301,每日登录/30日签到,module_2301,0,,0,,
2302,月卡,module_2302,0,,0,,
2303,新手目标,module_2303,0,,0,,
2304,七日签到,module_2304,0,,0,,
2305,首充,module_2305,0,,0,,
2400,成就,module_2400,0,,0,,
2401,荣誉,module_2401,0,,0,,
2500,背包,module_2500,0,,0,,
2501,碎片回收,module_2501,0,,0,,
2600,布阵,module_2600,0,,0,,
2601,战术,module_2601,0,,0,,
2700,商城,module_2700,0,,0,,
2701,钻石商城,module_2701,0,,0,,
2702,训练商城,module_2702,0,,0,,
2703,礼包商城,module_2703,0,,0,,
2704,球探商城,module_2704,0,,0,,
2800,活动,module_2800,0,,0,,
2801,活动主面板,module_2801,0,,0,,
2802,条件礼包,module_2802,0,,0,,
2803,7日签到,module_2803,0,,0,,
2804,30日签到,module_2804,0,,0,,
2805,新手目标,module_2805,0,,0,,
2806,节日活动,module_2806,0,,0,,
2900,篮球殿堂,module_2900,1,,0,2:400151:1|2:400152:1|2:400153:1|2:400154:1,module_2900
3001,百分大战,module_3001,1,全新1v1模式<color=#EA8519>跨服玩家</color>一起参与赛事竞技，赢得<color=#EA8519>橙色球员</color>效力。,0,,
3002,福利,module_3002,0,,0,,
3003,首充,module_3003,0,,0,,
3004,每日充值,module_3004,0,,0,,
3005,战令,module_3005,0,,0,,
3006,排行榜,module_3006,0,,0,,
3007,邮箱,module_3007,0,,0,,
3008,公告,module_3008,0,,0,,
3009,圣诞活动,module_3009,0,,0,,
3010,元旦活动,module_3010,0,,0,,
3011,跨年签到,module_3011,0,,0,,
3012,春节活动,module_3012,0,,0,,
3013,春节签到,module_3013,0,,0,,
3014,全明星,module_3014,0,,0,,
3015,旅行棋盘,module_3015,0,,0,,
3016,总决赛竞猜,module_3016,0,,0,,
3017,总决赛竞猜,module_3017,0,,0,,
3018,奥运祈愿,module_3018,0,,0,,
