Id,Content,Content30,Content28,Content29,Type
1,2:400202:2,2:400202:2,1:2:1000,2:400202:2,1
2,1:2:1000,1:2:1000,2:400201:2,1:2:1000,1
3,2:400201:2,2:400201:2,2:200107:5,2:400201:2,1
4,2:200107:5,2:200107:5,2:200211:1,2:200107:5,1
5,2:200211:1,2:200211:1,2:400103:10,2:200211:1,1
6,2:400103:10,2:400103:10,1:1:100,2:400103:10,1
7,1:1:100,1:1:100,2:400202:2,1:1:100,1
8,2:400202:2,2:400202:2,2:400201:2,2:400202:2,1
9,2:400201:2,2:400201:2,2:200107:5,2:400201:2,1
10,2:200107:5,2:200107:5,1:2:1000,2:200107:5,1
11,1:2:1000,1:2:1000,2:200211:1,1:2:1000,1
12,2:200211:1,2:200211:1,2:400103:10,2:200211:1,1
13,2:400103:10,2:400103:10,1:1:100,2:400103:10,1
14,1:1:100,1:1:100,2:400204:1,1:1:100,1
15,2:400204:1,2:400204:1,2:200107:5,2:400204:1,1
16,2:200107:5,2:200107:5,2:400201:2,2:200107:5,1
17,2:400201:2,2:400201:2,1:2:1000,2:400201:2,1
18,1:2:1000,1:2:1000,2:200107:5,1:2:1000,1
19,2:200107:5,2:200107:5,2:200211:1,2:200107:5,1
20,2:200211:1,2:200211:1,2:400202:2,2:200211:1,1
21,2:400202:2,2:400202:2,2:400103:10,2:400202:2,1
22,2:400103:10,2:400103:10,1:1:100,2:400103:10,1
23,1:1:100,1:1:100,2:200107:5,1:1:100,1
24,2:200107:5,2:200107:5,1:2:1000,2:200107:5,1
25,1:2:1000,1:2:1000,2:400201:2,1:2:1000,1
26,2:400201:2,2:400201:2,2:200107:5,2:400201:2,1
27,2:200107:5,2:200107:5,2:400103:10,2:200107:5,1
28,2:400204:1,2:400204:1,2:200211:1,2:400103:10,1
29,2:400202:2,2:400103:10,,2:200211:1,1
30,2:400103:10,2:200211:1,,,1
31,2:200211:1,,,,1
