Id,Day,Type,Name,TriggerId,Target,Way,Reward,ModuleId
1001,1,2,通关经典赛-印度,10005,1010610,5,2:400201:1,1100
1002,1,2,通关经典赛-埃及,10005,1020510,5,2:400201:1,1100
1003,1,2,通关经典赛-印第安纳州,10005,1030110,5,2:400201:1,1100
1004,2,2,累计球星招募十连抽1次,10020,1,20,2:400201:1,2200
1005,2,2,累计球星招募十连抽3次,10020,3,20,2:400201:1,2200
1006,2,2,累计球星招募十连抽5次,10020,5,20,2:400201:1,2200
1007,3,2,球员升星1次,20022,1,21,2:400201:1,2103
1008,3,2,球员升星5次,20022,5,21,2:400201:1,2103
1009,3,2,球员升星10次,20022,10,21,2:400201:1,2103
1010,4,2,训练最高等级达到100级,10018,100,16,2:400201:1,1500
1011,4,2,训练最高等级达到500级,10018,500,16,2:400201:1,1500
1012,4,2,训练最高等级达到1200级,10018,1200,16,2:400201:1,1500
1013,5,2,球员升品1次,20027,1,21,2:400201:1,2103
1014,5,2,球员升品5次,20027,5,21,2:400201:1,2103
1015,5,2,球员升品9次,20027,9,21,2:400201:1,2103
1016,6,2,累计获得5场联赛胜利,20023,5,4,2:400201:1,1400
1017,6,2,累计获得15场联赛胜利,20023,15,4,2:400201:1,1400
1018,6,2,累计获得30场联赛胜利,20023,30,4,2:400201:1,1400
1019,7,2,拥有2星橙色球员,10019,1,21,2:400201:1,2200
1020,7,2,累计超能训练20次,20015,20,18,2:400201:1,1502
1021,7,2,通关经典赛-加拿大,10005,1030810,5,2:400201:1,1100
1022,0,3,完成20个新手目标,0,20,0,3:104003:1,0
