Id,Pool,Option,Rewards,Desc
1001,1,10,2:400201:2,球探招募都达到{s1}/10次
1002,1,50,2:400105:10,球探招募都达到{s1}/50次
1003,1,100,2:400201:2,球探招募都达到{s1}/100次
1004,1,150,2:400104:10,球探招募都达到{s1}/150次
1005,1,200,2:400201:2,球探招募都达到{s1}/200次
1006,1,300,2:400103:10,球探招募都达到{s1}/300次
2001,2,10,2:200231:10,限时抽卡都达到{s1}/10次
2002,2,30,2:400210:10,限时抽卡都达到{s1}/30次
2003,2,70,2:400210:10,限时抽卡都达到{s1}/70次
2004,2,120,2:400210:10,限时抽卡都达到{s1}/120次
2005,2,170,2:400210:10,限时抽卡都达到{s1}/170次
2006,2,220,2:400210:10,限时抽卡都达到{s1}/220次
2007,2,270,2:400210:10,限时抽卡都达到{s1}/270次
2008,2,330,3:104004:1,限时抽卡都达到{s1}/330次
2009,2,380,3:104004:1,限时抽卡都达到{s1}/380次
3001,3,10,2:200231:10,限时抽卡都达到{s1}/10次
3002,3,30,2:400210:10,限时抽卡都达到{s1}/30次
3003,3,70,2:400210:10,限时抽卡都达到{s1}/70次
3004,3,120,2:400210:10,限时抽卡都达到{s1}/120次
3005,3,170,2:400210:10,限时抽卡都达到{s1}/170次
3006,3,220,2:400210:10,限时抽卡都达到{s1}/220次
3007,3,270,2:400210:10,限时抽卡都达到{s1}/270次
3008,3,330,3:104006:1,限时抽卡都达到{s1}/330次
3009,3,380,3:104006:1,限时抽卡都达到{s1}/380次
4001,4,10,2:200231:10,限时抽卡都达到{s1}/10次
4002,4,30,2:400210:10,限时抽卡都达到{s1}/30次
4003,4,70,2:400210:10,限时抽卡都达到{s1}/70次
4004,4,120,2:400210:10,限时抽卡都达到{s1}/120次
4005,4,170,2:400210:10,限时抽卡都达到{s1}/170次
4006,4,220,2:400210:10,限时抽卡都达到{s1}/220次
4007,4,270,2:400210:10,限时抽卡都达到{s1}/270次
4008,4,330,3:104007:1,限时抽卡都达到{s1}/330次
4009,4,380,3:104007:1,限时抽卡都达到{s1}/380次
5001,5,10,2:200231:10,限时抽卡都达到{s1}/10次
5002,5,30,2:400210:10,限时抽卡都达到{s1}/30次
5003,5,70,2:400210:10,限时抽卡都达到{s1}/70次
5004,5,120,2:400210:10,限时抽卡都达到{s1}/120次
5005,5,170,2:400210:10,限时抽卡都达到{s1}/170次
5006,5,220,2:400210:10,限时抽卡都达到{s1}/220次
5007,5,270,2:400210:10,限时抽卡都达到{s1}/270次
5008,5,330,3:104008:1,限时抽卡都达到{s1}/330次
5009,5,380,3:104008:1,限时抽卡都达到{s1}/380次
6001,6,10,2:200231:10,限时抽卡都达到{s1}/10次
6002,6,30,2:400210:10,限时抽卡都达到{s1}/30次
6003,6,70,2:400210:10,限时抽卡都达到{s1}/70次
6004,6,120,2:400210:10,限时抽卡都达到{s1}/120次
6005,6,170,2:400210:10,限时抽卡都达到{s1}/170次
6006,6,220,2:400210:10,限时抽卡都达到{s1}/220次
6007,6,270,2:400210:10,限时抽卡都达到{s1}/270次
6008,6,330,3:104013:1,限时抽卡都达到{s1}/330次
6009,6,380,3:104013:1,限时抽卡都达到{s1}/380次
7001,7,10,2:200231:10,限时抽卡都达到{s1}/10次
7002,7,30,2:400210:10,限时抽卡都达到{s1}/30次
7003,7,70,2:400210:10,限时抽卡都达到{s1}/70次
7004,7,120,2:400210:10,限时抽卡都达到{s1}/120次
7005,7,170,2:400210:10,限时抽卡都达到{s1}/170次
7006,7,220,2:400210:10,限时抽卡都达到{s1}/220次
7007,7,270,2:400210:10,限时抽卡都达到{s1}/270次
