Id,Quality,TargetStar,CostMoney,CostGoods,CostGoods1,CostSelf
1001,1,1,500,"{""400105"":5}",3:400105:5,0
1002,1,2,1000,"{""400105"":10}",3:400105:10,0
1003,1,3,1500,"{""400105"":10}",3:400105:10,0
1004,1,4,2000,"{""400105"":10}",3:400105:10,0
1005,1,5,2500,"{""400105"":10}",3:400105:10,0
2001,2,1,1000,"{""400104"":10}",3:400104:10,0
2002,2,2,2000,"{""400104"":20}",3:400104:20,0
2003,2,3,3000,"{""400104"":20}",3:400104:20,0
2004,2,4,4000,"{""400104"":20}",3:400104:20,0
2005,2,5,5000,"{""400104"":20}",3:400104:20,0
3001,3,1,2000,"{""400103"":30}",3:400103:30,0
3002,3,2,4000,"{""400103"":30}",3:400103:30,30
3003,3,3,6000,"{""400103"":60}",3:400103:60,0
3004,3,4,8000,"{""400103"":30}",3:400103:30,30
3005,3,5,10000,"{""400103"":60}",3:400103:60,60
4001,4,1,4000,"{""400102"":30}",3:400102:30,0
4002,4,2,8000,"{""400102"":30}",3:400102:30,30
4003,4,3,12000,"{""400102"":30}",3:400102:30,0
4004,4,4,16000,"{""400102"":30}",3:400102:30,40
4005,4,5,20000,"{""400102"":30}",3:400102:30,0
4006,4,6,8000,"{""400102"":30}",3:400102:30,50
4007,4,7,16000,"{""400102"":30}",3:400102:30,0
4008,4,8,24000,"{""400102"":30}",3:400102:30,50
4009,4,9,32000,"{""400102"":30}",3:400102:30,0
4010,4,10,40000,"{""400102"":30}",3:400102:30,50
5001,5,1,16000,"{""400101"":50}",3:400101:30,0
5002,5,2,32000,"{""400101"":50}",3:400101:30,50
5003,5,3,48000,"{""400101"":50}",3:400101:30,0
5004,5,4,64000,"{""400101"":50}",3:400101:30,50
5005,5,5,80000,"{""400101"":50}",3:400101:30,0
5006,5,6,96000,"{""400101"":50}",3:400101:50,50
5007,5,7,112000,"{""400101"":50}",3:400101:50,50
5008,5,8,128000,"{""400101"":50}",3:400101:50,50
5009,5,9,144000,"{""400101"":50}",3:400101:50,50
5010,5,10,160000,"{""400101"":50}",3:400101:50,80
