Id,Name,Quality,Type,Icon,Desc,UnlockConditions,UnlockMoney,BuffType,BuffValue,EffectaddValue,TrainTime
1,急停跳投,3,1,1,投篮命中率提升。,{"6":100},10000,1,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
2,后撤步,3,1,2,摆脱防守成功率提升。,{"5":200},10000,4,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
3,长传球,3,1,3,传球成功率提升。,{"2":500},10000,2,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
4,篮板精英,3,2,4,篮板成功率提升。,{"9":700},10000,7,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
5,小动作,3,2,5,防守成功率提升。,"{""1"":500,""10"":800}",10000,6,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
6,擦板投篮,3,1,6,投篮命中率提升。,{"6":1000},10000,1,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
7,变向运球,3,1,7,突破成功率提升。,{"8":1300},10000,3,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
8,防守悍将,3,2,8,防守成功率提升。,"{""3"":1100,""10"":1500}",10000,6,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
9,屏障,4,2,9,高阶特技，防守成功率大幅提升。,{"4":1500},50000,6,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
10,天勾,4,1,10,高阶特技，投篮命中率大幅提升。,"{""6"":2100,""5"":1800}",50000,1,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
11,声东击西,3,1,11,传球成功率提升。,{"2":3300},10000,2,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
12,飞身切球,3,2,12,抢断成功率提升。,"{""7"":3000,""4"":2000}",10000,5,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
13,禁区卡位,4,2,13,高阶特技，篮板成功率大幅提升。,"{""9"":3800,""1"":2100}",50000,7,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
14,无球跑位,3,1,14,摆脱防守成功率提升。,{"5":3250},10000,4,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
15,拜佛运球,4,1,15,高阶特技，突破成功率大幅提升。,{"8":4400},50000,3,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
16,苍蝇拍,4,2,16,高阶特技，盖帽成功率大幅提升。,{"3":3300},50000,8,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
17,超级恢复,4,3,17,高阶特技，受伤后恢复时间大幅降低。,{"10":6000},50000,9,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
18,百步穿杨,4,1,18,高阶特技，投篮命中率大幅提升。,"{""6"":5000,""2"":6500}",50000,1,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
19,击地传球,3,1,19,传球成功率提升。,{"2":7600},10000,2,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
20,球手一体,3,2,20,抢断成功率提升。,"{""7"":6450,""1"":4000}",10000,5,"[50,60,70,80,90,100,110,120,130,140]","[5,6,7,8,9,10,11,12,13,14]",86400
21,篮板王,4,2,21,高阶特技，篮板成功率大幅提升。,{"9":7800},50000,7,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
22,梦幻脚步,4,1,22,高阶特技，摆脱防守成功率大幅提升。,"{""5"":6500,""4"":5600}",50000,4,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
23,欧洲步,4,1,23,高阶特技，突破成功率大幅提升。,{"8":8500},50000,3,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
24,滑步防守,4,2,24,高阶特技，防守成功率大幅提升。,{"1":5600},50000,6,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
25,空中接力,4,1,25,高阶特技，传球成功率大幅提升。,{"2":11500},50000,2,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
26,盯人防守,4,2,26,高阶特技，防守成功率大幅提升。,{"3":7200},50000,6,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
27,靠打转身,4,1,27,高阶特技，摆脱防守成功率大幅提升。,{"4":8400},50000,4,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
28,猴子偷桃,4,2,28,高阶特技，抢断成功率大幅提升。,"{""10"":13500,""1"":5000}",50000,5,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
29,金鸡独立,4,1,29,高阶特技，投篮命中率大幅提升。,{"6":11200},50000,1,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
30,交叉步,4,1,30,高阶特技，突破成功率大幅提升。,{"8":13600},50000,3,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
31,传球预判,4,2,31,高阶特技，抢断成功率大幅提升。,{"7":13500},50000,5,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
32,换手上篮,4,1,32,高阶特技，摆脱防守成功率大幅提升。,"{""5"":12400,""4"":10000}",50000,4,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
33,背后传球,4,1,33,高阶特技，传球成功率大幅提升。,{"2":19000},50000,2,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
