Id,Quality,TargetLevel,CostMoney,CostGoods
3002,3,2,1000,"{""400253"":1}"
3003,3,3,2000,"{""400253"":2}"
3004,3,4,3000,"{""400253"":3}"
3005,3,5,4000,"{""400253"":4}"
3006,3,6,5000,"{""400253"":5}"
3007,3,7,6000,"{""400253"":6}"
3008,3,8,7000,"{""400253"":7}"
3009,3,9,8000,"{""400253"":8}"
3010,3,10,9000,"{""400253"":9}"
4002,4,2,10000,"{""400252"":1}"
4003,4,3,20000,"{""400252"":2}"
4004,4,4,30000,"{""400252"":3}"
4005,4,5,40000,"{""400252"":4}"
4006,4,6,50000,"{""400252"":5}"
4007,4,7,60000,"{""400252"":6}"
4008,4,8,70000,"{""400252"":7}"
4009,4,9,80000,"{""400252"":8}"
4010,4,10,90000,"{""400252"":9}"
5002,5,2,100000,"{""400251"":1}"
5003,5,3,200000,"{""400251"":2}"
5004,5,4,300000,"{""400251"":3}"
5005,5,5,400000,"{""400251"":4}"
5006,5,6,500000,"{""400251"":5}"
5007,5,7,600000,"{""400251"":6}"
5008,5,8,700000,"{""400251"":7}"
5009,5,9,800000,"{""400251"":8}"
5010,5,10,900000,"{""400251"":9}"
