Id,CostNum,CostUnit,BuffType,BuffValue,BuffValueShow
10001,10.0,0,1,3.0,3
10002,500.0,0,2,2.0,2
10003,999.0,0,1,2.0,2
10004,3.0,1,301,0.5,50%
10005,10.0,1,3,3.0,3
10006,50.0,1,4,3.0,3
10007,380.0,1,2,3.0,3
10008,650.0,1,1,3.0,3
10009,2.0,2,302,0.75,75%
10010,10.0,2,5,3.0,3
10011,25.0,2,6,3.0,3
10012,60.0,2,302,0.75,75%
10013,90.0,2,7,3.0,3
10014,100.0,2,3,3.0,3
10015,200.0,2,4,3.0,3
10016,300.0,2,5,3.0,3
10017,400.0,2,6,3.0,3
10018,500.0,2,7,3.0,3
10019,2.0,3,8,3.0,3
10020,20.0,3,9,3.0,3
10021,200.0,3,10,3.0,3
10022,500.0,3,8,3.0,3
10023,700.0,3,9,3.0,3
10024,878.0,3,8,2.0,2
10025,900.0,3,10,3.0,3
10026,1.0,4,0,3.0,3
10027,4.5,4,310,0.10000000149011612,10%
10028,20.0,4,2,3.0,3
10029,50.0,4,1,3.0,3
10030,100.0,4,3,3.0,3
10031,103.0,4,0,2.0,2
10032,450.0,4,309,0.10000000149011612,10%
10033,500.0,4,4,3.0,3
10034,1.0,5,5,3.0,3
10035,2.0,5,6,3.0,3
10036,5.0,5,7,3.0,3
10037,7.0,5,8,3.0,3
10038,10.0,5,9,3.0,3
10039,17.0,5,1,2.0,2
10040,20.0,5,10,3.0,3
10041,45.0,5,308,0.10000000149011612,10%
10042,50.0,5,0,3.0,3
10043,100.0,5,100,0.009999999776482582,1%
10044,2.0,6,2,3.0,3
10045,4.5,6,0,3.0,3
10046,4.5,6,307,0.10000000149011612,10%
10047,5.0,6,1,3.0,3
10048,7.0,6,3,3.0,3
10049,10.0,6,4,3.0,3
10050,20.0,6,5,3.0,3
10051,25.0,6,0,2.0,2
10052,35.0,6,6,3.0,3
10053,50.0,6,7,3.0,3
10054,75.0,6,8,3.0,3
10055,100.0,6,9,3.0,3
10056,200.0,6,10,3.0,3
10057,450.0,6,100,0.019999999552965164,2%
10058,450.0,6,306,0.10000000149011612,10%
10059,500.0,6,0,3.0,3
10060,1.0,7,100,0.009999999776482582,1%
10061,25.0,7,2,3.0,3
10062,45.0,7,305,0.10000000149011612,10%
10063,50.0,7,1,3.0,3
10064,100.0,7,3,3.0,3
10065,200.0,7,4,3.0,3
10066,300.0,7,5,3.0,3
10067,400.0,7,6,3.0,3
10068,500.0,7,7,3.0,3
10069,600.0,7,8,3.0,3
10070,643.0,7,2,2.0,2
10071,700.0,7,9,3.0,3
10072,800.0,7,10,3.0,3
10073,900.0,7,0,3.0,3
10074,4.5,8,304,0.10000000149011612,10%
10075,10.0,8,100,0.019999999552965164,2%
10076,20.0,8,301,0.7527999877929688,75.28%
10077,20.0,8,303,0.7300000190734863,73%
10078,20.0,8,304,0.7053999900817871,70.54%
10079,20.0,8,305,0.6779999732971191,67.8%
10080,450.0,8,100,0.019999999552965164,2%
10081,450.0,8,303,0.10000000149011612,10%
10082,999.0,8,0,5.0,5
10083,1.0,9,2,7.0,7
10084,2.799999952316284,9,301,0.9990800023078918,99.908%
10085,2.799999952316284,9,303,0.9985700249671936,99.857%
10086,2.799999952316284,9,304,0.9977800250053406,99.778%
10087,2.799999952316284,9,305,0.9965400099754333,99.654%
10088,5.0,9,1,3.5,3.5
10089,25.0,9,3,7.0,7
10090,44.400001525878906,9,0,2.5,2.5
10091,45.0,9,301,0.10000000149011612,10%
10092,45.0,9,302,0.10000000149011612,10%
10093,78.0,9,7,2.0,2
10094,100.0,9,4,7.0,7
10095,250.0,9,5,7.0,7
10096,500.0,9,6,7.0,7
10097,1.0,10,7,7.0,7
10098,5.0,10,8,7.0,7
10099,25.0,10,9,7.0,7
10100,28.0,10,0,2.0,2
10101,28.0,10,301,0.9990800023078918,99.908%
10102,28.0,10,303,0.9985700249671936,99.857%
10103,28.0,10,304,0.9977800250053406,99.778%
10104,50.0,10,305,0.9965400099754333,99.654%
10105,423.0,10,4,2.0,2
10106,444.0,10,0,3.0,3
10107,1.0,11,10,7.0,7
10108,10.0,11,0,2.0,2
10109,45.0,11,0,6.0,6
10110,99.0,11,1,5.0,5
10111,450.0,11,2,5.0,5
10112,1.0,12,3,5.0,5
10113,2.0,12,4,5.0,5
10114,3.0,12,5,5.0,5
10115,4.0,12,6,5.0,5
10116,5.0,12,7,5.0,5
10117,9.0,12,0,2.0,2
10118,50.0,12,8,5.0,5
10119,300.0,12,9,5.0,5
10120,999.0,12,10,5.0,5
10121,2.799999952316284,13,1,3.0,3
10122,25.0,13,3,3.0,3
10123,180.0,13,4,3.0,3
10124,1.0,14,0,7.0,7
10125,1.0,14,5,3.0,3
10126,4.0,14,6,3.0,3
10127,5.0,14,1,1.5,1.5
10128,9.0,14,0,4.0,4
10129,25.0,14,3,1.5,1.5
10130,28.0,14,7,1.5,1.5
10131,50.0,14,4,1.5,1.5
10132,100.0,14,5,1.5,1.5
10133,250.0,14,6,1.5,1.5
10134,250.0,14,8,1.5,1.5
10135,500.0,14,7,3.0,3
10136,1.0,15,8,3.0,3
10137,1.7999999523162842,15,9,1.5,1.5
10138,5.0,15,9,3.0,3
10139,7.0,15,10,1.5,1.5
10140,10.0,15,10,3.0,3
10141,25.0,15,2,1.5,1.5
10142,100.0,15,0,3.0,3
10143,250.0,15,1,1.5,1.5
10144,500.0,15,3,3.0,3
10145,750.0,15,4,3.0,3
10146,1.0,16,5,3.0,3
10147,5.0,16,6,3.0,3
10148,9.0,16,0,2.0,2
10149,15.0,16,7,3.0,3
10150,50.0,16,8,3.0,3
10151,100.0,16,9,3.0,3
10152,250.0,16,10,3.0,3
10153,1.0,17,0,7.0,7
10154,9.0,17,0,4.0,4
10155,45.0,17,0,2.0,2
10156,1.0,18,0,5.0,5
10157,4.5,18,301,0.999970018863678,99.997%
10158,4.5,18,303,0.9999499917030334,99.995%
10159,4.5,18,304,0.9998999834060669,99.99%
10160,4.5,18,305,0.9998000264167786,99.98%
10161,4.5,18,306,0.9995999932289124,99.96%
10162,450.0,18,301,0.999970018863678,99.997%
10163,450.0,18,303,0.9999499917030334,99.995%
10164,450.0,18,304,0.9998999834060669,99.99%
10165,450.0,18,305,0.9998000264167786,99.98%
10166,450.0,18,306,0.9995999932289124,99.96%
10167,9.0,19,0,2.0,2
10168,1.0,20,0,7.0,7
10169,9.0,20,0,2.0,2
10170,10.0,20,1,3.0,3
10171,55.0,20,0,4.0,4
10172,100.0,20,3,3.0,3
10173,1.0,22,0,9.0,9
10174,9.0,22,0,2.0,2
10175,10.0,22,4,3.0,3
10176,100.0,22,5,3.0,3
10177,16.0,23,3,2.0,2
10178,18.0,23,2,2.0,2
10179,1.0,24,0,11.0,11
10180,4.5,24,301,0.9999989867210388,99.9999%
10181,9.0,24,0,2.0,2
