Id,Type,Name,Desc,Restrain,MainPosition,Restrain1
101,1,内线进攻,内线进攻是以<color=#e7b048>大前锋、中锋</color>这两个位置为主要攻击点，比赛中该位置上球员的进攻能力和体能消耗显著提升,外线防守，紧逼防守,"[4,5]","[202,205]"
102,1,外线进攻,外线进攻是以<color=#e7b048>控球后卫、得分后卫</color>这两个位置为主要攻击点，比赛中该位置上球员的进攻能力和体能消耗显著提升,内线防守，混合防守,"[1,2]","[201,203]"
103,1,挡拆进攻,挡拆进攻是以<color=#e7b048>小前锋、中锋</color>这两个位置为主要攻击点，比赛中该位置上球员的进攻能力和体能消耗显著提升,外线防守，联合防守,"[3,5]","[202,204]"
104,1,老鹰进攻,老鹰进攻是以<color=#e7b048>得分后卫、大前锋</color>这两个位置为主要攻击点，比赛中该位置上球员的进攻能力和体能消耗显著提升,混合防守，紧逼防守,"[2,4]","[203,205]"
105,1,跑轰进攻,跑轰进攻是以<color=#e7b048>控球后卫、小前锋</color>这两个位置为主要攻击点，比赛中该位置上球员的进攻能力和体能消耗显著提升,内线防守，联合防守,"[1,3]","[201,204]"
201,2,内线防守,内线防守是以<color=#e7b048>大前锋、中锋</color>这两个位置为主要防守点，比赛中该位置上球员的防守能力和体能消耗小幅提升,内线进攻，挡拆进攻，老鹰进攻,"[4,5]","[101,103,104]"
202,2,外线防守,外线防守是以<color=#e7b048>控球后卫、得分后卫</color>这两个位置为主要防守点，比赛中该位置上球员的防守能力和体能消耗小幅提升,外线进攻，老鹰进攻，跑轰进攻,"[1,2]","[102,104,105]"
203,2,混合防守,混合防守是以<color=#e7b048>小前锋、中锋</color>这两个位置为主要防守点，比赛中该位置上球员的防守能力和体能消耗小幅提升,内线进攻，挡拆进攻，跑轰进攻,"[3,5]","[101,103,105]"
204,2,联合防守,联合防守是以<color=#e7b048>得分后卫、大前锋</color>这两个位置为主要防守点，比赛中该位置上球员的防守能力和体能消耗小幅提升,内线进攻，外线进攻，老鹰进攻,"[2,4]","[101,102,104]"
205,2,紧逼防守,紧逼防守是以<color=#e7b048>控球后卫、小前锋</color>这两个位置为主要防守点，比赛中该位置上球员的防守能力和体能消耗小幅提升,外线进攻，挡拆进攻，跑轰进攻,"[1,3]","[102,103,105]"
