Id,TacticsId,Level,CostCard,PositionAdd,Kezhi
10101,101,1,5,"{""1"":102,""2"":102,""3"":100,""4"":112,""5"":112}",20
10102,101,2,10,"{""1"":102,""2"":102,""3"":100,""4"":114,""5"":114}",20
10103,101,3,20,"{""1"":102,""2"":102,""3"":100,""4"":116,""5"":116}",20
10104,101,4,40,"{""1"":102,""2"":102,""3"":100,""4"":118,""5"":118}",20
10105,101,5,60,"{""1"":102,""2"":102,""3"":100,""4"":120,""5"":120}",20
10106,101,6,80,"{""1"":102,""2"":102,""3"":100,""4"":122,""5"":122}",20
10107,101,7,100,"{""1"":102,""2"":102,""3"":100,""4"":124,""5"":124}",20
10108,101,8,120,"{""1"":102,""2"":102,""3"":100,""4"":126,""5"":126}",20
10109,101,9,140,"{""1"":102,""2"":102,""3"":100,""4"":128,""5"":128}",20
10110,101,10,160,"{""1"":102,""2"":102,""3"":100,""4"":130,""5"":130}",20
10201,102,1,5,"{""1"":112,""2"":112,""3"":102,""4"":102,""5"":100}",20
10202,102,2,10,"{""1"":114,""2"":114,""3"":102,""4"":102,""5"":100}",20
10203,102,3,20,"{""1"":116,""2"":116,""3"":102,""4"":102,""5"":100}",20
10204,102,4,40,"{""1"":118,""2"":118,""3"":102,""4"":102,""5"":100}",20
10205,102,5,60,"{""1"":120,""2"":120,""3"":102,""4"":102,""5"":100}",20
10206,102,6,80,"{""1"":122,""2"":122,""3"":102,""4"":102,""5"":100}",20
10207,102,7,100,"{""1"":124,""2"":124,""3"":102,""4"":102,""5"":100}",20
10208,102,8,120,"{""1"":126,""2"":126,""3"":102,""4"":102,""5"":100}",20
10209,102,9,140,"{""1"":128,""2"":128,""3"":102,""4"":102,""5"":100}",20
10210,102,10,160,"{""1"":130,""2"":130,""3"":102,""4"":102,""5"":100}",20
10301,103,1,5,"{""1"":102,""2"":102,""3"":112,""4"":100,""5"":112}",20
10302,103,2,10,"{""1"":102,""2"":102,""3"":114,""4"":100,""5"":114}",20
10303,103,3,20,"{""1"":102,""2"":102,""3"":116,""4"":100,""5"":116}",20
10304,103,4,40,"{""1"":102,""2"":102,""3"":118,""4"":100,""5"":118}",20
10305,103,5,60,"{""1"":102,""2"":102,""3"":120,""4"":100,""5"":120}",20
10306,103,6,80,"{""1"":102,""2"":102,""3"":122,""4"":100,""5"":122}",20
10307,103,7,100,"{""1"":102,""2"":102,""3"":124,""4"":100,""5"":124}",20
10308,103,8,120,"{""1"":102,""2"":102,""3"":126,""4"":100,""5"":126}",20
10309,103,9,140,"{""1"":102,""2"":102,""3"":128,""4"":100,""5"":128}",20
10310,103,10,160,"{""1"":102,""2"":102,""3"":130,""4"":100,""5"":130}",20
10401,104,1,5,"{""1"":102,""2"":112,""3"":102,""4"":112,""5"":100}",20
10402,104,2,10,"{""1"":102,""2"":114,""3"":102,""4"":114,""5"":100}",20
10403,104,3,20,"{""1"":102,""2"":116,""3"":102,""4"":116,""5"":100}",20
10404,104,4,40,"{""1"":102,""2"":118,""3"":102,""4"":118,""5"":100}",20
10405,104,5,60,"{""1"":102,""2"":120,""3"":102,""4"":120,""5"":100}",20
10406,104,6,80,"{""1"":102,""2"":122,""3"":102,""4"":122,""5"":100}",20
10407,104,7,100,"{""1"":102,""2"":124,""3"":102,""4"":124,""5"":100}",20
10408,104,8,120,"{""1"":102,""2"":126,""3"":102,""4"":126,""5"":100}",20
10409,104,9,140,"{""1"":102,""2"":128,""3"":102,""4"":128,""5"":100}",20
10410,104,10,160,"{""1"":102,""2"":130,""3"":102,""4"":130,""5"":100}",20
10501,105,1,5,"{""1"":112,""2"":102,""3"":112,""4"":102,""5"":100}",20
10502,105,2,10,"{""1"":114,""2"":102,""3"":114,""4"":102,""5"":100}",20
10503,105,3,20,"{""1"":116,""2"":102,""3"":116,""4"":102,""5"":100}",20
10504,105,4,40,"{""1"":118,""2"":102,""3"":118,""4"":102,""5"":100}",20
10505,105,5,60,"{""1"":120,""2"":102,""3"":120,""4"":102,""5"":100}",20
10506,105,6,80,"{""1"":122,""2"":102,""3"":122,""4"":102,""5"":100}",20
10507,105,7,100,"{""1"":124,""2"":102,""3"":124,""4"":102,""5"":100}",20
