Id,Type,Desc,NextTask,TriggerId,CompareType,Condition,Point,Reward,Way,Moduleid,Zlpoint,IsHide
100101,1,解锁5个训练项目,100102,10001,>=,5,0,1:1:50,0,1500,0,0
100102,1,解锁10个训练项目,100103,10001,>=,10,0,1:1:50,0,1500,0,0
100103,1,所有训练项目升到100级,100104,10002,>=,100,0,1:1:50,0,1500,0,0
100104,1,所有训练项目升到300级,100105,10002,>=,300,0,1:1:50,0,1500,0,0
100105,1,所有训练项目升到500级,100106,10002,>=,500,0,1:1:50,0,1500,0,0
100106,1,所有训练项目升到1000级,100107,10002,>=,1000,0,1:1:50,0,1500,0,0
100107,1,所有训练项目升到2000级,100108,10002,>=,2000,0,1:1:50,0,1500,0,0
100108,1,所有训练项目升到3000级,100109,10002,>=,3000,0,1:1:50,0,1500,0,0
100109,1,所有训练项目升到4000级,100110,10002,>=,4000,0,1:1:50,0,1500,0,0
100110,1,所有训练项目升到5000级,100111,10002,>=,5000,0,1:1:50,0,1500,0,0
100111,1,所有训练项目升到6000级,100112,10002,>=,6000,0,1:1:50,0,1500,0,0
100112,1,所有训练项目升到7000级,100113,10002,>=,7000,0,1:1:50,0,1500,0,0
100113,1,所有训练项目升到8000级,100114,10002,>=,8000,0,1:1:50,0,1500,0,0
100114,1,所有训练项目升到9000级,100115,10002,>=,9000,0,1:1:50,0,1500,0,0
100115,1,所有训练项目升到10000级,0,10002,>=,10000,0,1:1:50,0,1500,0,0
100116,1,所有训练项目升到11000级,100117,10002,>=,11000,0,1:1:50,0,1500,0,0
100117,1,所有训练项目升到12000级,100118,10002,>=,12000,0,1:1:50,0,1500,0,0
100118,1,所有训练项目升到13000级,100119,10002,>=,13000,0,1:1:50,0,1500,0,0
100119,1,所有训练项目升到14000级,100120,10002,>=,14000,0,1:1:50,0,1500,0,0
100120,1,所有训练项目升到15000级,0,10002,>=,15000,0,1:1:50,0,1500,0,0
100201,1,拥有1个橙色球员,100202,10003,>=,1,0,1:1:50,0,2200,0,0
100202,1,拥有5个橙色球员,100203,10003,>=,5,0,1:1:50,0,2200,0,0
100203,1,拥有10个橙色球员,100204,10003,>=,10,0,1:1:50,0,2200,0,0
100204,1,累计招募球员20次,100205,10004,>=,20,0,1:1:50,0,2200,0,0
100205,1,累计招募球员50次,100206,10004,>=,50,0,1:1:50,0,2200,0,0
100206,1,累计招募球员100次,100207,10004,>=,100,0,1:1:50,0,2200,0,0
100207,1,累计招募球员200次,100208,10004,>=,200,0,1:1:50,0,2200,0,0
100208,1,累计招募球员300次,100209,10004,>=,300,0,1:1:50,0,2200,0,0
100209,1,累计招募球员400次,100210,10004,>=,400,0,1:1:50,0,2200,0,0
100210,1,累计招募球员500次,100211,10004,>=,500,0,1:1:50,0,2200,0,0
100211,1,累计招募球员600次,100212,10004,>=,600,0,1:1:50,0,2200,0,0
100212,1,累计招募球员700次,100213,10004,>=,700,0,1:1:50,0,2200,0,0
100213,1,累计招募球员800次,100214,10004,>=,800,1,1:1:50,0,2200,0,0
100214,1,累计招募球员900次,100215,10004,>=,900,2,1:1:50,0,2200,0,0
100215,1,累计招募球员1000次,0,10004,>=,1000,3,1:1:50,0,2200,0,0
100301,1,经典赛（环球挑战）通关-中国,100302,10005,>=,1010103,0,1:1:50,0,1100,0,0
100302,1,经典赛（环球挑战）通关-韩国,100303,10005,>=,1010205,0,1:1:50,0,1100,0,0
100303,1,经典赛（环球挑战）通关-日本,100304,10005,>=,1010307,0,1:1:50,0,1100,0,0
100304,1,经典赛（环球挑战）通关-菲律宾,100305,10005,>=,1010410,0,1:1:50,0,1100,0,0
100305,1,经典赛（环球挑战）通关-泰国,100306,10005,>=,1010510,0,1:1:50,0,1100,0,0
100306,1,经典赛（环球挑战）通关-印度,100307,10005,>=,1010610,0,1:1:50,0,1100,0,0
100307,1,经典赛（环球挑战）通关-伊朗,100308,10005,>=,1010710,0,1:1:50,0,1100,0,0
100308,1,经典赛（环球挑战）通关-安哥拉,100309,10005,>=,1020110,0,1:1:50,0,1100,0,0
100309,1,经典赛（环球挑战）通关-尼日利亚,100310,10005,>=,1020210,0,1:1:50,0,1100,0,0
100310,1,经典赛（环球挑战）通关-塞内加尔,100311,10005,>=,1020310,0,1:1:50,0,1100,0,0
100311,1,经典赛（环球挑战）通关-科特迪瓦,100312,10005,>=,1020410,0,1:1:50,0,1100,0,0
100312,1,经典赛（环球挑战）通关-埃及,100313,10005,>=,1020510,0,1:1:50,0,1100,0,0
100313,1,经典赛（环球挑战）通关-喀麦隆,100314,10005,>=,1020610,0,1:1:50,0,1100,0,0
100314,1,经典赛（环球挑战）通关-摩洛哥,100315,10005,>=,1020710,0,1:1:50,0,1100,0,0
100315,1,经典赛（环球挑战）通关-中非,100316,10005,>=,1020810,0,1:1:50,0,1100,0,0
100316,1,经典赛（环球挑战）通关-突尼西亚,100317,10005,>=,1020910,0,1:1:50,0,1100,0,0
100317,1,经典赛（环球挑战）通关-刚果,100318,10005,>=,1021010,0,1:1:50,0,1100,0,0
100318,1,经典赛（环球挑战）通关-印第安纳州,100319,10005,>=,1030110,0,1:1:50,0,1100,0,0
100319,1,经典赛（环球挑战）通关-蒙大拿州,100320,10005,>=,1030210,0,1:1:50,0,1100,0,0
100320,1,经典赛（环球挑战）通关-加利福尼亚州,100321,10005,>=,1030310,0,1:1:50,0,1100,0,0
100321,1,经典赛（环球挑战）通关-北卡罗来纳州,100322,10005,>=,1030410,0,1:1:50,0,1100,0,0
100322,1,经典赛（环球挑战）通关-康涅狄格州,100323,10005,>=,1030510,0,1:1:50,0,1100,0,0
100323,1,经典赛（环球挑战）通关-宾夕法尼亚州,100324,10005,>=,1030610,0,1:1:50,0,1100,0,0
100324,1,经典赛（环球挑战）通关-堪萨斯州,100325,10005,>=,1030710,0,1:1:50,0,1100,0,0
100325,1,经典赛（环球挑战）通关-加拿大,100326,10005,>=,1030810,0,1:1:50,0,1100,0,0
100326,1,经典赛（环球挑战）通关-古巴,100327,10005,>=,1030910,0,1:1:50,0,1100,0,0
100327,1,经典赛（环球挑战）通关-墨西哥,100328,10005,>=,1031010,0,1:1:50,0,1100,0,0
100328,1,经典赛（环球挑战）通关-维京群岛,100329,10005,>=,1040110,0,1:1:50,0,1100,0,0
