Id,Content
100101,解锁5个项目的解锁要求
100102,解锁10个项目的解锁要求
100103,全项目升到100级的解锁要求
100104,全项目升到300级的解锁要求
100105,全项目升到500级的解锁要求
100106,全项目升到1000级的解锁要求
100107,全项目升到2000级的解锁要求
100108,全项目升到3000级的解锁要求
100109,全项目升到4000级的解锁要求
100110,全项目升到5000级的解锁要求
100111,全项目升到6000级的解锁要求
100112,全项目升到7000级的解锁要求
100113,全项目升到8000级的解锁要求
100114,全项目升到9000级的解锁要求
100115,全项目升到10000级的解锁要求
100201,拥有1个橙色球员的解锁要求
100202,拥有5个橙色球员的解锁要求
100203,拥有11个橙色球员的解锁要求
100204,累计招募球员200次的解锁要求
100205,累计招募球员300次的解锁要求
100206,累计招募球员400次的解锁要求
100207,累计招募球员500次的解锁要求
100208,累计招募球员600次的解锁要求
100209,累计招募球员700次的解锁要求
100210,累计招募球员800次的解锁要求
100211,累计招募球员900次的解锁要求
100212,累计招募球员1000次的解锁要求
100301,通过挑战1-5的解锁要求
100302,通过挑战1-10的解锁要求
100401,完成1场1级联赛的比赛的解锁要求
100501,完成1轮杯赛比赛的解锁要求
100601,在冠军赛中获胜1次的解锁要求
200101,投蓝项目升级10次的解锁要求
200102,篮板项目升级10次的解锁要求
200103,传球项目升级10次的解锁要求
200104,控球项目升级10次的解锁要求
200105,抢断项目升级10次的解锁要求
200106,防守项目升级11次的解锁要求
200107,盖帽项目升级12次的解锁要求
200108,扣篮项目升级13次的解锁要求
200109,身体项目升级14次的解锁要求
200110,稳定项目升级15次的解锁要求
200201,训练升级100次的解锁要求
200301,强化训练1次的解锁要求
200401,领取离线奖励1次的解锁要求
200501,完成2场邀请赛的解锁要求
200601,超能训练1次的解锁要求
200701,球星招募1次的解锁要求
200801,碎片回收1次的解锁要求
200901,特技学习1次的解锁要求
201001,进行1次挑战的解锁要求
201101,篮球殿堂获得15星
201201,消费100钻石的解锁要求
201301,完成3次悬赏任务
201401,完成20次经典赛
300101,累计训练升级1000次的解锁要求
300201,强化训练50次的解锁要求
300301,领取离线奖励7次的解锁要求
300401,超能训练10次的解锁要求
300501,完成14场邀请赛的解锁要求
300601,球星招募20次的解锁要求
300701,球员升星1次的解锁要求
300801,特技学习7次的解锁要求
300901,挑战获胜5次的解锁要求
301001,联赛获胜5场的解锁要求
301101,杯赛获胜1场的解锁要求
301201,冠军赛获胜1场的解锁要求
301301,消费1000钻石的解锁要求
301401,累计获得日常活跃600点的解锁要求
301501,解锁特技升级2次的解锁要求。
301601,累计完成20次悬赏任务的要求。
301701,累计完成180次经典赛的要求。
301801,篮球殿堂获得120星。
