Id,Name,Icon,Chapter,Tactics,TacticsLevels,Star3,Buff,FirstReward,Reward,Lv,NextId
5000101,第1关,900101,20101,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000102
5000102,第2关,900102,20101,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000103
5000103,第3关,900103,20101,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000104
5000104,第4关,900104,20101,"[101,201]","[1,1]","[1001,1002]",1:3:10:3|1:3:15:6|1:3:20:9,2:100109:10,2:100109:30|1:2:200,0,5000105
5000105,第5关,900105,20101,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000106
5000106,第6关,900106,20101,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000107
5000107,第7关,900107,20101,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000108
5000108,第8关,900108,20101,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000109
5000109,第9关,900109,20101,"[101,201]","[1,1]","[1001,1002]",2:1:10:4|2:1:15:8|2:1:20:12,2:100109:10,2:100109:30|1:2:200,0,5000110
5000110,第10关,900110,20101,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000201
5000201,第1关,900111,20102,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000202
5000202,第2关,900112,20102,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000203
5000203,第3关,900113,20102,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000204
5000204,第4关,900114,20102,"[101,201]","[1,1]","[1001,1002]",3:1:10:4|3:1:15:8|3:1:20:12,2:100109:10,2:100109:30|1:2:200,0,5000205
5000205,第5关,900115,20102,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000206
