Id,Number,Reward
1,15,2:400154:10|1:1:100
2,30,2:400154:10|1:1:100
3,50,2:400154:10|1:1:100
4,75,2:400154:10|1:1:100
5,100,2:400154:10|1:1:100|2:200235:100
6,150,2:400154:10|1:1:100
7,200,2:400154:10|1:1:100|2:200248:20
8,250,2:400154:10|1:1:100
9,300,2:400154:10|1:1:100|2:200249:10
10,350,2:400154:10|1:1:100
11,400,2:400154:10|1:1:100|2:200250:5
12,450,2:400154:10|1:1:100
13,500,2:400154:10|1:1:100|2:200235:100
14,550,2:400154:10|1:1:100
15,600,2:400154:10|1:1:100|2:200248:20
16,650,2:400154:10|1:1:100
17,700,2:400154:10|1:1:100|2:200249:10
18,750,2:400154:10|1:1:100
19,800,2:400154:10|1:1:100|2:200250:5
20,850,2:400154:10|1:1:100
21,900,2:400154:10|1:1:100|2:200235:100
22,950,2:400154:10|1:1:100
23,1000,2:400154:10|1:1:100|2:200248:20
24,1050,2:400154:10|1:1:100
25,1100,2:400154:10|1:1:100|2:200249:10
26,1150,2:400154:10|1:1:100
27,1200,2:400154:10|1:1:100|2:200250:5
28,1250,2:400154:10|1:1:100
29,1300,2:400154:10|1:1:100|2:200235:100
30,1350,2:400154:10|1:1:100
31,1400,2:400154:10|1:1:100|2:200248:20
32,1450,2:400154:10|1:1:100
33,1500,2:400154:10|1:1:100|2:200249:10
34,1550,2:400154:10|1:1:100
35,1600,2:400154:10|1:1:100|2:200250:5
36,1650,2:400154:10|1:1:100
37,1700,2:400154:10|1:1:100|2:200235:100
38,1750,2:400154:10|1:1:100
39,1800,2:400154:10|1:1:100|2:200248:20
40,1850,2:400154:10|1:1:100
41,1900,2:400154:10|1:1:100|2:200249:10
42,1950,2:400154:10|1:1:100
43,2000,2:400154:10|1:1:100|2:200250:5
44,2050,2:400154:10|1:1:100
45,2100,2:400154:10|1:1:100|2:200235:100
46,2150,2:400154:10|1:1:100
47,2200,2:400154:10|1:1:100|2:200248:20
48,2250,2:400154:10|1:1:100
49,2300,2:400154:10|1:1:100|2:200249:10
50,2350,2:400154:10|1:1:100
51,2400,2:400154:10|1:1:100|2:200250:5
52,2450,2:400154:10|1:1:100
53,2500,2:400154:10|1:1:100|2:200235:100
54,2550,2:400154:10|1:1:100
55,2600,2:400154:10|1:1:100|2:200248:20
56,2650,2:400154:10|1:1:100
57,2700,2:400154:10|1:1:100|2:200249:10
58,2750,2:400154:10|1:1:100
59,2800,2:400154:10|1:1:100|2:200250:5
60,2850,2:400154:10|1:1:100
61,2900,2:400154:10|1:1:100|2:200235:100
62,2950,2:400154:10|1:1:100
63,3000,2:400154:10|1:1:100|2:200248:20
