Id,BaseAdd,BaseTime,BaseCost,CostAdd,UnlockReward,Attribute,Name,Desc,Cameraid
1,"{""Value"":1.0,""UnitId"":0}",1,"{""Value"":5.0,""UnitId"":0}",1.149999976158142,"{""Value"":0.0,""UnitId"":0}",0,身体,升级<身体训练>，可提高训练效率，并增强全体球员的身体属性。,TrainShenti
2,"{""Value"":40.0,""UnitId"":0}",3,"{""Value"":60.0,""UnitId"":0}",1.0700000524520874,"{""Value"":350.0,""UnitId"":0}",4,传球,升级<传球训练>，可提高训练效率，并增强全体球员的传球属性。,TrainChuanqiu
3,"{""Value"":540.0,""UnitId"":0}",6,"{""Value"":700.0,""UnitId"":0}",1.1399999856948853,"{""Value"":4000.0,""UnitId"":0}",3,防守,升级<防守训练>，可提高训练效率，并增强全体球员的防守属性。,TrainFangshou
4,"{""Value"":3600.0,""UnitId"":0}",10,"{""Value"":8600.0,""UnitId"":0}",1.1299999952316284,"{""Value"":40000.0,""UnitId"":0}",3,扣篮,升级<扣篮训练>，可提高训练效率，并增强全体球员的扣篮性。,TrainKoulan
5,"{""Value"":43200.0,""UnitId"":0}",20,"{""Value"":100000.0,""UnitId"":0}",1.1200000047683716,"{""Value"":300000.0,""UnitId"":0}",0,篮板,升级<篮板训练>，可提高训练效率，并增强全体球员的篮板属性。,TrainLanban
6,"{""Value"":324000.0,""UnitId"":0}",50,"{""Value"":1250.0,""UnitId"":1}",1.1100000143051147,"{""Value"":3000.0,""UnitId"":1}",1,投篮,升级<投篮训练>，可提高训练效率，并增强全体球员的投篮属性。,TrainToulan
7,"{""Value"":3888.0,""UnitId"":1}",200,"{""Value"":15000.0,""UnitId"":1}",1.100000023841858,"{""Value"":35000.0,""UnitId"":1}",2,抢断,升级<抢断训练>，可提高训练效率，并增强全体球员的抢断属性。,TrainQiangduan
8,"{""Value"":35.0,""UnitId"":2}",600,"{""Value"":180.0,""UnitId"":2}",1.090000033378601,"{""Value"":200.0,""UnitId"":2}",1,控球,升级<控球训练>，可提高训练效率，并增强全体球员的控球属性。,TrainKongqiu
9,"{""Value"":315.0,""UnitId"":2}",1800,"{""Value"":2150.0,""UnitId"":2}",1.0800000429153442,"{""Value"":3000.0,""UnitId"":2}",4,盖帽,升级<盖帽训练>，可提高训练效率，并增强全体球员的盖帽属性。,TrainGaimao
10,"{""Value"":2900.0,""UnitId"":2}",3600,"{""Value"":26000.0,""UnitId"":2}",1.0700000524520874,"{""Value"":30000.0,""UnitId"":2}",2,稳定,升级<稳定训练>，可提高训练效率，并增强全体球员的稳定属性。,TrainWending
