Id,Exp,ExpTotal,Rewards,BountyTaskCount
1,200,0,1:6:100|1:2:1000|1:1:10,3
2,300,200,1:6:100|1:2:1000|1:1:10,3
3,500,500,1:6:100|1:2:1000|1:1:10,3
4,500,1000,1:6:100|1:2:1000|1:1:10,3
5,500,1500,1:6:100|1:2:1000|1:1:10,3
6,1500,2000,1:6:100|1:2:1000|1:1:10,3
7,2000,3500,1:6:100|1:2:1000|1:1:10,3
8,2000,5500,1:6:100|1:2:1000|1:1:10,3
9,2500,7500,1:6:100|1:2:1000|1:1:10,3
10,2500,10000,1:6:100|1:2:1000|1:1:10,3
11,2500,12500,1:6:100|1:2:1000|1:1:10,3
12,2500,15000,1:6:100|1:2:1000|1:1:10,3
13,2500,17500,1:6:100|1:2:1000|1:1:10,3
14,12000,20000,1:6:100|1:2:1000|1:1:10,3
15,12000,32000,1:6:100|1:2:1000|1:1:10,3
16,12000,44000,1:6:100|1:2:1000|1:1:10,3
17,12000,56000,1:6:100|1:2:1000|1:1:10,3
18,12000,68000,1:6:100|1:2:1000|1:1:10,3
19,12000,80000,1:6:100|1:2:1000|1:1:10,3
20,10800,92000,1:6:100|1:2:1000|1:1:10,3
21,13200,102800,1:6:100|1:2:1000|1:1:10,3
22,12000,116000,1:6:100|1:2:1000|1:1:10,3
23,12000,128000,1:6:100|1:2:1000|1:1:10,3
24,12000,140000,1:6:100|1:2:1000|1:1:10,3
25,12000,152000,1:6:100|1:2:1000|1:1:10,3
26,12000,164000,1:6:100|1:2:1000|1:1:10,3
27,16100,176000,1:6:100|1:2:1000|1:1:10,3
28,16100,192100,1:6:100|1:2:1000|1:1:10,3
29,16100,208200,1:6:100|1:2:1000|1:1:10,3
30,16100,224300,1:6:100|1:2:1000|1:1:10,3
31,16400,240400,1:6:100|1:2:1000|1:1:10,3
32,16800,256800,1:6:100|1:2:1000|1:1:10,3
33,16800,273600,1:6:100|1:2:1000|1:1:10,3
34,16800,290400,1:6:100|1:2:1000|1:1:10,3
35,14300,307200,1:6:100|1:2:1000|1:1:10,3
36,17500,321500,1:6:100|1:2:1000|1:1:10,3
37,17500,339000,1:6:100|1:2:1000|1:1:10,3
38,17500,356500,1:6:100|1:2:1000|1:1:10,3
39,16800,374000,1:6:100|1:2:1000|1:1:10,3
40,16800,390800,1:6:100|1:2:1000|1:1:10,4
41,16800,407600,1:6:100|1:2:1000|1:1:10,4
42,16400,424400,1:6:100|1:2:1000|1:1:10,4
43,23200,440800,1:6:100|1:2:1000|1:1:10,4
44,23200,464000,1:6:100|1:2:1000|1:1:10,4
45,18400,487200,1:6:100|1:2:1000|1:1:10,4
46,60800,505600,1:6:100|1:2:1000|1:1:10,4
47,60800,566400,1:6:100|1:2:1000|1:1:10,4
48,60800,627200,1:6:100|1:2:1000|1:1:10,4
49,60800,688000,1:6:100|1:2:1000|1:1:10,4
50,60800,748800,1:6:100|1:2:1000|1:1:10,4
51,60800,809600,1:6:100|1:2:1000|1:1:10,4
52,60800,870400,1:6:100|1:2:1000|1:1:10,4
53,60800,931200,1:6:100|1:2:1000|1:1:10,4
54,60800,992000,1:6:100|1:2:1000|1:1:10,4
55,60800,1052800,1:6:100|1:2:1000|1:1:10,4
56,119600,1113600,1:6:100|1:2:1000|1:1:10,4
57,75800,1233200,1:6:100|1:2:1000|1:1:10,4
58,75800,1309000,1:6:100|1:2:1000|1:1:10,4
59,75800,1384800,1:6:100|1:2:1000|1:1:10,4
60,74600,1460600,1:6:100|1:2:1000|1:1:10,5
61,74600,1535200,1:6:100|1:2:1000|1:1:10,5
62,74600,1609800,1:6:100|1:2:1000|1:1:10,5
63,74600,1684400,1:6:100|1:2:1000|1:1:10,5
64,78200,1759000,1:6:100|1:2:1000|1:1:10,5
65,62800,1837200,1:6:100|1:2:1000|1:1:10,5
66,117600,1900000,1:6:100|1:2:1000|1:1:10,5
67,117600,2017600,1:6:100|1:2:1000|1:1:10,5
68,117600,2135200,1:6:100|1:2:1000|1:1:10,5
69,64800,2252800,1:6:100|1:2:1000|1:1:10,5
70,100000,2317600,1:6:100|1:2:1000|1:1:10,5
71,100000,2417600,1:6:100|1:2:1000|1:1:10,5
72,100000,2517600,1:6:100|1:2:1000|1:1:10,5
73,100000,2617600,1:6:100|1:2:1000|1:1:10,5
74,100000,2717600,1:6:100|1:2:1000|1:1:10,5
75,100000,2817600,1:6:100|1:2:1000|1:1:10,5
76,100000,2917600,1:6:100|1:2:1000|1:1:10,5
77,100000,3017600,1:6:100|1:2:1000|1:1:10,5
78,100000,3117600,1:6:100|1:2:1000|1:1:10,5
79,100000,3217600,1:6:100|1:2:1000|1:1:10,5
80,100000,3317600,1:6:100|1:2:1000|1:1:10,5
81,100000,3417600,1:6:100|1:2:1000|1:1:10,5
82,100000,3517600,1:6:100|1:2:1000|1:1:10,5
83,139200,3617600,1:6:100|1:2:1000|1:1:10,5
84,149000,3756800,1:6:100|1:2:1000|1:1:10,5
85,149000,3905800,1:6:100|1:2:1000|1:1:10,5
86,149000,4054800,1:6:100|1:2:1000|1:1:10,5
87,149000,4203800,1:6:100|1:2:1000|1:1:10,5
88,149000,4352800,1:6:100|1:2:1000|1:1:10,5
89,149000,4501800,1:6:100|1:2:1000|1:1:10,5
90,149000,4650800,1:6:100|1:2:1000|1:1:10,5
91,149000,4799800,1:6:100|1:2:1000|1:1:10,5
92,149000,4948800,1:6:100|1:2:1000|1:1:10,5
93,149000,5097800,1:6:100|1:2:1000|1:1:10,5
94,149000,5246800,1:6:100|1:2:1000|1:1:10,5
95,149000,5395800,1:6:100|1:2:1000|1:1:10,5
96,149000,5544800,1:6:100|1:2:1000|1:1:10,5
97,149000,5693800,1:6:100|1:2:1000|1:1:10,5
98,149000,5842800,1:6:100|1:2:1000|1:1:10,5
99,149000,5991800,1:6:100|1:2:1000|1:1:10,5
100,149000,6140800,1:6:100|1:2:1000|1:1:10,5
101,149000,6289800,1:6:100|1:2:1000|1:1:10,5
102,149000,6438800,1:6:100|1:2:1000|1:1:10,5
103,149000,6587800,1:6:100|1:2:1000|1:1:10,5
104,149000,6736800,1:6:100|1:2:1000|1:1:10,5
105,149000,6885800,1:6:100|1:2:1000|1:1:10,5
106,149000,7034800,1:6:100|1:2:1000|1:1:10,5
107,149000,7183800,1:6:100|1:2:1000|1:1:10,5
108,149000,7332800,1:6:100|1:2:1000|1:1:10,5
109,149000,7481800,1:6:100|1:2:1000|1:1:10,5
110,149000,7630800,1:6:100|1:2:1000|1:1:10,5
111,149000,7779800,1:6:100|1:2:1000|1:1:10,5
112,149000,7928800,1:6:100|1:2:1000|1:1:10,5
113,149000,8077800,1:6:100|1:2:1000|1:1:10,5
114,149000,8226800,1:6:100|1:2:1000|1:1:10,5
115,149000,8375800,1:6:100|1:2:1000|1:1:10,5
116,149000,8524800,1:6:100|1:2:1000|1:1:10,5
117,149000,8673800,1:6:100|1:2:1000|1:1:10,5
118,149000,8822800,1:6:100|1:2:1000|1:1:10,5
119,149000,8971800,1:6:100|1:2:1000|1:1:10,5
120,99999999,9120800,1:6:100|1:2:1000|1:1:10,5
