Id,ModuleName,SubModuleName,Desc,DropItem,ItemRange
1100,经典赛,,中获得。,,
1101,经典赛,三星宝箱,中获得。,1:1:1|1:2:2|2:400201:1,100104:100107:1
1102,经典赛,关卡,挑战后掉落。,1:4:1,600101:600610:10|100104:100107:10
1200,剧情赛,三星宝箱,中获得。,2:400201:1,301001:304099:1
1300,排位赛,,,,
1301,排位赛,进阶奖励,中获得。,1:1:1,
1302,排位赛,每日奖励,中获得。,2:400501:1,
1303,排位赛,赛季奖励,中获得。,1:1:1|2:400501:1,
1304,排位赛,里程商店,中兑换。,2:400201:1|1:2:1|2:200229:1|2:400154:1|1:1:1|2:200215:1|2:100105:1,
1305,排位赛,日常商店,中兑换。,2:100108:1|2:400151:1|2:400152:1|2:400153:1|2:400154:1,
1400,赛事（PVP）,,,,
1401,,联赛,中获得。,1:2:1|2:200104:1|1:1:1,
1402,,杯赛,中获得。,2:200105:1|1:1:1,
1500,球员训练,,中获得。,1:3:1,
1501,强化训练,,,,
1502,超能训练,,,,
1503,邀请赛,,,,
1600,特技,,,,
1700,任务,,,,
1701,日常任务,活跃度宝箱,中获得。,1:4:1|2:400201:1|2:400202:1|2:400204:1|2:400206:1,
1702,周常任务,活跃度宝箱,中获得。,1:4:1|2:400201:1|2:400208:1|2:400209:1|2:400207:1,
1703,悬赏任务,,中获得。,1:2:1|2:400401:1,
1800,小游戏,,中获得。,1:1:1,
1900,藏品,,,,
2000,生涯,,,,
2100,球员养成,,,,
2101,升级,,,,
2102,装备,,,,
2103,升星,,,,
2200,招募,,中获得。,2:400502:1|2:304009:1|2:304011:1|2:304012:1|2:304015:1|2:304017:1|2:304018:1|2:304019:1|2:304020:1|2:304023:1|2:304025:1|2:304026:1|2:304027:1|2:304028:1|2:304030:1,301001:301015:10|302001:302015:10|303001:303040:10
2300,活动,,,,
2301,每日登录/30日签到,,,,
2302,月卡,,每日领取。,1:1:1,
2303,新手目标,,,,
2304,七日签到,,,,
2305,首充,,,,
2400,成就,,,,
2500,背包,,,,
2501,碎片回收,,后获得。,2:400101:1|2:400102:1|2:400103:1|2:400104:1|2:400105:1,
2600,布阵,,,,
2601,战术,,,,
3001,百分大战,应援,中获得。,2:100110:1,
9999,快捷购买,,后获得。,2:400201:1|2:400210:1,
