Id,GameItemType,GameItemId,Way
1000002,1,1,"[4,5,6]"
2400101,2,400101,[8]
2400102,2,400102,[9]
2400103,2,400103,[10]
2400104,2,400104,[11]
2400105,2,400105,[12]
2301001,2,301001,[2]
2301002,2,301002,[2]
2301003,2,301003,[2]
2302001,2,302001,[2]
2302002,2,302002,[2]
2302003,2,302003,[2]
2302004,2,302004,[2]
2302005,2,302005,[2]
2302006,2,302006,[2]
2302007,2,302007,[2]
2302008,2,302008,[2]
2302009,2,302009,[2]
2302010,2,302010,[2]
2302011,2,302011,[2]
2302012,2,302012,[2]
2302013,2,302013,[2]
2302014,2,302014,[2]
2302015,2,302015,[2]
2302016,2,302016,[2]
2302017,2,302017,[2]
2302018,2,302018,[2]
2302019,2,302019,[2]
2302020,2,302020,[2]
2302021,2,302021,[2]
2302022,2,302022,[2]
2302023,2,302023,[2]
2302024,2,302024,[2]
2302025,2,302025,[2]
2302026,2,302026,[2]
2302027,2,302027,[2]
2302028,2,302028,[2]
2302029,2,302029,[2]
2302030,2,302030,[2]
2302031,2,302031,[2]
2303001,2,303001,[2]
2303002,2,303002,[2]
2303003,2,303003,[2]
2303004,2,303004,[2]
2303005,2,303005,[2]
2303006,2,303006,[2]
2303007,2,303007,[2]
2303008,2,303008,[2]
2303009,2,303009,[2]
2303010,2,303010,[2]
2303011,2,303011,[2]
2303012,2,303012,[2]
2303013,2,303013,[2]
2303014,2,303014,[2]
2303015,2,303015,[2]
2303016,2,303016,[2]
2303017,2,303017,[2]
2303018,2,303018,[2]
2303019,2,303019,[2]
2303020,2,303020,[2]
2303021,2,303021,[2]
2303022,2,303022,[2]
2303023,2,303023,[2]
2304001,2,304001,[2]
2304002,2,304002,[2]
2304003,2,304003,[2]
2304004,2,304004,[2]
2304005,2,304005,[2]
2304006,2,304006,[2]
2304007,2,304007,[2]
2304008,2,304008,[2]
2304009,2,304009,[2]
2304010,2,304010,[2]
2304011,2,304011,[2]
2304012,2,304012,[2]
2305001,2,305001,[2]
2305002,2,305002,[2]
2305003,2,305003,[2]
2305004,2,305004,[2]
2305005,2,305005,[2]
2305006,2,305006,[2]
2305007,2,305007,[2]
2305008,2,305008,[2]
2305009,2,305009,[2]
2305010,2,305010,[2]
2400206,2,400206,[8]
2400207,2,400207,[9]
2400208,2,400208,[10]
2400209,2,400209,[8]
2400210,2,400210,[9]
2400211,2,400211,[10]
2400205,2,400205,[13]
2600101,2,600101,[14]
2600102,2,600102,[14]
2600103,2,600103,[14]
2600104,2,600104,[14]
2600105,2,600105,[14]
2600106,2,600106,[14]
2600107,2,600107,[14]
2600108,2,600108,[14]
2600109,2,600109,[14]
2600110,2,600110,[14]
2600201,2,600201,[14]
2600202,2,600202,[14]
2600203,2,600203,[14]
2600204,2,600204,[14]
2600205,2,600205,[14]
2600206,2,600206,[14]
2600207,2,600207,[14]
2600208,2,600208,[14]
2600209,2,600209,[14]
2600210,2,600210,[14]
2600301,2,600301,[14]
2600302,2,600302,[14]
2600303,2,600303,[14]
2600304,2,600304,[14]
2600305,2,600305,[14]
2600306,2,600306,[14]
2600307,2,600307,[14]
2600308,2,600308,[14]
2600309,2,600309,[14]
2600310,2,600310,[14]
2600401,2,600401,[14]
2600402,2,600402,[14]
2600403,2,600403,[14]
2600404,2,600404,[14]
2600405,2,600405,[14]
2600406,2,600406,[14]
2600407,2,600407,[14]
2600408,2,600408,[14]
2600409,2,600409,[14]
2600410,2,600410,[14]
2600501,2,600501,[14]
2600502,2,600502,[14]
2600503,2,600503,[14]
2600504,2,600504,[14]
2600505,2,600505,[14]
2600506,2,600506,[14]
2600507,2,600507,[14]
2600508,2,600508,[14]
2600509,2,600509,[14]
2600510,2,600510,[14]
2600601,2,600601,[14]
2600602,2,600602,[14]
2600603,2,600603,[14]
2600604,2,600604,[14]
2600605,2,600605,[14]
2600606,2,600606,[14]
2600607,2,600607,[14]
2600608,2,600608,[14]
2600609,2,600609,[14]
2600610,2,600610,[14]
2100104,2,100104,[14]
2100105,2,100105,[14]
2100106,2,100106,[14]
2100107,2,100107,[14]
